書名,書籍網站,作者,出版社,ISBN,圖片網址
臺灣大案鑑識現場：用科學、心理學、偶爾靈異，與嫌犯鬥智，鑑識專家謝松善帶你解讀犯罪現場。,https://www.kingstone.com.tw//basic/2015480095659?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,謝松善,任性出版  ,9789869946957,https://cdn.kingstone.com.tw/book/images/product/20154/2015480095659/2015480095659b.jpg
追逐怪物的人,https://www.kingstone.com.tw//basic/2015480096311?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,權日勇、高樹,高寶      ,9789865060930,https://cdn.kingstone.com.tw/book/images/product/20154/2015480096311/2015480096311b.jpg
殺人魔名冊：全球150名極惡連環殺手檔案,https://www.kingstone.com.tw//basic/2015850047080?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,傑克．羅斯伍德,高寶      ,9789865061586,https://cdn.kingstone.com.tw/book/images/product/20158/2015850047080/2015850047080b.jpg
今天也要去見殺人犯：韓國犯罪側寫師眼中的人性故事,https://www.kingstone.com.tw//basic/2015480096731?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,李珍淑,EZ叢書館  ,9789862489765,https://cdn.kingstone.com.tw/book/images/product/20154/2015480096731/2015480096731b.jpg
您已登入N號房 韓國史上最大宗數位性暴力犯罪吹哨者「追蹤團火花」直擊實錄,https://www.kingstone.com.tw//basic/2015480097073?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,追蹤團火花,時報文化  ,9789571389400,https://cdn.kingstone.com.tw/book/images/product/20154/2015480097073/2015480097073b.jpg
扭曲的正義：檢察官面對的殘酷真相，走向崩潰的檢警與媒體,https://www.kingstone.com.tw//basic/2015890021996?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,吳忻穎,聯經      ,9789570857023,https://cdn.kingstone.com.tw/book/images/product/20158/2015890021996/2015890021996b.jpg
法醫．屍體．解剖室3：重返犯罪現場—專業醫生解析157道懸疑、逼真的謀殺手法相關的醫學及鑑識問題,https://www.kingstone.com.tw//basic/2015480079703?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,道格拉斯．萊爾,麥田      ,9789863445005,https://cdn.kingstone.com.tw/book/images/product/20154/2015480079703/2015480079703b.jpg
法醫．屍體．解剖室：犯罪搜查216問－－專業醫生解開神祕病態又稀奇古怪的醫學和鑑識問題（最新修訂）,https://www.kingstone.com.tw//basic/2015480082086?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,道格拉斯．萊爾,麥田      ,9789863445456,https://cdn.kingstone.com.tw/book/images/product/20154/2015480082086/2015480082086b.jpg
法醫．屍體．解剖室2：謀殺診斷書：專業醫師剖析188道詭異又匪夷所思的病理、毒物及鑑識問題,https://www.kingstone.com.tw//basic/2015480065898?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,道格拉斯．萊爾,麥田      ,9789863440611,https://cdn.kingstone.com.tw/book/images/product/20154/2015480065898/2015480065898b.jpg
噬罪人,https://www.kingstone.com.tw//basic/2015860044642?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,呂秋遠,三采      ,9789863421146,https://cdn.kingstone.com.tw/book/images/product/20158/2015860044642/2015860044642b.jpg
犯罪手法系列3－法醫昆蟲學：案發現場的蠅蛆、蒼蠅與甲蟲……沉默的目擊者如何成為破案證據,https://www.kingstone.com.tw//basic/2015860056713?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,麥迪森．李．戈夫,麥田      ,9789863446620,https://cdn.kingstone.com.tw/book/images/product/20158/2015860056713/2015860056713b.jpg
絕歌（新版）,https://www.kingstone.com.tw//basic/2015480098315?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,前少年A,時報文化  ,9789571393643,https://cdn.kingstone.com.tw/images/restricted.jpg
從邪念到暴行：跟蹤騷擾、人質挾持、校園槍擊、無差別殺人，鑑識心理學家的當代犯罪診斷書,https://www.kingstone.com.tw//basic/2015480097783?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,克里斯．莫漢迪,臉譜文化  ,9789862359945,https://cdn.kingstone.com.tw/book/images/product/20154/2015480097783/2015480097783b.jpg
人骨檔案：法醫人類學家的鑑識筆記，解開隱藏在屍骸中的死亡密碼,https://www.kingstone.com.tw//basic/2015860061410?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,蘇．布萊克,商周出版  ,9789860734799,https://cdn.kingstone.com.tw/book/images/product/20158/2015860061410/2015860061410b.jpg
我不是這樣死的：離奇屍體再鑑定，法醫現場的犯罪診斷報告書,https://www.kingstone.com.tw//basic/2015860055501?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,上野正彥,創意市集  ,9789579199353,https://cdn.kingstone.com.tw/book/images/product/20158/2015860055501/2015860055501b.jpg
犯罪手法系列2－毒物研究室：250種具有致命效果的經典毒物、植物、藥物和毒品,https://www.kingstone.com.tw//basic/2014180329934?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,席瑞塔．史蒂文斯、安妮．班,麥田      ,9789863444091,https://cdn.kingstone.com.tw/book/images/product/20141/2014180329934/2014180329934b.jpg
犯罪手法系列－－法醫科學研究室：鑑識搜查最前線， 解剖八百萬種死法,https://www.kingstone.com.tw//basic/2015860052395?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,道格拉斯．萊爾,麥田      ,9789863444336,https://cdn.kingstone.com.tw/book/images/product/20158/2015860052395/2015860052395b.jpg
上帝的黑名單：美國七大連續殺人犯實錄,https://www.kingstone.com.tw//basic/2015480044862?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,盧春如RUBY,華人版圖  ,9789868219410,https://cdn.kingstone.com.tw/images/restricted.jpg
愈少人認識我們愈好：一個關於背叛、家庭祕辛與身分盜竊的未解之謎,https://www.kingstone.com.tw//basic/2015480097523?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,艾克絲頓．貝茲－漢彌爾頓,麥田      ,9786263100497,https://cdn.kingstone.com.tw/book/images/product/20154/2015480097523/2015480097523b.jpg
犯罪手法系列6－刑案偵訊室：FBI「破案神探」本尊破解連續殺人犯與獵食者的內心祕密,https://www.kingstone.com.tw//basic/2015480096281?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,約翰．道格拉斯、馬克．歐爾,麥田      ,9789863448891,https://cdn.kingstone.com.tw/book/images/product/20154/2015480096281/2015480096281b.jpg
犯罪手法系列5－認識司法精神醫學：一個犯罪者「究竟是真的瘋了，還是只是壞人」？寫給律師與大眾讀者的精神醫學實務指南,https://www.kingstone.com.tw//basic/2014150501162?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,薇薇安．雀恩．許奈德曼,麥田      ,9789863448594,https://cdn.kingstone.com.tw/book/images/product/20141/2014150501162/2014150501162b.jpg
推理迷必備的犯罪現場科學搜查,https://www.kingstone.com.tw//basic/2015480093945?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,山崎昭,楓葉社文化,9789863702382,https://cdn.kingstone.com.tw/book/images/product/20154/2015480093945/2015480093945b.jpg
沉默證詞：血跡型態、DNA鑑定、數位鑑識，一位鑑識科學家的破案實錄,https://www.kingstone.com.tw//basic/2015480092733?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,安吉拉．蓋洛普,馬可孛羅  ,9789865509286,https://cdn.kingstone.com.tw/book/images/product/20154/2015480092733/2015480092733b.jpg
詐騙交鋒：FBI安全顧問、神鬼交鋒傳奇詐欺師，教你輕鬆識破詐騙陷阱、練就戰勝騙子的反詐心法,https://www.kingstone.com.tw//basic/2015480092023?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,法蘭克．艾巴內爾,創意市集  ,9789579199919,https://cdn.kingstone.com.tw/book/images/product/20154/2015480092023/2015480092023b.jpg
監視與懲罰：監獄的誕生,https://www.kingstone.com.tw//basic/2015890021316?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,米歇爾．傅柯,時報文化  ,9789571381633,https://cdn.kingstone.com.tw/book/images/product/20158/2015890021316/2015890021316b.jpg
犯罪手法系列4－法醫人類學：聽！骨頭在說話，美國傳奇法醫人類學家梅普斯自傳暨案例集，直擊魔鬼潛伏的淵藪,https://www.kingstone.com.tw//basic/2015860058847?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,威廉．R．梅普斯,麥田      ,9789863447405,https://cdn.kingstone.com.tw/book/images/product/20158/2015860058847/2015860058847b.jpg
傾聽死亡現場：頂尖法醫病理學家的非自然死因調查事件簿,https://www.kingstone.com.tw//basic/2015860058397?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,理查．薛賀德,馬可孛羅  ,9789865509088,https://cdn.kingstone.com.tw/book/images/product/20158/2015860058397/2015860058397b.jpg
遺體訴說的各種人生︰法醫解剖檯上的死亡課題,https://www.kingstone.com.tw//basic/2015860057925?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,西尾元,商周出版  ,9789864777723,https://cdn.kingstone.com.tw/book/images/product/20158/2015860057925/2015860057925b.jpg
朱令的四十五年：北京清華女學生毒殺疑案,https://www.kingstone.com.tw//basic/2015850044324?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,李佳佳,春山出版  ,9789869804233,https://cdn.kingstone.com.tw/book/images/product/20158/2015850044324/2015850044324b.jpg
破案神探：FBI首位犯罪剖繪專家緝兇檔案（首部曲）,https://www.kingstone.com.tw//basic/2015480079123?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,約翰．道格拉斯 等,時報文化  ,9789571370606,https://cdn.kingstone.com.tw/book/images/product/20154/2015480079123/2015480079123b.jpg
誰都可以，就是想殺人：被逼入絕境的青少年心理,https://www.kingstone.com.tw//basic/2015480078621?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,碓井真史,時報文化  ,9789571370453,https://cdn.kingstone.com.tw/book/images/product/20154/2015480078621/2015480078621b.jpg
以瘋狂之名：英美精神異常抗辯史,https://www.kingstone.com.tw//basic/2015860048640?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,楊添圍,心靈工坊  ,9789863570509,https://cdn.kingstone.com.tw/book/images/product/20158/2015860048640/2015860048640b.jpg
告訴我，你是怎麼死的,https://www.kingstone.com.tw//basic/2015480068714?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,茱蒂．梅琳涅克,臉譜文化  ,9789862354483,https://cdn.kingstone.com.tw/book/images/product/20154/2015480068714/2015480068714b.jpg
噬罪人Ⅱ：試煉,https://www.kingstone.com.tw//basic/2015860046486?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,呂秋遠,三采      ,9789863422709,https://cdn.kingstone.com.tw/book/images/product/20158/2015860046486/2015860046486b.jpg
犯罪現場,https://www.kingstone.com.tw//basic/2015480050801?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,李昌鈺,商周出版  ,4717702066765,https://cdn.kingstone.com.tw/book/images/product/20154/2015480050801/2015480050801b.jpg
我的解剖人生：與死亡為伍的生之體驗,https://www.kingstone.com.tw//basic/2014150437744?zone=book&lid=book_class3_hdf&actid=book_class3_hdf,卡拉．華倫坦,木馬文化  ,9789863595885,https://cdn.kingstone.com.tw/book/images/product/20141/2014150437744/2014150437744b.jpg
