書名,書籍網站,作者,出版社,ISBN,圖片網址
做工的人,https://www.kingstone.com.tw//basic/2015460025584?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,林立青,寶瓶文化  ,9789864060764,https://cdn.kingstone.com.tw/book/images/product/20154/2015460025584/2015460025584b.jpg
萬能店員：我的便利、你的過勞，超商的社會代價,https://www.kingstone.com.tw//basic/2015560055849?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,張立祥,游擊文化  ,9789869934794,https://cdn.kingstone.com.tw/book/images/product/20155/2015560055849/2015560055849b.jpg
奴工島：一名蘇州女生在台的東南亞移工觀察筆記,https://www.kingstone.com.tw//basic/2015560045352?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,姜雯,寶瓶文化  ,9789864061372,https://cdn.kingstone.com.tw/book/images/product/20155/2015560045352/2015560045352b.jpg
如此人生,https://www.kingstone.com.tw//basic/2015460027328?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,林立青,寶瓶文化  ,9789864061280,https://cdn.kingstone.com.tw/book/images/product/20154/2015460027328/2015460027328b.jpg
渴愛的青春：少年及婦幼警察隊隊長十年專業經驗談，帶孩子遠離傷害的成長書,https://www.kingstone.com.tw//basic/2015480097943?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,邱子珍,創意市集  ,9789865534721,https://cdn.kingstone.com.tw/book/images/product/20154/2015480097943/2015480097943b.jpg
菁英體制的陷阱：社會菁英為何成為威脅平等正義、助長貧富不均，甚至反噬自己的人民公敵？,https://www.kingstone.com.tw//basic/2015460032155?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,丹尼爾．馬科維茨,時報文化  ,9789571391977,https://cdn.kingstone.com.tw/book/images/product/20154/2015460032155/2015460032155b.jpg
剝削首爾：是炒房者造成我們的貧窮！寄生下流殘酷史，蟻居村全貌紀實,https://www.kingstone.com.tw//basic/2015420088260?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,李惠美,大田      ,9789861796130,https://cdn.kingstone.com.tw/book/images/product/20154/2015420088260/2015420088260b.jpg
洗車人家,https://www.kingstone.com.tw//basic/2015410300983?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,姜泰宇（敷米漿）,寶瓶文化  ,9789864062072,https://cdn.kingstone.com.tw/book/images/product/20154/2015410300983/2015410300983b.jpg
我拿青春換明天：八大行業職場說明書，慾海求生的人物群像,https://www.kingstone.com.tw//basic/2015440569299?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,陶曉嫚,三采      ,9789576584428,https://cdn.kingstone.com.tw/images/restricted.jpg
中產悲歌：面對薪資停滯、金融危機、稅賦不公，中產階級如何改寫未來？,https://www.kingstone.com.tw//basic/2015460031073?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,哈達絲．維斯,時報文化  ,9789571383880,https://cdn.kingstone.com.tw/book/images/product/20154/2015460031073/2015460031073b.jpg
最貧困女子：不敢開口求救的無緣地獄（二版）,https://www.kingstone.com.tw//basic/2015480089610?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,鈴木大介,光現出版  ,9789869805858,https://cdn.kingstone.com.tw/book/images/product/20154/2015480089610/2015480089610b.jpg
向下扎根！德國教育的公民思辨課7：過濾氣泡、假新聞與說謊媒體 我們如何避免被操弄？,https://www.kingstone.com.tw//basic/2015410286140?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,曼佛雷德．泰森,麥田      ,9789863446927,https://cdn.kingstone.com.tw/book/images/product/20154/2015410286140/2015410286140b.jpg
低級教育：窮人讀大學就可以翻身？失業者就應該考證照「進修」？,https://www.kingstone.com.tw//basic/2015200185691?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,崔西．麥克米蘭．卡敦,光現出版  ,9789869742702,https://cdn.kingstone.com.tw/book/images/product/20152/2015200185691/2015200185691b.jpg
被壓榨的一代：中產階級消失真相，是什麼讓我們陷入財務焦慮與生活困境？,https://www.kingstone.com.tw//basic/2015460028240?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,艾莉莎．奎特,八旗文化  ,9789578654532,https://cdn.kingstone.com.tw/book/images/product/20154/2015460028240/2015460028240b.jpg
邊境人生：在歐洲顛沛流離的難民與移民,https://www.kingstone.com.tw//basic/2015420081636?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,白曉紅,南方家園  ,9789869631761,https://cdn.kingstone.com.tw/book/images/product/20154/2015420081636/2015420081636b.jpg
蒂瑪小姐咖啡館：咖啡館裡的六堂公民課,https://www.kingstone.com.tw//basic/2015090002832?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,蒂瑪小姐咖啡館小編,主流出版  ,9789869520089,https://cdn.kingstone.com.tw/book/images/product/20150/2015090002832/2015090002832b.jpg
絕望者之歌：一個美國白人家族的悲劇與重生,https://www.kingstone.com.tw//basic/2017850122217?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,傑德．凡斯,八旗文化  ,9789869541848,https://cdn.kingstone.com.tw/book/images/product/20178/2017850122217/2017850122217b.jpg
向下扎根！德國教育的公民思辨課2－「政治人物可以說謊嗎？良心要多少才不算太多？」：參與討論的基本,https://www.kingstone.com.tw//basic/2015280686392?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,克莉絲汀．舒茲—萊斯,麥田      ,9789863444602,https://cdn.kingstone.com.tw/book/images/product/20152/2015280686392/2015280686392b.jpg
血淚漁場：跨國直擊台灣遠洋漁業真相,https://www.kingstone.com.tw//basic/2014380007281?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,報導者文化基金會,行人文化  ,9789869445139,https://cdn.kingstone.com.tw/book/images/product/20143/2014380007281/2014380007281b.jpg
階級世代：窮小孩與富小孩的機會不平等,https://www.kingstone.com.tw//basic/2015460023320?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,羅伯特．普特南,衛城出版  ,9789869211345,https://cdn.kingstone.com.tw/book/images/product/20154/2015460023320/2015460023320b.jpg
我當黑幫老大的一天：流氓社會學家的貧民窟10年觀察,https://www.kingstone.com.tw//basic/2015460022118?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,蘇西耶．凡卡德希,時報文化  ,9789571363356,https://cdn.kingstone.com.tw/book/images/product/20154/2015460022118/2015460022118b.jpg
回家,https://www.kingstone.com.tw//basic/2018578587296?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,顧玉玲,印刻      ,9789865823900,https://cdn.kingstone.com.tw/book/images/product/20185/2018578587296/2018578587296b.jpg
我愛身分地位,https://www.kingstone.com.tw//basic/2015460012591?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,艾倫．狄波頓,先覺      ,9789861340258,https://cdn.kingstone.com.tw/book/images/product/20154/2015460012591/2015460012591b.jpg
神祕共濟會,https://www.kingstone.com.tw//basic/2015460032025?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,何新,人類智庫  ,9789863735991,https://cdn.kingstone.com.tw/book/images/product/20154/2015460032025/2015460032025b.jpg
種族、偏見與歧視,https://www.kingstone.com.tw//basic/2015460031943?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,蒲慕州、艾斐然、高德維、陳秀熙,聯經      ,9789570858273,https://cdn.kingstone.com.tw/book/images/product/20154/2015460031943/2015460031943b.jpg
用頭帶背起一座座山：嚮導背工與巡山員的故事（增訂新版）,https://www.kingstone.com.tw//basic/2018630274898?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,沙力浪,健行文化  ,9789869987073,https://cdn.kingstone.com.tw/book/images/product/20186/2018630274898/2018630274898b.jpg
團體迷思：群眾的盲目、自欺與暴力是如何形成的？,https://www.kingstone.com.tw//basic/2015410301775?zone=book&lid=book_class3_hdg&actid=book_class3_hdg,克里斯多福．布克,商周出版  ,9789864779642,https://cdn.kingstone.com.tw/book/images/product/20154/2015410301775/2015410301775b.jpg
