書名,書籍網站,作者,出版社,ISBN,圖片網址
道德浪女：多重關係、開放關係與其他冒險的實用指南（第三版）,https://www.kingstone.com.tw//basic/2015440540847?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,珍妮．W．哈帝等,游擊文化  ,9789869594561,https://cdn.kingstone.com.tw/book/images/product/20154/2015440540847/2015440540847b.jpg
女性貧困：負貸、漂流、未婚單親，陷入惡性循環的貧困女子,https://www.kingstone.com.tw//basic/2015440578024?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,日本NHK特別採訪小組,寶瓶文化  ,9789864062362,https://cdn.kingstone.com.tw/book/images/product/20154/2015440578024/2015440578024b.jpg
不只是厭女：為什麼越「文明」的世界，厭女的力量越強大？拆解當今最精密的父權敘事,https://www.kingstone.com.tw//basic/2015440554622?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,凱特．曼恩,麥田      ,9789863447177,https://cdn.kingstone.com.tw/book/images/product/20154/2015440554622/2015440554622b.jpg
提升的時刻,https://www.kingstone.com.tw//basic/2015440551546?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,梅琳達．蓋茲,遠流      ,9789573286288,https://cdn.kingstone.com.tw/book/images/product/20154/2015440551546/2015440551546b.jpg
黑箱：性暴力受害者的真實告白,https://www.kingstone.com.tw//basic/2015480086534?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,伊藤詩織,高寶      ,9789863616528,https://cdn.kingstone.com.tw/book/images/product/20154/2015480086534/2015480086534b.jpg
厭女的資格：父權體制如何形塑出理所當然的不正義？,https://www.kingstone.com.tw//basic/2015440578734?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,凱特．曼恩,麥田      ,9789863449614,https://cdn.kingstone.com.tw/book/images/product/20154/2015440578734/2015440578734b.jpg
女性主義【21世紀公民的思辨課】：揭開「女權」的偏見與迷思，迎接真正的「平權」時代！,https://www.kingstone.com.tw//basic/2015440567325?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,朱莉安娜．弗里澤,平安文化  ,9789579314756,https://cdn.kingstone.com.tw/book/images/product/20154/2015440567325/2015440567325b.jpg
我是男生，也是女性主義者,https://www.kingstone.com.tw//basic/2015440561903?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,崔乘範,EZ叢書館  ,9789862488898,https://cdn.kingstone.com.tw/book/images/product/20154/2015440561903/2015440561903b.jpg
這是愛女，也是厭女：如何看穿這世界拉攏與懲戒女人的兩手策略？,https://www.kingstone.com.tw//basic/2015440549185?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,王曉丹主編,大家      ,9789579542760,https://cdn.kingstone.com.tw/book/images/product/20154/2015440549185/2015440549185b.jpg
性別作為動詞－巷仔口社會學2：性別如何形塑，又如何在行動中翻轉？,https://www.kingstone.com.tw//basic/2015440515296?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,戴伯芬主編,大家      ,9789869460347,https://cdn.kingstone.com.tw/book/images/product/20154/2015440515296/2015440515296b.jpg
女生愛男生：性別平等教育,https://www.kingstone.com.tw//basic/2015440459231?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,施寄青,臺灣商務  ,9789570528688,https://cdn.kingstone.com.tw/book/images/product/20154/2015440459231/2015440459231b.jpg
以進大同：台北同志生活誌,https://www.kingstone.com.tw//basic/2015710080608?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,喀飛 等著,文訊      ,9789868965942,https://cdn.kingstone.com.tw/book/images/product/20157/2015710080608/2015710080608b.jpg
女力告白：最危險的力量與被噤聲的歷史（典藏精裝版）,https://www.kingstone.com.tw//basic/2025440582532?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,瑪莉．畢爾德,聯經      ,9789570852738,https://cdn.kingstone.com.tw/book/images/product/20254/2025440582532/2025440582532b.jpg
女人與女孩的原罪：以滿口髒話、粗魯行為訴諸憤怒，是女性可以擁有的嗎？,https://www.kingstone.com.tw//basic/2015000048400?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,聞翊均,臺灣商務  ,9789570533248,https://cdn.kingstone.com.tw/book/images/product/20150/2015000048400/2015000048400b.jpg
兩個爸爸,https://www.kingstone.com.tw//basic/2015440578574?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,陳子良、陳海思鐸,遠流      ,9789573291374,https://cdn.kingstone.com.tw/book/images/product/20154/2015440578574/2015440578574b.jpg
我的紅樓不是夢,https://www.kingstone.com.tw//basic/2015440573784?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,吳錦珠,啟思      ,9789862718995,https://cdn.kingstone.com.tw/book/images/product/20154/2015440573784/2015440573784b.jpg
陽剛與陰柔：觸及男人靈魂深處的經典，也讓女人感到終於被理解！,https://www.kingstone.com.tw//basic/2011771327829?zone=book&lid=book_class3_hdh&actid=book_class3_hdh,大衛．戴伊達,柿子文化  ,9789869940962,https://cdn.kingstone.com.tw/book/images/product/20117/2011771327829/2011771327829b.jpg
