書名,書籍網站,作者,出版社,ISBN,圖片網址
「我反對！」不恐龍大法官RBG第一手珍貴訪談錄：橫跨近30年，13場關於愛、自由、人生及法律的對話,https://www.kingstone.com.tw//basic/2017850136412?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,傑佛瑞．羅森,麥田      ,9786263100169,https://cdn.kingstone.com.tw/book/images/product/20178/2017850136412/2017850136412b.jpg
高牆內的黑暗角落：獄政管理與假釋更生制度之改革,https://www.kingstone.com.tw//basic/2015000045034?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,王健驊、趙志霖,致出版    ,9789869926232,https://cdn.kingstone.com.tw/book/images/product/20150/2015000045034/2015000045034b.jpg
監獄大學：從閱讀思辨《罪與罰》到擊敗哈佛、劍橋高材生，「美國巴德學院監獄計畫」的通識教育翻轉奇蹟,https://www.kingstone.com.tw//basic/2015890021446?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,丹尼爾．卡波維茨,麥田      ,9789863447696,https://cdn.kingstone.com.tw/book/images/product/20158/2015890021446/2015890021446b.jpg
正義與慈悲【復刻版】：給法律人的一封信,https://www.kingstone.com.tw//basic/2014150470628?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,蔡英文等26位,新自然主義,9789579528665,https://cdn.kingstone.com.tw/book/images/product/20141/2014150470628/2014150470628b.jpg
金的法庭日誌：一不小心變被告,https://www.kingstone.com.tw//basic/2015800121235?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,潘展平,青森文化  ,9789888568710,https://cdn.kingstone.com.tw/book/images/product/20158/2015800121235/2015800121235b.jpg
罪與罰之外（2019新版）：經濟學家對法學的20個提問,https://www.kingstone.com.tw//basic/2015800119584?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,熊秉元,天下文化  ,4713510946664,https://cdn.kingstone.com.tw/book/images/product/20158/2015800119584/2015800119584b.jpg
判罪：八張傳票背後的人性糾結,https://www.kingstone.com.tw//basic/2018630114835?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,鄧湘全,時報文化  ,9789571379777,https://cdn.kingstone.com.tw/book/images/product/20186/2018630114835/2018630114835b.jpg
法庭天平的兩端一樣重嗎？法庭實戰攻略,https://www.kingstone.com.tw//basic/2015860056683?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,蘭天律師,印刻      ,9789863872962,https://cdn.kingstone.com.tw/book/images/product/20158/2015860056683/2015860056683b.jpg
正義謊言的罪人,https://www.kingstone.com.tw//basic/2015850043822?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,陳金漢,健行文化  ,9789869702607,https://cdn.kingstone.com.tw/book/images/product/20158/2015850043822/2015850043822b.jpg
台灣公法學的墊基與前瞻：城仲模教授八秩華誕祝壽論文集（上冊）,https://www.kingstone.com.tw//basic/2015800114374?zone=book&lid=book_class3_hfd&actid=book_class3_hfd,城仲模教授八秩華誕祝壽論文,新學林    ,9789862959046,https://cdn.kingstone.com.tw/book/images/product/20158/2015800114374/2015800114374b.jpg
