書名,書籍網站,作者,出版社,ISBN,圖片網址
國民主權,https://www.kingstone.com.tw//basic/2015710055767?zone=book&lid=book_class3_hff&actid=book_class3_hff,王志宏,揚智文化  ,9789578184053,https://cdn.kingstone.com.tw/book/images/product/20157/2015710055767/2015710055767b.jpg
德國問題：國際法與憲法的爭議,https://www.kingstone.com.tw//basic/2015740012877?zone=book&lid=book_class3_hff&actid=book_class3_hff,張亞中,揚智文化  ,9789578637870,https://cdn.kingstone.com.tw/book/images/product/20157/2015740012877/2015740012877b.jpg
各國制憲運動,https://www.kingstone.com.tw//basic/2015810041356?zone=book&lid=book_class3_hff&actid=book_class3_hff,施正鋒主編,翰蘆圖書  ,9789869748506,https://cdn.kingstone.com.tw/book/images/product/20158/2015810041356/2015810041356b.jpg
中華民國憲法精義,https://www.kingstone.com.tw//basic/2015810040304?zone=book&lid=book_class3_hff&actid=book_class3_hff,呂炳寬,五南      ,9789571197838,https://cdn.kingstone.com.tw/book/images/product/20158/2015810040304/2015810040304b.jpg
國家.憲法.人權,https://www.kingstone.com.tw//basic/2015810040274?zone=book&lid=book_class3_hff&actid=book_class3_hff,台灣憲法學會 編,秀威出版  ,9789863265450,https://cdn.kingstone.com.tw/book/images/product/20158/2015810040274/2015810040274b.jpg
人權理念與憲法秩序：憲法學思維方法緒論?,https://www.kingstone.com.tw//basic/2015215695291?zone=book&lid=book_class3_hff&actid=book_class3_hff,李建良,新學林    ,9789862957929,https://cdn.kingstone.com.tw/book/images/product/20152/2015215695291/2015215695291b.jpg
憲法新分類及其意義,https://www.kingstone.com.tw//basic/2015810039865?zone=book&lid=book_class3_hff&actid=book_class3_hff,戚淵,五南      ,9789571195025,https://cdn.kingstone.com.tw/book/images/product/20158/2015810039865/2015810039865b.jpg
這是一本憲法解題書（2版）,https://www.kingstone.com.tw//basic/2015840108807?zone=book&lid=book_class3_hff&actid=book_class3_hff,寶捷,讀享數位  ,9789869503051,https://cdn.kingstone.com.tw/book/images/product/20158/2015840108807/2015840108807b.jpg
憲政主義與人權理論的移植與深耕—憲法解釋之理論與實務 第九輯,https://www.kingstone.com.tw//basic/2015810038943?zone=book&lid=book_class3_hff&actid=book_class3_hff,李建良 主編,新學林    ,9789862956878,https://cdn.kingstone.com.tw/book/images/product/20158/2015810038943/2015810038943b.jpg
中華民國憲法精義,https://www.kingstone.com.tw//basic/2015810038103?zone=book&lid=book_class3_hff&actid=book_class3_hff,呂炳寬,五南      ,9789571183930,https://cdn.kingstone.com.tw/book/images/product/20158/2015810038103/2015810038103b.jpg
