書名,書籍網站,作者,出版社,ISBN,圖片網址
兩岸繼承制度概論：以臺灣為主體的比較基礎,https://www.kingstone.com.tw//basic/2015840112002?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,吳國平 主編,千華駐    ,9789575925222,https://cdn.kingstone.com.tw/book/images/product/20158/2015840112002/2015840112002b.jpg
台資銀行中國大陸債權確保實務：法院判例81－110,https://www.kingstone.com.tw//basic/2015620036689?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,台資銀行大陸從業人員交流協,聯經      ,9789570851205,https://cdn.kingstone.com.tw/book/images/product/20156/2015620036689/2015620036689b.jpg
2014兩岸四地法律發展： 法學研究與方法（上）,https://www.kingstone.com.tw//basic/2015800110956?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,簡資修 主編,中研院法律,9789860551815,https://cdn.kingstone.com.tw/book/images/product/20158/2015800110956/2015800110956b.jpg
2014兩岸四地法律發展： 法學研究與方法（下）,https://www.kingstone.com.tw//basic/2015800111038?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,簡資修 主編,中研院法律,9789860551822,https://cdn.kingstone.com.tw/book/images/product/20158/2015800111038/2015800111038b.jpg
兩岸三地侵權法主要詞彙,https://www.kingstone.com.tw//basic/2015840110008?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,陳可欣,書林      ,9789574457168,https://cdn.kingstone.com.tw/book/images/product/20158/2015840110008/2015840110008b.jpg
台資銀行中國大陸債權確保實務：法院判例51－80,https://www.kingstone.com.tw//basic/2015620036269?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,台資銀行大陸從業人員交流協會,聯經      ,9789570849646,https://cdn.kingstone.com.tw/book/images/product/20156/2015620036269/2015620036269b.jpg
正義、人權與枉法裁判：刑法論文集,https://www.kingstone.com.tw//basic/2015850039047?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,劉幸義,翰蘆圖書  ,9789865860899,https://cdn.kingstone.com.tw/book/images/product/20158/2015850039047/2015850039047b.jpg
臺商全球布局與國際貿易法,https://www.kingstone.com.tw//basic/2015630586587?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,范國華等,翰蘆圖書  ,9789865860677,https://cdn.kingstone.com.tw/book/images/product/20156/2015630586587/2015630586587b.jpg
中國公用事業的管制與競爭,https://www.kingstone.com.tw//basic/2015750022552?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,潘天蔚,翰蘆圖書  ,9789865860387,https://cdn.kingstone.com.tw/book/images/product/20157/2015750022552/2015750022552b.jpg
保安警察概論,https://www.kingstone.com.tw//basic/2015750022682?zone=book&lid=book_class3_hfn&actid=book_class3_hfn,翁萃芳,翰蘆圖書  ,9789867522955,https://cdn.kingstone.com.tw/book/images/product/20157/2015750022682/2015750022682b.jpg
