書名,書籍網站,作者,出版社,ISBN,圖片網址
臺灣為什麼重要？汪浩政論集,https://www.kingstone.com.tw//basic/2015700148189?zone=book&lid=book_class3_hga&actid=book_class3_hga,汪浩,八旗文化  ,9789865524753,https://cdn.kingstone.com.tw/book/images/product/20157/2015700148189/2015700148189b.jpg
官僚制,https://www.kingstone.com.tw//basic/2015720065602?zone=book&lid=book_class3_hga&actid=book_class3_hga,路德維希．馮．米塞斯,五南      ,9789865229139,https://cdn.kingstone.com.tw/book/images/product/20157/2015720065602/2015720065602b.jpg
修辭的陷阱：為何政治包裝讓民主社會無法正確理解世界？,https://www.kingstone.com.tw//basic/2015700148219?zone=book&lid=book_class3_hga&actid=book_class3_hga,傑森．史丹利,八旗文化  ,9789860763102,https://cdn.kingstone.com.tw/book/images/product/20157/2015700148219/2015700148219b.jpg
自由的窄廊：國家與社會如何決定自由的命運,https://www.kingstone.com.tw//basic/2015710083784?zone=book&lid=book_class3_hga&actid=book_class3_hga,戴倫．艾塞默魯,衛城出版  ,9789869681735,https://cdn.kingstone.com.tw/book/images/product/20157/2015710083784/2015710083784b.jpg
平等,https://www.kingstone.com.tw//basic/2015710083524?zone=book&lid=book_class3_hga&actid=book_class3_hga,周家瑜,聯經      ,9789570854398,https://cdn.kingstone.com.tw/book/images/product/20157/2015710083524/2015710083524b.jpg
成功的反思：混亂世局中，我們必須重新學習的一堂課,https://www.kingstone.com.tw//basic/2015700147267?zone=book&lid=book_class3_hga&actid=book_class3_hga,邁可．桑德爾,先覺      ,9789861343709,https://cdn.kingstone.com.tw/book/images/product/20157/2015700147267/2015700147267b.jpg
權力：基進觀點（第三版）,https://www.kingstone.com.tw//basic/2015710087492?zone=book&lid=book_class3_hga&actid=book_class3_hga,史蒂芬．路克斯,商周出版  ,9786267012437,https://cdn.kingstone.com.tw/book/images/product/20157/2015710087492/2015710087492b.jpg
美國秩序：保守主義華人眼中的川普主義,https://www.kingstone.com.tw//basic/2017520058273?zone=book&lid=book_class3_hga&actid=book_class3_hga,王建勳,八旗文化  ,9789860763249,https://cdn.kingstone.com.tw/book/images/product/20175/2017520058273/2017520058273b.jpg
過去與未來之間：政治思考的八場習練,https://www.kingstone.com.tw//basic/2015700148059?zone=book&lid=book_class3_hga&actid=book_class3_hga,漢娜．鄂蘭,商周出版  ,9789865482800,https://cdn.kingstone.com.tw/book/images/product/20157/2015700148059/2015700148059b.jpg
地理的復仇：一觸即發的區域衝突、劃疆為界的地緣戰爭，剖析地理與全球布局終極關鍵,https://www.kingstone.com.tw//basic/2015710086730?zone=book&lid=book_class3_hga&actid=book_class3_hga,羅柏．卡普蘭,麥田      ,9789863449126,https://cdn.kingstone.com.tw/book/images/product/20157/2015710086730/2015710086730b.jpg
獨裁者養成之路：八個暴君領袖的崛起與衰落，迷亂二十世紀的造神運動,https://www.kingstone.com.tw//basic/2015710085818?zone=book&lid=book_class3_hga&actid=book_class3_hga,馮客,聯經      ,9789570856774,https://cdn.kingstone.com.tw/book/images/product/20157/2015710085818/2015710085818b.jpg
政治秩序的起源（上卷：從史前到法國大革命；下卷：從工業革命到民主全球化的政治秩序與政治衰敗）套書,https://www.kingstone.com.tw//basic/2015700146895?zone=book&lid=book_class3_hga&actid=book_class3_hga,法蘭西斯．福山,時報文化  ,9789571384535,https://cdn.kingstone.com.tw/book/images/product/20157/2015700146895/2015700146895b.jpg
民主戲一場,https://www.kingstone.com.tw//basic/2015700146635?zone=book&lid=book_class3_hga&actid=book_class3_hga,陳雲,花千樹    ,9789628971039,https://cdn.kingstone.com.tw/book/images/product/20157/2015700146635/2015700146635b.jpg
借殼上市：蔣介石與中華民國臺灣的形塑,https://www.kingstone.com.tw//basic/2017330261368?zone=book&lid=book_class3_hga&actid=book_class3_hga,汪浩,八旗文化  ,9789865524159,https://cdn.kingstone.com.tw/book/images/product/20173/2017330261368/2017330261368b.jpg
開放社會及其敵人,https://www.kingstone.com.tw//basic/2015400101415?zone=book&lid=book_class3_hga&actid=book_class3_hga,卡爾．波普,商周出版  ,9789864778126,https://cdn.kingstone.com.tw/book/images/product/20154/2015400101415/2015400101415b.jpg
暴政：掌控關鍵年代的獨裁風潮，洞悉時代之惡的20堂課,https://www.kingstone.com.tw//basic/2015710082442?zone=book&lid=book_class3_hga&actid=book_class3_hga,提摩希．史奈德,聯經      ,9789570853049,https://cdn.kingstone.com.tw/book/images/product/20157/2015710082442/2015710082442b.jpg
獨裁者手冊：解析統治權力法則的真相（為什麼國家、公司領導者的「壞行為」永遠是「好政治」？）,https://www.kingstone.com.tw//basic/2015710082152?zone=book&lid=book_class3_hga&actid=book_class3_hga,布魯斯．梅斯吉塔等,遠流      ,9789573284383,https://cdn.kingstone.com.tw/book/images/product/20157/2015710082152/2015710082152b.jpg
西洋政治思想史,https://www.kingstone.com.tw//basic/2015700094745?zone=book&lid=book_class3_hga&actid=book_class3_hga,陳思賢,五南      ,9789571176147,https://cdn.kingstone.com.tw/book/images/product/20157/2015700094745/2015700094745b.jpg
後殖民主義,https://www.kingstone.com.tw//basic/2015700046904?zone=book&lid=book_class3_hga&actid=book_class3_hga,陶東風,揚智文化  ,9789578180796,https://cdn.kingstone.com.tw/book/images/product/20157/2015700046904/2015700046904b.jpg
政治聯盟理論,https://www.kingstone.com.tw//basic/2015700092901?zone=book&lid=book_class3_hga&actid=book_class3_hga,威廉．瑞克,聯經      ,9789570843392,https://cdn.kingstone.com.tw/book/images/product/20157/2015700092901/2015700092901b.jpg
西洋政治思想史：現代英國篇,https://www.kingstone.com.tw//basic/2015700088416?zone=book&lid=book_class3_hga&actid=book_class3_hga,陳思賢,五南      ,9789571145921,https://cdn.kingstone.com.tw/book/images/product/20157/2015700088416/2015700088416b.jpg
政治心理學,https://www.kingstone.com.tw//basic/2015700045822?zone=book&lid=book_class3_hga&actid=book_class3_hga,石之瑜,五南      ,9789571118543,https://cdn.kingstone.com.tw/book/images/product/20157/2015700045822/2015700045822b.jpg
閱讀生命政治,https://www.kingstone.com.tw//basic/2015700148899?zone=book&lid=book_class3_hga&actid=book_class3_hga,黃涵榆,春山出版  ,9786269500314,https://cdn.kingstone.com.tw/book/images/product/20157/2015700148899/2015700148899b.jpg
五一三的幽靈（思想43）,https://www.kingstone.com.tw//basic/2015460032445?zone=book&lid=book_class3_hga&actid=book_class3_hga,邱士杰、榮劍、許偉恒,聯經      ,9789570859546,https://cdn.kingstone.com.tw/book/images/product/20154/2015460032445/2015460032445b.jpg
群眾路線思想發展史,https://www.kingstone.com.tw//basic/2015760036815?zone=book&lid=book_class3_hga&actid=book_class3_hga,羅平漢,華夏出版  ,9789865541637,https://cdn.kingstone.com.tw/book/images/product/20157/2015760036815/2015760036815b.jpg
中國中古政治史論（二版）,https://www.kingstone.com.tw//basic/2026230013229?zone=book&lid=book_class3_hga&actid=book_class3_hga,毛漢光,聯經      ,9789570859270,https://cdn.kingstone.com.tw/book/images/product/20262/2026230013229/2026230013229b.jpg
政府論,https://www.kingstone.com.tw//basic/2015700148479?zone=book&lid=book_class3_hga&actid=book_class3_hga,約翰.洛克,華志文化  ,9789860643725,https://cdn.kingstone.com.tw/book/images/product/20157/2015700148479/2015700148479b.jpg
惡托邦祭：獨裁是一種病,https://www.kingstone.com.tw//basic/2015710087102?zone=book&lid=book_class3_hga&actid=book_class3_hga,余杰,硫酸出版  ,9789869989015,https://cdn.kingstone.com.tw/book/images/product/20157/2015710087102/2015710087102b.jpg
似水年華,https://www.kingstone.com.tw//basic/2015000049742?zone=book&lid=book_class3_hga&actid=book_class3_hga,張崑陽 (總編輯),經濟民主連,9789869861243,https://cdn.kingstone.com.tw/book/images/product/20150/2015000049742/2015000049742b.jpg
花開明天：2021年緬甸自由運動,https://www.kingstone.com.tw//basic/2015710087072?zone=book&lid=book_class3_hga&actid=book_class3_hga,孔德維(主編),GLOs        ,9789860603767,https://cdn.kingstone.com.tw/book/images/product/20157/2015710087072/2015710087072b.jpg
論政治平等,https://www.kingstone.com.tw//basic/2025710087255?zone=book&lid=book_class3_hga&actid=book_class3_hga,羅伯特．道爾,五南      ,9789865227159,https://cdn.kingstone.com.tw/book/images/product/20257/2025710087255/2025710087255b.jpg
印度洋上的中國與印度：來自印度的觀點,https://www.kingstone.com.tw//basic/2015710086600?zone=book&lid=book_class3_hga&actid=book_class3_hga,古爾普利特．庫拉納,華夏出版  ,9789865541569,https://cdn.kingstone.com.tw/book/images/product/20157/2015710086600/2015710086600b.jpg
創造國族︰羅摩誕地運動與恐懼自身,https://www.kingstone.com.tw//basic/2015710086990?zone=book&lid=book_class3_hga&actid=book_class3_hga,阿席斯．南地、什卡．特維迪,台灣社會  ,9789860600117,https://cdn.kingstone.com.tw/book/images/product/20157/2015710086990/2015710086990b.jpg
當代日本海上力量,https://www.kingstone.com.tw//basic/2015970016577?zone=book&lid=book_class3_hga&actid=book_class3_hga,弗雷德．希爾,風格司    ,9789578697980,https://cdn.kingstone.com.tw/book/images/product/20159/2015970016577/2015970016577b.jpg
