書名,書籍網站,作者,出版社,ISBN,圖片網址
3小時讀懂現代中國：5大面向×62關鍵問題，了解中國人為什麼這樣想、那樣做,https://www.kingstone.com.tw//basic/2015740071997?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,李伐贊,商業周刊  ,9789865519384,https://cdn.kingstone.com.tw/book/images/product/20157/2015740071997/2015740071997b.jpg
中國：潰而不崩,https://www.kingstone.com.tw//basic/2015740058387?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,何清漣,八旗文化  ,9789869541879,https://cdn.kingstone.com.tw/book/images/product/20157/2015740058387/2015740058387b.jpg
黑手：揭穿中國共產黨如何改造世界,https://www.kingstone.com.tw//basic/2015740072109?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,克萊夫．漢密爾頓、馬曉月,左岸文化  ,9789860666601,https://cdn.kingstone.com.tw/book/images/product/20157/2015740072109/2015740072109b.jpg
中華鄰國：台灣閾境性,https://www.kingstone.com.tw//basic/2015730133926?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,高格孚,允晨文化  ,9789866274534,https://cdn.kingstone.com.tw/book/images/product/20157/2015730133926/2015730133926b.jpg
紅太陽的灼熱光輝：毛澤東與中國五○年代政治,https://www.kingstone.com.tw//basic/2025740072092?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,盛慕真,聯經      ,9789570858518,https://cdn.kingstone.com.tw/book/images/product/20257/2025740072092/2025740072092b.jpg
人類正常社會秩序論,https://www.kingstone.com.tw//basic/2015710085528?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,徐文立,亞太政治  ,9789869692168,https://cdn.kingstone.com.tw/book/images/product/20157/2015710085528/2015710085528b.jpg
魔鬼在統治著我們的世界,https://www.kingstone.com.tw//basic/2015490024496?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,九評編輯部,博大      ,9789869264280,https://cdn.kingstone.com.tw/book/images/product/20154/2015490024496/2015490024496b.jpg
無聲的入侵：中國因素在澳洲,https://www.kingstone.com.tw//basic/2015740064326?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,克萊夫．漢密爾頓,左岸文化  ,9789865727833,https://cdn.kingstone.com.tw/book/images/product/20157/2015740064326/2015740064326b.jpg
出賣中國：權貴資本主義的起源與共產黨政權的潰敗,https://www.kingstone.com.tw//basic/2015520108899?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,裴敏欣,八旗文化  ,9789869486583,https://cdn.kingstone.com.tw/book/images/product/20155/2015520108899/2015520108899b.jpg
回到革命,https://www.kingstone.com.tw//basic/2015730183471?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,滕彪、王天成,溯源書社  ,9789881279842,https://cdn.kingstone.com.tw/book/images/product/20157/2015730183471/2015730183471b.jpg
中國改革的歧路,https://www.kingstone.com.tw//basic/2015740034985?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,朱嘉明,聯經      ,9789570841282,https://cdn.kingstone.com.tw/book/images/product/20157/2015740034985/2015740034985b.jpg
毛澤東最後的革命,https://www.kingstone.com.tw//basic/2016280041013?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,羅德里克．麥克法夸爾,左岸文化  ,9789866723223,https://cdn.kingstone.com.tw/book/images/product/20162/2016280041013/2016280041013b.jpg
謊言帝國：中國雞年紀行,https://www.kingstone.com.tw//basic/2015710061416?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,索爾孟,允晨文化  ,9789867178268,https://cdn.kingstone.com.tw/book/images/product/20157/2015710061416/2015710061416b.jpg
陳獨秀與中國共產主義,https://www.kingstone.com.tw//basic/2015490009592?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,郭成棠,聯經      ,9789570806960,https://cdn.kingstone.com.tw/book/images/product/20154/2015490009592/2015490009592b.jpg
習近平軍變,https://www.kingstone.com.tw//basic/2015730186397?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,劉國軍,外參出版社,9781936895687,https://cdn.kingstone.com.tw/book/images/product/20157/2015730186397/2015730186397b.jpg
危機與轉機,https://www.kingstone.com.tw//basic/2015740045264?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,喬金鷗,知兵堂    ,9789869202633,https://cdn.kingstone.com.tw/book/images/product/20157/2015740045264/2015740045264b.jpg
李鵬日記VS趙紫陽錄音,https://www.kingstone.com.tw//basic/2015700078929?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,蔣也朝,外參出版社,9780984610617,https://cdn.kingstone.com.tw/book/images/product/20157/2015700078929/2015700078929b.jpg
當代中共政治分析,https://www.kingstone.com.tw//basic/2015730146209?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,趙建民,五南      ,9789571114385,https://cdn.kingstone.com.tw/book/images/product/20157/2015730146209/2015730146209b.jpg
破解香港的威權法治：傘後與反送中以來的民主運動,https://www.kingstone.com.tw//basic/2015410306435?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,黎恩灝,新銳文創  ,9789865540654,https://cdn.kingstone.com.tw/book/images/product/20154/2015410306435/2015410306435b.jpg
中國外交與台灣,https://www.kingstone.com.tw//basic/2015740072239?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,福田圓,五南      ,9789865227340,https://cdn.kingstone.com.tw/book/images/product/20157/2015740072239/2015740072239b.jpg
推翻共產黨政府犯法嗎？,https://www.kingstone.com.tw//basic/2015490026490?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,謝光宏,白象      ,9789865559717,https://cdn.kingstone.com.tw/book/images/product/20154/2015490026490/2015490026490b.jpg
廿世紀中國政治史論集,https://www.kingstone.com.tw//basic/2015730233077?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,栗國成,翰蘆圖書  ,9789860615852,https://cdn.kingstone.com.tw/book/images/product/20157/2015730233077/2015730233077b.jpg
行動創造轉型：中國民主化的思考筆記,https://www.kingstone.com.tw//basic/2015730232445?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,王軍濤,渠成文化  ,9789869965507,https://cdn.kingstone.com.tw/book/images/product/20157/2015730232445/2015730232445b.jpg
中共黨史（1921~1949）,https://www.kingstone.com.tw//basic/2015760035603?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,蔡國裕,五南      ,9789865220518,https://cdn.kingstone.com.tw/book/images/product/20157/2015760035603/2015760035603b.jpg
大中華帝國崩壞的序曲：中國的女神洞庭湖娘娘、泰山娘娘，非洲的祖魯神的靈言,https://www.kingstone.com.tw//basic/2012260240957?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,大川隆法,幸福科學  ,9789869934251,https://cdn.kingstone.com.tw/book/images/product/20122/2012260240957/2012260240957b.jpg
地緣政治經濟之爭奪戰：中國大陸在非西方世界攻城掠地？,https://www.kingstone.com.tw//basic/2015710085108?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,李明,五南      ,9789865221690,https://cdn.kingstone.com.tw/book/images/product/20157/2015710085108/2015710085108b.jpg
病毒、謊言、大外宣：中國造假如何毀滅全世界,https://www.kingstone.com.tw//basic/2015730231073?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,余杰,前衛      ,9789578019188,https://cdn.kingstone.com.tw/book/images/product/20157/2015730231073/2015730231073b.jpg
自救！HONG KONG IN CRISIS,https://www.kingstone.com.tw//basic/2015730231783?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,褚簡寧（Michael Chugani）,信報      ,9789887417590,https://cdn.kingstone.com.tw/book/images/product/20157/2015730231783/2015730231783b.jpg
中國大陸概論,https://www.kingstone.com.tw//basic/2016280100864?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,王信賢,五南      ,9789865221508,https://cdn.kingstone.com.tw/book/images/product/20162/2016280100864/2016280100864b.jpg
中港新感覺：發展夢裡的情感政治,https://www.kingstone.com.tw//basic/2015700145683?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,黃宗儀,聯經      ,9789570855784,https://cdn.kingstone.com.tw/book/images/product/20157/2015700145683/2015700145683b.jpg
歷史上國家統一的系統演化動力：從中國視角看分裂與統一,https://www.kingstone.com.tw//basic/2015000044822?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,朱磊,崧燁文化  ,9789865164454,https://cdn.kingstone.com.tw/book/images/product/20150/2015000044822/2015000044822b.jpg
主席八年（上冊）,https://www.kingstone.com.tw//basic/2015700145553?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,曾鈺成,信報      ,9789887417613,https://cdn.kingstone.com.tw/book/images/product/20157/2015700145553/2015700145553b.jpg
協商總在晚餐後：賴幸媛與王毅的祕密管道,https://www.kingstone.com.tw//basic/2015730229872?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,施威全,獨立作家  ,9789869780070,https://cdn.kingstone.com.tw/book/images/product/20157/2015730229872/2015730229872b.jpg
習近平： 喪屍治國,https://www.kingstone.com.tw//basic/2015740069406?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,余杰,主流出版  ,9789869860918,https://cdn.kingstone.com.tw/book/images/product/20157/2015740069406/2015740069406b.jpg
當代中國外交政策,https://www.kingstone.com.tw//basic/2015740069536?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,蔡東杰,五南      ,9789577639509,https://cdn.kingstone.com.tw/book/images/product/20157/2015740069536/2015740069536b.jpg
九評共產黨（平裝版）,https://www.kingstone.com.tw//basic/2015760035283?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,大紀元系列社論,博大      ,9789869777407,https://cdn.kingstone.com.tw/book/images/product/20157/2015760035283/2015760035283b.jpg
使命：新時代中國共產黨的歷史使命,https://www.kingstone.com.tw//basic/2015760036105?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,楊靜、哈戰榮,昌明文化  ,9789864965649,https://cdn.kingstone.com.tw/book/images/product/20157/2015760036105/2015760036105b.jpg
精神：新時代中國共產黨的偉大精神,https://www.kingstone.com.tw//basic/2015760036235?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,戴立興、黃宇、 龔上華,昌明文化  ,9789864965663,https://cdn.kingstone.com.tw/book/images/product/20157/2015760036235/2015760036235b.jpg
治國方略十四講,https://www.kingstone.com.tw//basic/2015760035993?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,金民卿,昌明文化  ,9789864965601,https://cdn.kingstone.com.tw/book/images/product/20157/2015760035993/2015760035993b.jpg
中國共產黨為什麼是偉大的黨,https://www.kingstone.com.tw//basic/2015760036075?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,人民日報社理論部編,昌明文化  ,9789864965632,https://cdn.kingstone.com.tw/book/images/product/20157/2015760036075/2015760036075b.jpg
躁動的帝國：從清帝國的普世主義，到中國的民族主義，一部250年的中國對外關係史（全新修訂版）,https://www.kingstone.com.tw//basic/2016400002481?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,文安立,八旗文化  ,9789578654914,https://cdn.kingstone.com.tw/book/images/product/20164/2016400002481/2016400002481b.jpg
大國塑造,https://www.kingstone.com.tw//basic/2015740070655?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,人民日報海外版編,昌明文化  ,9789864965489,https://cdn.kingstone.com.tw/book/images/product/20157/2015740070655/2015740070655b.jpg
大國核心,https://www.kingstone.com.tw//basic/2015760035863?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,辛鳴,昌明文化  ,9789864965434,https://cdn.kingstone.com.tw/book/images/product/20157/2015760035863/2015760035863b.jpg
中國夢：從鄧小平到習近平,https://www.kingstone.com.tw//basic/2015740068744?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,大衛．藍普頓,遠流      ,9789573287124,https://cdn.kingstone.com.tw/book/images/product/20157/2015740068744/2015740068744b.jpg
香港第一課,https://www.kingstone.com.tw//basic/2015730226116?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,梁啟智,春山出版  ,9789869849760,https://cdn.kingstone.com.tw/book/images/product/20157/2015730226116/2015730226116b.jpg
從兵馬俑到毛澤東與共產中國,https://www.kingstone.com.tw//basic/2015740068584?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,宋亞伯,前衛      ,9789578018969,https://cdn.kingstone.com.tw/book/images/product/20157/2015740068584/2015740068584b.jpg
思索家邦：中國殖民主義狂潮下的香港,https://www.kingstone.com.tw//basic/2015730225294?zone=book&lid=book_class3_hgf&actid=book_class3_hgf,徐承恩,前衛      ,9789578018945,https://cdn.kingstone.com.tw/book/images/product/20157/2015730225294/2015730225294b.jpg
