書名,書籍網站,作者,出版社,ISBN,圖片網址
美國狙擊手,https://www.kingstone.com.tw//basic/2017580001592?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,克里斯．凱爾、史考特．麥坤,高寶      ,9789863611042,https://cdn.kingstone.com.tw/book/images/product/20175/2017580001592/2017580001592b.jpg
飛行員的故事第3輯,https://www.kingstone.com.tw//basic/2017830037647?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,王立楨,旗林文化  ,9789866655586,https://cdn.kingstone.com.tw/book/images/product/20178/2017830037647/2017830037647b.jpg
我們必須去：駕駛艙視角的飛行故事,https://www.kingstone.com.tw//basic/2017830167399?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,王立楨,遠流      ,9789573289272,https://cdn.kingstone.com.tw/book/images/product/20178/2017830167399/2017830167399b.jpg
遨遊天際：虎尾的天空,https://www.kingstone.com.tw//basic/2015980026832?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,霍鵬程,大輿      ,9789863861836,https://cdn.kingstone.com.tw/book/images/product/20159/2015980026832/2015980026832b.jpg
江南案槍手董桂森：我們是為了國家？！,https://www.kingstone.com.tw//basic/2017830163681?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,梁東屏,時報文化  ,9789571384696,https://cdn.kingstone.com.tw/book/images/product/20178/2017830163681/2017830163681b.jpg
荒島祖國戀：留越國軍奮鬥別記,https://www.kingstone.com.tw//basic/2018630186238?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,劉元章,典藏文創  ,9789869641357,https://cdn.kingstone.com.tw/book/images/product/20186/2018630186238/2018630186238b.jpg
激流勇進：黃埔軍校第六期生研究（上冊）,https://www.kingstone.com.tw//basic/2015960009688?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,陳予歡,獵海人    ,9789869622738,https://cdn.kingstone.com.tw/book/images/product/20159/2015960009688/2015960009688b.jpg
激流勇進：黃埔軍校第六期生研究（（下冊）,https://www.kingstone.com.tw//basic/2015960009718?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,陳予歡,獵海人    ,9789869622776,https://cdn.kingstone.com.tw/book/images/product/20159/2015960009718/2015960009718b.jpg
灰飛的存在：二戰德軍200萬外籍兵團,https://www.kingstone.com.tw//basic/2015900039881?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,王佐榮,蒼璧出版  ,9789869510196,https://cdn.kingstone.com.tw/book/images/product/20159/2015900039881/2015900039881b.jpg
動盪的青春：希特勒青年團寫真,https://www.kingstone.com.tw//basic/2017120015973?zone=book&lid=book_class3_hhb&actid=book_class3_hhb,王佐榮,蒼璧出版  ,9789869427616,https://cdn.kingstone.com.tw/book/images/product/20171/2017120015973/2017120015973b.jpg
