書名,書籍網站,作者,出版社,ISBN,圖片網址
圖解：孫子兵法（2版）,https://www.kingstone.com.tw//basic/2015920139608?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,唐譯,海鴿      ,9789863923657,https://cdn.kingstone.com.tw/book/images/product/20159/2015920139608/2015920139608b.jpg
孫子兵法看看就好筆記,https://www.kingstone.com.tw//basic/2015920135990?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,長尾一洋監修,楓樹林    ,9789579501613,https://cdn.kingstone.com.tw/book/images/product/20159/2015920135990/2015920135990b.jpg
孫子兵法策略地圖,https://www.kingstone.com.tw//basic/2015920132814?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,程國政,遠流      ,9789573285748,https://cdn.kingstone.com.tw/book/images/product/20159/2015920132814/2015920132814b.jpg
孫子兵法大全{新版},https://www.kingstone.com.tw//basic/2015920132524?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,孫武、王建東,華威      ,9789579075084,https://cdn.kingstone.com.tw/book/images/product/20159/2015920132524/2015920132524b.jpg
每天讀一點孫子兵法【附有聲朗讀QR CODE】,https://www.kingstone.com.tw//basic/2015920131282?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,(春秋)孫武原著,新文創    ,9789869676113,https://cdn.kingstone.com.tw/book/images/product/20159/2015920131282/2015920131282b.jpg
孫子兵法：世界第一兵書,https://www.kingstone.com.tw//basic/2015920109847?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,沈傑,典藏閣    ,9789862712085,https://cdn.kingstone.com.tw/book/images/product/20159/2015920109847/2015920109847b.jpg
孫子三論,https://www.kingstone.com.tw//basic/2015920094839?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,鈕先鍾,麥田      ,9789861731605,https://cdn.kingstone.com.tw/book/images/product/20159/2015920094839/2015920094839b.jpg
孫子兵法、孫臏兵法,https://www.kingstone.com.tw//basic/2015920139998?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,孫武、孫臏,天蠍座製作,9789863167990,https://cdn.kingstone.com.tw/book/images/product/20159/2015920139998/2015920139998b.jpg
孫子兵法【大字本】,https://www.kingstone.com.tw//basic/2015920139868?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,孫武,國家      ,9789573615828,https://cdn.kingstone.com.tw/book/images/product/20159/2015920139868/2015920139868b.jpg
圖解跨世代生存攻略！孫子兵法,https://www.kingstone.com.tw//basic/2015920137444?zone=book&lid=book_class3_hhc&actid=book_class3_hhc,島崎晉,楓葉社文化,9789863702238,https://cdn.kingstone.com.tw/book/images/product/20159/2015920137444/2015920137444b.jpg
