書名,書籍網站,作者,出版社,ISBN,圖片網址
艦長大哉問：海軍基礎知識與歷史事典,https://www.kingstone.com.tw//basic/2015970016737?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,海擘,蒼璧出版  ,9789869972796,https://cdn.kingstone.com.tw/book/images/product/20159/2015970016737/2015970016737b.jpg
基地帝國的真相：走訪60多個美國海外軍事基地，對其歷史、國際政治和社會問題的再思考,https://www.kingstone.com.tw//basic/2015990027812?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,大衛．范恩,八旗文化  ,9789578654679,https://cdn.kingstone.com.tw/book/images/product/20159/2015990027812/2015990027812b.jpg
看不見的屏障：決定台灣命運的第七艦隊,https://www.kingstone.com.tw//basic/2015990025948?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,布魯斯．艾里曼,八旗文化  ,9789869356282,https://cdn.kingstone.com.tw/book/images/product/20159/2015990025948/2015990025948b.jpg
國防軍,https://www.kingstone.com.tw//basic/2017120008722?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,約翰．平洛特,風格司    ,9789866330025,https://cdn.kingstone.com.tw/book/images/product/20171/2017120008722/2017120008722b.jpg
近現代間諜養成手冊：間諜工具╳行動守則╳保命之道,https://www.kingstone.com.tw//basic/2015990029366?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,落合浩太郎,台灣東販  ,9789865114572,https://cdn.kingstone.com.tw/book/images/product/20159/2015990029366/2015990029366b.jpg
偶爾言中Ⅱ,https://www.kingstone.com.tw//basic/2015730227908?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,林中斌,黎明文化  ,9789571609065,https://cdn.kingstone.com.tw/book/images/product/20157/2015730227908/2015730227908b.jpg
巴黎燒了沒？巴黎如何於一九四四年奇蹟似地逃過希特勒的焚城之火,https://www.kingstone.com.tw//basic/2017420041528?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,拉瑞．柯林斯,楓樹林    ,9789579501514,https://cdn.kingstone.com.tw/book/images/product/20174/2017420041528/2017420041528b.jpg
資訊戰爭：入侵政府網站、竊取國家機密、假造新聞影響選局，網路已成為繼原子彈發明後最危險的完美武器,https://www.kingstone.com.tw//basic/2015990028154?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,桑格,貓頭鷹    ,9789862624029,https://cdn.kingstone.com.tw/book/images/product/20159/2015990028154/2015990028154b.jpg
中國大陸國防科技工業的蛻變與發展,https://www.kingstone.com.tw//basic/2015950022840?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,董慧明,五南      ,9789577633347,https://cdn.kingstone.com.tw/book/images/product/20159/2015950022840/2015950022840b.jpg
野小子特種部隊：以色列建國以來的祕密武器，守護應許之地的半世紀征戰,https://www.kingstone.com.tw//basic/2015960009848?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,麥克．巴佐哈、尼希．米夏爾,麥田      ,9789863446286,https://cdn.kingstone.com.tw/book/images/product/20159/2015960009848/2015960009848b.jpg
中共情報組織與間諜活動,https://www.kingstone.com.tw//basic/2015990027362?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,翁衍慶,新銳文創  ,9789578924239,https://cdn.kingstone.com.tw/book/images/product/20159/2015990027362/2015990027362b.jpg
空防論：現代空權的發展與遠景,https://www.kingstone.com.tw//basic/2015980026092?zone=book&lid=book_class3_hhe&actid=book_class3_hhe,米契爾,八旗文化  ,9789578654143,https://cdn.kingstone.com.tw/book/images/product/20159/2015980026092/2015980026092b.jpg
