書名,書籍網站,作者,出版社,ISBN,圖片網址
圖解捍衛戰士：美國頂尖飛行員的誕生地,https://www.kingstone.com.tw//basic/2015920140017?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,布列．愛爾華,燎原出版  ,9789860629736,https://cdn.kingstone.com.tw/book/images/product/20159/2015920140017/2015920140017b.jpg
戰爭中的航空母艦Ｉ：韓戰、越戰和對抗蘇聯的個人回顧,https://www.kingstone.com.tw//basic/2015900043796?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,詹姆斯．L．霍洛韋三世,風格司    ,9789578697485,https://cdn.kingstone.com.tw/book/images/product/20159/2015900043796/2015900043796b.jpg
全球武器大圖解《How It Works知識大圖解》,https://www.kingstone.com.tw//basic/2015950022970?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,LiveABC編輯群,希伯崙    ,9789864413836,https://cdn.kingstone.com.tw/book/images/product/20159/2015950022970/2015950022970b.jpg
軍服DO！！軍裝大圖鑑,https://www.kingstone.com.tw//basic/2015940002838?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,M.Kelly,楓書坊文化,9789863772446,https://cdn.kingstone.com.tw/book/images/product/20159/2015940002838/2015940002838b.jpg
用生命築長城：F－104星式戰鬥機臺海捍衛史,https://www.kingstone.com.tw//basic/2015980028126?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,王長河、葛惠敏,布克文化  ,9789865568290,https://cdn.kingstone.com.tw/book/images/product/20159/2015980028126/2015980028126b.jpg
戰車大百科,https://www.kingstone.com.tw//basic/2015950023212?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,上田信,楓書坊文化,9789863776475,https://cdn.kingstone.com.tw/book/images/product/20159/2015950023212/2015950023212b.jpg
日本甲冑圖鑑（精裝）,https://www.kingstone.com.tw//basic/2015940003200?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,三浦一郎,奇幻基地  ,9789869563499,https://cdn.kingstone.com.tw/book/images/product/20159/2015940003200/2015940003200b.jpg
世界軍用無人機圖鑑,https://www.kingstone.com.tw//basic/2015980025040?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,王強,四塊玉文創,9789865661243,https://cdn.kingstone.com.tw/book/images/product/20159/2015980025040/2015980025040b.jpg
詳解當今世界主力戰機,https://www.kingstone.com.tw//basic/2015980024838?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,保羅·艾登　索夫·莫伊恩,風格司    ,9789866330773,https://cdn.kingstone.com.tw/book/images/product/20159/2015980024838/2015980024838b.jpg
當代美軍海上力量,https://www.kingstone.com.tw//basic/2015970013231?zone=book&lid=book_class3_hhf&actid=book_class3_hhf,弗雷德．希爾,全球防務  ,9781606335482,https://cdn.kingstone.com.tw/book/images/product/20159/2015970013231/2015970013231b.jpg
