書名,書籍網站,作者,出版社,ISBN,圖片網址
圖表會說謊：圖表設計大師教你如何揪出圖表中的魔鬼，不再受扭曲資訊操弄,https://www.kingstone.com.tw//basic/2014941686801?zone=book&lid=book_class3_hia&actid=book_class3_hia,艾爾伯托．凱洛,商周出版  ,9789864779222,https://cdn.kingstone.com.tw/book/images/product/20149/2014941686801/2014941686801b.jpg
圖解傳播理論,https://www.kingstone.com.tw//basic/2015410279449?zone=book&lid=book_class3_hia&actid=book_class3_hia,梁美珊,五南      ,9789577632487,https://cdn.kingstone.com.tw/book/images/product/20154/2015410279449/2015410279449b.jpg
聲音設計與錄音工程：影音整合,https://www.kingstone.com.tw//basic/2015700088836?zone=book&lid=book_class3_hia&actid=book_class3_hia,鍾思明,五南      ,9789571161518,https://cdn.kingstone.com.tw/book/images/product/20157/2015700088836/2015700088836b.jpg
數位時代社會傳播,https://www.kingstone.com.tw//basic/2015410297399?zone=book&lid=book_class3_hia&actid=book_class3_hia,黃葳威,揚智文化  ,9789862983485,https://cdn.kingstone.com.tw/book/images/product/20154/2015410297399/2015410297399b.jpg
記者超能力：鏡頭底下的生存法則,https://www.kingstone.com.tw//basic/2018950016086?zone=book&lid=book_class3_hia&actid=book_class3_hia,徐尚方,遊讀世界  ,9789869715966,https://cdn.kingstone.com.tw/book/images/product/20189/2018950016086/2018950016086b.jpg
新媒體判讀力：用科學思惟讓假新聞無所遁形,https://www.kingstone.com.tw//basic/2018950015904?zone=book&lid=book_class3_hia&actid=book_class3_hia,科學新聞解剖室作者群,方寸文創  ,9789869536769,https://cdn.kingstone.com.tw/book/images/product/20189/2018950015904/2018950015904b.jpg
重新編集地方,https://www.kingstone.com.tw//basic/2015410287192?zone=book&lid=book_class3_hia&actid=book_class3_hia,影山裕樹編著,行人文化  ,9789869782357,https://cdn.kingstone.com.tw/book/images/product/20154/2015410287192/2015410287192b.jpg
身為國際新聞記者：鏡頭下的故事與文化，那些城市教我的事,https://www.kingstone.com.tw//basic/2018950015744?zone=book&lid=book_class3_hia&actid=book_class3_hia,翁琬柔Joyce Weng,高寶      ,9789863617518,https://cdn.kingstone.com.tw/book/images/product/20189/2018950015744/2018950015744b.jpg
新媒體技術,https://www.kingstone.com.tw//basic/2015410286690?zone=book&lid=book_class3_hia&actid=book_class3_hia,洪杰文、歸偉夏 編著,崧燁文化  ,9789576819469,https://cdn.kingstone.com.tw/book/images/product/20154/2015410286690/2015410286690b.jpg
那天在那裡的人們：來自韓國重大新聞現場直擊,https://www.kingstone.com.tw//basic/2018950015614?zone=book&lid=book_class3_hia&actid=book_class3_hia,李嘉赫,開學文化  ,9789869715140,https://cdn.kingstone.com.tw/book/images/product/20189/2018950015614/2018950015614b.jpg
新聞不死，只是很喘：比解決問題更重要，速效達成目標的超精準工作法,https://www.kingstone.com.tw//basic/2015410279609?zone=book&lid=book_class3_hia&actid=book_class3_hia,黃哲斌,天下雜誌  ,9789863984160,https://cdn.kingstone.com.tw/book/images/product/20154/2015410279609/2015410279609b.jpg
數位世代民意研究混合模式調查,https://www.kingstone.com.tw//basic/2015400096087?zone=book&lid=book_class3_hia&actid=book_class3_hia,蔡美瑛,天空數位  ,9789579119290,https://cdn.kingstone.com.tw/book/images/product/20154/2015400096087/2015400096087b.jpg
論述研究與傳播議題分析,https://www.kingstone.com.tw//basic/2015010011913?zone=book&lid=book_class3_hia&actid=book_class3_hia,倪炎元,五南      ,9789571194639,https://cdn.kingstone.com.tw/book/images/product/20150/2015010011913/2015010011913b.jpg
臺灣走向科技的那些年：關鍵的人與事,https://www.kingstone.com.tw//basic/2015520112544?zone=book&lid=book_class3_hia&actid=book_class3_hia,呂一銘,巨流圖書  ,9789577325679,https://cdn.kingstone.com.tw/book/images/product/20155/2015520112544/2015520112544b.jpg
報導的技藝：《華爾街日報》首席主筆教你寫出兼具縱深與情感，引發高關注度的優質報導,https://www.kingstone.com.tw//basic/2018950014952?zone=book&lid=book_class3_hia&actid=book_class3_hia,威廉．布隆代爾,臉譜文化  ,9789862356340,https://cdn.kingstone.com.tw/book/images/product/20189/2018950014952/2018950014952b.jpg
資訊傳播概說,https://www.kingstone.com.tw//basic/2015400091037?zone=book&lid=book_class3_hia&actid=book_class3_hia,柯舜智主編,翰蘆圖書  ,9789869528306,https://cdn.kingstone.com.tw/book/images/product/20154/2015400091037/2015400091037b.jpg
變遷中的傳播媒介：從類比到數位匯流,https://www.kingstone.com.tw//basic/2015410261956?zone=book&lid=book_class3_hia&actid=book_class3_hia,蔡念中 等,五南      ,9789571192413,https://cdn.kingstone.com.tw/book/images/product/20154/2015410261956/2015410261956b.jpg
媒玩.媒瞭.學媒體：媒體素養教學寶典,https://www.kingstone.com.tw//basic/2015232951790?zone=book&lid=book_class3_hia&actid=book_class3_hia,鄭智仁 主編,巨流圖書  ,9789577325495,https://cdn.kingstone.com.tw/book/images/product/20152/2015232951790/2015232951790b.jpg
敘事傳播：故事/人文觀點,https://www.kingstone.com.tw//basic/2018950014662?zone=book&lid=book_class3_hia&actid=book_class3_hia,臧國仁,五南      ,9789571191836,https://cdn.kingstone.com.tw/book/images/product/20189/2018950014662/2018950014662b.jpg
