書名,書籍網站,作者,出版社,ISBN,圖片網址
別輕易相信！你必須知道的科學偽新聞,https://www.kingstone.com.tw//basic/2013070031735?zone=book&lid=book_class3_hid&actid=book_class3_hid,黃俊儒,時報文化  ,9789571359052,https://cdn.kingstone.com.tw/book/images/product/20130/2013070031735/2013070031735b.jpg
收視率背後的祕密,https://www.kingstone.com.tw//basic/2015410279579?zone=book&lid=book_class3_hid&actid=book_class3_hid,劉旭峰,秀威出版  ,9789863266679,https://cdn.kingstone.com.tw/book/images/product/20154/2015410279579/2015410279579b.jpg
街頭守門人：台大新聞E論壇反黑箱服貿運動報導紀實,https://www.kingstone.com.tw//basic/2015410231225?zone=book&lid=book_class3_hid&actid=book_class3_hid,新聞E論壇,衛城出版  ,9789869109307,https://cdn.kingstone.com.tw/book/images/product/20154/2015410231225/2015410231225b.jpg
圖解電視節目編導,https://www.kingstone.com.tw//basic/2015570061236?zone=book&lid=book_class3_hid&actid=book_class3_hid,莊克仁,五南      ,9789571174440,https://cdn.kingstone.com.tw/book/images/product/20155/2015570061236/2015570061236b.jpg
「聲」的資本主義——電話、RADIO、留聲機的社會史,https://www.kingstone.com.tw//basic/2015570071853?zone=book&lid=book_class3_hid&actid=book_class3_hid,吉見俊哉,群學      ,9789866525698,https://cdn.kingstone.com.tw/book/images/product/20155/2015570071853/2015570071853b.jpg
電視美學概論：觀眾審美篇,https://www.kingstone.com.tw//basic/2029890026059?zone=book&lid=book_class3_hid&actid=book_class3_hid,胡智鋒,新銳文創  ,9789865915810,https://cdn.kingstone.com.tw/book/images/product/20298/2029890026059/2029890026059b.jpg
電視美學概論：基礎篇,https://www.kingstone.com.tw//basic/2019890025954?zone=book&lid=book_class3_hid&actid=book_class3_hid,胡智鋒,新銳文創  ,9789865915759,https://cdn.kingstone.com.tw/book/images/product/20198/2019890025954/2019890025954b.jpg
有線電視原理實務,https://www.kingstone.com.tw//basic/2015570055747?zone=book&lid=book_class3_hid&actid=book_class3_hid,呂海涵,台科大    ,9789863083085,https://cdn.kingstone.com.tw/book/images/product/20155/2015570055747/2015570055747b.jpg
我的老師13歲：點燈18,https://www.kingstone.com.tw//basic/2015570053163?zone=book&lid=book_class3_hid&actid=book_class3_hid,張光斗,四塊玉    ,9789866334818,https://cdn.kingstone.com.tw/book/images/product/20155/2015570053163/2015570053163b.jpg
我們一同取暖的那些年－點燈18,https://www.kingstone.com.tw//basic/2015570053033?zone=book&lid=book_class3_hid&actid=book_class3_hid,張光斗,四塊玉    ,9789866334771,https://cdn.kingstone.com.tw/book/images/product/20155/2015570053033/2015570053033b.jpg
