書名,書籍網站,作者,出版社,ISBN,圖片網址
愛書人：2000本書、超過47個世界級書店、36個圖書館，療癒畫風插圖，喚起你的閱讀魂,https://www.kingstone.com.tw//basic/2018130058110?zone=book&lid=book_class3_hig&actid=book_class3_hig,珍．蒙特,朱雀文化  ,9789869906142,https://cdn.kingstone.com.tw/book/images/product/20181/2018130058110/2018130058110b.jpg
王陽明與禪,https://www.kingstone.com.tw//basic/2011260011581?zone=book&lid=book_class3_hig&actid=book_class3_hig,陳榮捷,學生書局  ,9789571518107,https://cdn.kingstone.com.tw/book/images/product/20112/2011260011581/2011260011581b.jpg
漢字的起源與演變論叢（二版）,https://www.kingstone.com.tw//basic/2018020568880?zone=book&lid=book_class3_hig&actid=book_class3_hig,李孝定,聯經      ,9789570853698,https://cdn.kingstone.com.tw/book/images/product/20180/2018020568880/2018020568880b.jpg
佛教中觀學百論的哲學解讀【POD】,https://www.kingstone.com.tw//basic/2015215504135?zone=book&lid=book_class3_hig&actid=book_class3_hig,陳森田,學生書局  ,9789571517247,https://cdn.kingstone.com.tw/book/images/product/20152/2015215504135/2015215504135b.jpg
圖書館管理精義,https://www.kingstone.com.tw//basic/2010220001037?zone=book&lid=book_class3_hig&actid=book_class3_hig,廖又生,新文京    ,9789864301584,https://cdn.kingstone.com.tw/book/images/product/20102/2010220001037/2010220001037b.jpg
中國文學史（上下）,https://www.kingstone.com.tw//basic/2018592659238?zone=book&lid=book_class3_hig&actid=book_class3_hig,葉慶炳,學生書局  ,9789571501291,https://cdn.kingstone.com.tw/book/images/product/20185/2018592659238/2018592659238b.jpg
地球大工程,https://www.kingstone.com.tw//basic/2014400104976?zone=book&lid=book_class3_hig&actid=book_class3_hig,李原,臺灣商務  ,9789570503036,https://cdn.kingstone.com.tw/book/images/product/20144/2014400104976/2014400104976b.jpg
風城佛影的歷史構造：三百年來新竹齋堂佛寺與代表性人物誌【POD】,https://www.kingstone.com.tw//basic/2012280013296?zone=book&lid=book_class3_hig&actid=book_class3_hig,江燦騰,學生書局  ,9789571518473,https://cdn.kingstone.com.tw/book/images/product/20122/2012280013296/2012280013296b.jpg
宋代吏治法研究,https://www.kingstone.com.tw//basic/2015730233497?zone=book&lid=book_class3_hig&actid=book_class3_hig,姜吉仲,文津      ,9789863390855,https://cdn.kingstone.com.tw/book/images/product/20157/2015730233497/2015730233497b.jpg
知性儒家：儒學儒教的知識之路【POD】,https://www.kingstone.com.tw//basic/2011210289268?zone=book&lid=book_class3_hig&actid=book_class3_hig,潘朝陽,學生書局  ,9789571518480,https://cdn.kingstone.com.tw/book/images/product/20112/2011210289268/2011210289268b.jpg
