書名,書籍網站,作者,出版社,ISBN,圖片網址
地板會被書壓垮嗎？,https://www.kingstone.com.tw//basic/2013010013647?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,西牟田靖,行人文化  ,9789869546287,https://cdn.kingstone.com.tw/book/images/product/20130/2013010013647/2013010013647b.jpg
校史館管理：理論與實務,https://www.kingstone.com.tw//basic/2010270000455?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,薛理桂,五南      ,9789571189420,https://cdn.kingstone.com.tw/book/images/product/20102/2010270000455/2010270000455b.jpg
台灣報業：歷史.現狀和展望,https://www.kingstone.com.tw//basic/2018900016586?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,陳致中,風雲時代  ,9789863523451,https://cdn.kingstone.com.tw/book/images/product/20189/2018900016586/2018900016586b.jpg
矽谷深度報導：為矽谷把脈：中美政商界人士專訪（中英雙語版）,https://www.kingstone.com.tw//basic/2018950013870?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,張旗東,漢世紀數位,9781625031839,https://cdn.kingstone.com.tw/book/images/product/20189/2018950013870/2018950013870b.jpg
基礎動畫製作,https://www.kingstone.com.tw//basic/2013120276499?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,遠東動畫科技股份有公司,五南      ,9789571172583,https://cdn.kingstone.com.tw/book/images/product/20131/2013120276499/2013120276499b.jpg
非人採訪術（東大學術38）,https://www.kingstone.com.tw//basic/2018950012958?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,黃獻加,秀威資訊  ,9789862219386,https://cdn.kingstone.com.tw/book/images/product/20189/2018950012958/2018950012958b.jpg
媒體企劃：跨媒體行銷趨勢與傳播策略,https://www.kingstone.com.tw//basic/2015410209620?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,陳萬達,威仕曼    ,9789866035074,https://cdn.kingstone.com.tw/book/images/product/20154/2015410209620/2015410209620b.jpg
媒體改革 漫漫長路－紀錄與反思（1999－2009）,https://www.kingstone.com.tw//basic/2015410209170?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,台灣媒體觀察教育基金會,同喜文化  ,9789868451810,https://cdn.kingstone.com.tw/book/images/product/20154/2015410209170/2015410209170b.jpg
中國報人【認識大陸作家系列】,https://www.kingstone.com.tw//basic/2018980004329?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,蔡曉濱,秀威資訊  ,9789862216408,https://cdn.kingstone.com.tw/book/images/product/20189/2018980004329/2018980004329b.jpg
全球崛起的公民媒體,https://www.kingstone.com.tw//basic/2014960292694?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,胡元輝,先驅媒體  ,9789868650206,https://cdn.kingstone.com.tw/book/images/product/20149/2014960292694/2014960292694b.jpg
大聲嗆媒體＜向台灣惡質媒體宣戰!＞,https://www.kingstone.com.tw//basic/2015410181599?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,朱立熙,前衛      ,9789578015821,https://cdn.kingstone.com.tw/book/images/product/20154/2015410181599/2015410181599b.jpg
媒體是亂源?!,https://www.kingstone.com.tw//basic/2015410180967?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,林育卉,前衛      ,9789578015708,https://cdn.kingstone.com.tw/book/images/product/20154/2015410180967/2015410180967b.jpg
數位媒體與科技文化,https://www.kingstone.com.tw//basic/2015410174478?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,邱誌勇主編,遠流      ,9789573258643,https://cdn.kingstone.com.tw/book/images/product/20154/2015410174478/2015410174478b.jpg
中國新聞改革論,https://www.kingstone.com.tw//basic/2018980004299?zone=book&lid=book_class3_hiz&actid=book_class3_hiz,張駿德,秀威資訊  ,9789867080684,https://cdn.kingstone.com.tw/book/images/product/20189/2018980004299/2018980004299b.jpg
