書名,書籍網站,作者,出版社,ISBN,圖片網址
漢語語音發展史：歷史語言學的理論與實踐,https://www.kingstone.com.tw//basic/2018020569702?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,張光宇,臺灣商務  ,9789570532371,https://cdn.kingstone.com.tw/book/images/product/20180/2018020569702/2018020569702b.jpg
視覺與認同：跨太平洋華語語系表述‧呈現,https://www.kingstone.com.tw//basic/2015360074613?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,史書美,聯經      ,9789570841572,https://cdn.kingstone.com.tw/book/images/product/20153/2015360074613/2015360074613b.jpg
幼學瓊林,https://www.kingstone.com.tw//basic/2018020295922?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,簡美玲,文國書局  ,9789576008481,https://cdn.kingstone.com.tw/book/images/product/20180/2018020295922/2018020295922b.jpg
語意學,https://www.kingstone.com.tw//basic/2018000024733?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,徐烈炯著、高大威校訂,五南      ,9789571111803,https://cdn.kingstone.com.tw/book/images/product/20180/2018000024733/2018000024733b.jpg
訓詁學之旅,https://www.kingstone.com.tw//basic/2018020568460?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,竺家寧,新學林    ,9789862959985,https://cdn.kingstone.com.tw/book/images/product/20180/2018020568460/2018020568460b.jpg
閩南語否定結構的變遷與效應：由正反問句、動貌系統與程度結構入手,https://www.kingstone.com.tw//basic/2018020565124?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,蘇建唐,萬卷樓    ,9789864782802,https://cdn.kingstone.com.tw/book/images/product/20180/2018020565124/2018020565124b.jpg
聲韻學通論,https://www.kingstone.com.tw//basic/2018020544488?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,宋金印,台灣中華  ,9789869490931,https://cdn.kingstone.com.tw/book/images/product/20180/2018020544488/2018020544488b.jpg
詞彙之旅（新修訂版）,https://www.kingstone.com.tw//basic/2018020538869?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,竺家寧,正中書局  ,9789570919615,https://cdn.kingstone.com.tw/book/images/product/20180/2018020538869/2018020538869b.jpg
反離散：華語語系研究論（Against Diaspora： Discourses on Sinophone Studies）,https://www.kingstone.com.tw//basic/2015410261116?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,史書美,聯經      ,9789570849493,https://cdn.kingstone.com.tw/book/images/product/20154/2015410261116/2015410261116b.jpg
東籬樂府 語言風格研究,https://www.kingstone.com.tw//basic/2018530015362?zone=book&lid=book_class3_hjb&actid=book_class3_hjb,周碧香 著,五南      ,9789571177724,https://cdn.kingstone.com.tw/book/images/product/20185/2018530015362/2018530015362b.jpg
