書名,書籍網站,作者,出版社,ISBN,圖片網址
無盡之語,https://www.kingstone.com.tw//basic/2018000032066?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,孤鷹,漢世紀數位,9781625035073,https://cdn.kingstone.com.tw/book/images/product/20180/2018000032066/2018000032066b.jpg
拉丁文帝國（經典復刻版）,https://www.kingstone.com.tw//basic/2018040379893?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,瓦克,貓頭鷹    ,9789862622308,https://cdn.kingstone.com.tw/book/images/product/20180/2018040379893/2018040379893b.jpg
梵漢對音初探,https://www.kingstone.com.tw//basic/2018030688493?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,林光明,嘉豐      ,9789579898591,https://cdn.kingstone.com.tw/book/images/product/20180/2018030688493/2018030688493b.jpg
語言類型與節律體系（俄文書）,https://www.kingstone.com.tw//basic/2018000023941?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,張慶國,秀威資訊  ,9789867614384,https://cdn.kingstone.com.tw/book/images/product/20180/2018000023941/2018000023941b.jpg
歐洲整合與歐盟語言政策,https://www.kingstone.com.tw//basic/2018000007125?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,丁元亨,前衛      ,9789578013742,https://cdn.kingstone.com.tw/book/images/product/20180/2018000007125/2018000007125b.jpg
比利時語言政策,https://www.kingstone.com.tw//basic/2018000007255?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,蔡芬芳,前衛      ,9789578013759,https://cdn.kingstone.com.tw/book/images/product/20180/2018000007255/2018000007255b.jpg
拉丁文帝國,https://www.kingstone.com.tw//basic/2017130015031?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,瓦克,貓頭鷹    ,9789867001801,https://cdn.kingstone.com.tw/book/images/product/20171/2017130015031/2017130015031b.jpg
滾舌不生苔：教師的語言藝術,https://www.kingstone.com.tw//basic/2018020190791?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,王曉平,祺齡      ,9789578905177,https://cdn.kingstone.com.tw/book/images/product/20180/2018020190791/2018020190791b.jpg
40國語言習得法,https://www.kingstone.com.tw//basic/2018000002175?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,新名美次,漢思      ,9789579969543,https://cdn.kingstone.com.tw/book/images/product/20180/2018000002175/2018000002175b.jpg
語言教育改革芻議,https://www.kingstone.com.tw//basic/2028010023442?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,學生書局  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20280/2028010023442/2028010023442b.jpg
語言金庫,https://www.kingstone.com.tw//basic/2028020116080?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,龔顯男,亞泰      ,,https://cdn.kingstone.com.tw/book/images/product/20280/2028020116080/2028020116080b.jpg
語言金庫,https://www.kingstone.com.tw//basic/2028020116110?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,龔顯男,亞泰      ,,https://cdn.kingstone.com.tw/book/images/product/20280/2028020116110/2028020116110b.jpg
日語溯源,https://www.kingstone.com.tw//basic/2018030187446?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,柴田武,旺文社    ,,https://cdn.kingstone.com.tw/book/images/product/20180/2018030187446/2018030187446b.jpg
日語再發現,https://www.kingstone.com.tw//basic/2018030187576?zone=book&lid=book_class3_hjz&actid=book_class3_hjz,柴田武,旺文社    ,,https://cdn.kingstone.com.tw/book/images/product/20180/2018030187576/2018030187576b.jpg
