書名,書籍網站,作者,出版社,ISBN,圖片網址
命案現場清潔師：跨越生與死的斷捨離.清掃死亡最前線的真實記錄,https://www.kingstone.com.tw//basic/2014890047067?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,盧拉拉,橡樹林文化,9789865613983,https://cdn.kingstone.com.tw/book/images/product/20148/2014890047067/2014890047067b.jpg
如果可以好好說再見：以愛告別，人生最後選擇的現場紀實,https://www.kingstone.com.tw//basic/2011970006150?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,宮下洋一,聯經      ,9789570854800,https://cdn.kingstone.com.tw/book/images/product/20119/2011970006150/2011970006150b.jpg
告別的勇氣：讓我們談談死亡這件事，學著與生命說再見,https://www.kingstone.com.tw//basic/2011970004996?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,亨尼．舍夫、安奈莉．凱爾,商周出版  ,9789864773633,https://cdn.kingstone.com.tw/book/images/product/20119/2011970004996/2011970004996b.jpg
人生的起點和終站,https://www.kingstone.com.tw//basic/2012250135911?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,南懷瑾,南懷瑾文化,9789869314404,https://cdn.kingstone.com.tw/book/images/product/20122/2012250135911/2012250135911b.jpg
死後的世界,https://www.kingstone.com.tw//basic/2011750107039?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,雷蒙．穆迪,商周出版  ,4717702109301,https://cdn.kingstone.com.tw/book/images/product/20117/2011750107039/2011750107039b.jpg
每週都去看屍體：首爾大學最熱門的死亡學,https://www.kingstone.com.tw//basic/2011970006600?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,柳成昊,臺灣商務  ,9789570532920,https://cdn.kingstone.com.tw/book/images/product/20119/2011970006600/2011970006600b.jpg
人生最後一次相聚（全新封面版）,https://www.kingstone.com.tw//basic/2014890049061?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,江佳龍,春光      ,4717702102784,https://cdn.kingstone.com.tw/book/images/product/20148/2014890049061/2014890049061b.jpg
生死學概論（第四版）,https://www.kingstone.com.tw//basic/2011970006440?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,劉作揖,新文京    ,9789864305537,https://cdn.kingstone.com.tw/book/images/product/20119/2011970006440/2011970006440b.jpg
新生死學：生命與關懷,https://www.kingstone.com.tw//basic/2011970006310?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,鈕則誠,揚智文化  ,9789862983416,https://cdn.kingstone.com.tw/book/images/product/20119/2011970006310/2011970006310b.jpg
生死自決：安樂死的全球現況,https://www.kingstone.com.tw//basic/2015000041746?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,松田純,行人文化  ,9789869859219,https://cdn.kingstone.com.tw/book/images/product/20150/2015000041746/2015000041746b.jpg
貪生不怕死：念念分明 來去自如,https://www.kingstone.com.tw//basic/2011970005948?zone=book&lid=book_class3_hkc&actid=book_class3_hkc,曾廣志,香海文化  ,9789869796835,https://cdn.kingstone.com.tw/book/images/product/20119/2011970005948/2011970005948b.jpg
