書名,書籍網站,作者,出版社,ISBN,圖片網址
韓非,https://www.kingstone.com.tw//basic/2017820630971?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,任繼愈,香港中和  ,9789888694051,https://cdn.kingstone.com.tw/book/images/product/20178/2017820630971/2017820630971b.jpg
韓非子思想蠡測,https://www.kingstone.com.tw//basic/2011210288896?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,劉斯玄,萬卷樓    ,9789864784257,https://cdn.kingstone.com.tw/book/images/product/20112/2011210288896/2011210288896b.jpg
韓非子全書,https://www.kingstone.com.tw//basic/2011510000334?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,韓非子原著,華志文化  ,9789869831352,https://cdn.kingstone.com.tw/book/images/product/20115/2011510000334/2011510000334b.jpg
荀子的正確打開方式：先秦最後一位儒學大師解密,https://www.kingstone.com.tw//basic/2011210278439?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,山陽,崧燁文化  ,9789865163570,https://cdn.kingstone.com.tw/book/images/product/20112/2011210278439/2011210278439b.jpg
管子的正確打開方式：古代第一相的領導力應用解密,https://www.kingstone.com.tw//basic/2011210278569?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,山陽,崧燁文化  ,9789865163532,https://cdn.kingstone.com.tw/book/images/product/20112/2011210278569/2011210278569b.jpg
韓非子,https://www.kingstone.com.tw//basic/2011210276565?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,韓非,布拉格文創,9789869822107,https://cdn.kingstone.com.tw/book/images/product/20112/2011210276565/2011210276565b.jpg
這就是韓非子,https://www.kingstone.com.tw//basic/2011210265156?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,秦榆,海鴿      ,9789863921141,https://cdn.kingstone.com.tw/book/images/product/20112/2011210265156/2011210265156b.jpg
這就是荀子,https://www.kingstone.com.tw//basic/2011210264074?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,秦榆,海鴿      ,9789863921110,https://cdn.kingstone.com.tw/book/images/product/20112/2011210264074/2011210264074b.jpg
中國法家概論,https://www.kingstone.com.tw//basic/2012210139447?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,陳啟天,台灣中華  ,9789869490757,https://cdn.kingstone.com.tw/book/images/product/20122/2012210139447/2012210139447b.jpg
法家智慧的人生99個感悟,https://www.kingstone.com.tw//basic/2011210248258?zone=book&lid=book_class3_hlf&actid=book_class3_hlf,秦漢唐,文經閣    ,9789577135858,https://cdn.kingstone.com.tw/book/images/product/20112/2011210248258/2011210248258b.jpg
