書名,書籍網站,作者,出版社,ISBN,圖片網址
羅織經：有史以來第一部製造冤獄的經典,https://www.kingstone.com.tw//basic/2015730202004?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,來俊臣,好讀      ,9789861783994,https://cdn.kingstone.com.tw/book/images/product/20157/2015730202004/2015730202004b.jpg
小人經：剖析古代奸臣、小人的震撼之作,https://www.kingstone.com.tw//basic/2011730224022?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,長樂老,好讀      ,9789861784144,https://cdn.kingstone.com.tw/book/images/product/20117/2011730224022/2011730224022b.jpg
王陽明的心學智慧－知行合一的人生哲學,https://www.kingstone.com.tw//basic/2011920713398?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,弘 逸,華冠      ,9789869730648,https://cdn.kingstone.com.tw/book/images/product/20119/2011920713398/2011920713398b.jpg
知行合一 王陽明（1472－1529）（二版）,https://www.kingstone.com.tw//basic/2011260012113?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,度陰山,大旗      ,9789860602005,https://cdn.kingstone.com.tw/book/images/product/20112/2011260012113/2011260012113b.jpg
全彩圖解鬼谷子,https://www.kingstone.com.tw//basic/2011210282894?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,任思源,華威      ,9789579075503,https://cdn.kingstone.com.tw/book/images/product/20112/2011210282894/2011210282894b.jpg
天下第一奇謀鬼谷子,https://www.kingstone.com.tw//basic/2011210278859?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,鬼谷子,布拉格文創,9789869878524,https://cdn.kingstone.com.tw/book/images/product/20112/2011210278859/2011210278859b.jpg
天下第一詭術：鬼谷子智慧（暢銷修訂二版）,https://www.kingstone.com.tw//basic/2011210271355?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,夜問,菁品文化  ,9789869730662,https://cdn.kingstone.com.tw/book/images/product/20112/2011210271355/2011210271355b.jpg
王陽明哲學,https://www.kingstone.com.tw//basic/2011260009700?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,蔡龍九,五南      ,9789571179681,https://cdn.kingstone.com.tw/book/images/product/20112/2011260009700/2011260009700b.jpg
葛洪《抱朴子》道醫丹道修真學,https://www.kingstone.com.tw//basic/2011230008344?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,蘇華仁,大展      ,9789574689583,https://cdn.kingstone.com.tw/book/images/product/20112/2011230008344/2011230008344b.jpg
王陽明悟人生大智慧,https://www.kingstone.com.tw//basic/2011920587593?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,秦漢唐,文經閣    ,9789577135018,https://cdn.kingstone.com.tw/book/images/product/20119/2011920587593/2011920587593b.jpg
王陽明的人生64個感悟,https://www.kingstone.com.tw//basic/2011920581331?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,秦漢唐,文經閣    ,9789577134967,https://cdn.kingstone.com.tw/book/images/product/20119/2011920581331/2011920581331b.jpg
新編論衡（下）,https://www.kingstone.com.tw//basic/2011220008156?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,王充,臺灣古籍  ,9789578499713,https://cdn.kingstone.com.tw/book/images/product/20112/2011220008156/2011220008156b.jpg
新編論衡（上）,https://www.kingstone.com.tw//basic/2011220008316?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,王充,臺灣古籍  ,9789578499690,https://cdn.kingstone.com.tw/book/images/product/20112/2011220008316/2011220008316b.jpg
廣大和諧：比較哲學與文化紀念方東美先生誕辰雙甲子In Memory of Thome Fang：1899~2019,https://www.kingstone.com.tw//basic/2011280023038?zone=book&lid=book_class3_hlg&actid=book_class3_hlg,孫智燊,時英      ,9789860652246,https://cdn.kingstone.com.tw/book/images/product/20112/2011280023038/2011280023038b.jpg
