書名,書籍網站,作者,出版社,ISBN,圖片網址
猶太智典《塔木德》,https://www.kingstone.com.tw//basic/2015360099807?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,林郁,布拉格文創,9789869878517,https://cdn.kingstone.com.tw/book/images/product/20153/2015360099807/2015360099807b.jpg
塔木德智慧書,https://www.kingstone.com.tw//basic/2015360104945?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,林郁,布拉格文創,9789860650242,https://cdn.kingstone.com.tw/book/images/product/20153/2015360104945/2015360104945b.jpg
論語新繹：積極向上的生活態度,https://www.kingstone.com.tw//basic/2011210252613?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,吳宏一,遠流      ,9789573280231,https://cdn.kingstone.com.tw/book/images/product/20112/2011210252613/2011210252613b.jpg
作為隱喻的建築【典藏版】,https://www.kingstone.com.tw//basic/2011430026322?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,柄谷行人,心靈工坊  ,9789863571827,https://cdn.kingstone.com.tw/book/images/product/20114/2011430026322/2011430026322b.jpg
原來，我們都對自我誤解太深：從印度哲學思維，找回真實的自己,https://www.kingstone.com.tw//basic/2011910223272?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,熊仁謙,究竟      ,9789861372747,https://cdn.kingstone.com.tw/book/images/product/20119/2011910223272/2011910223272b.jpg
葉隱聞書,https://www.kingstone.com.tw//basic/2011960002384?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,山本常朝口述,遠流      ,9789573261933,https://cdn.kingstone.com.tw/book/images/product/20119/2011960002384/2011960002384b.jpg
被誤讀的儒學史：國家存亡關頭的思想，十七世紀朝鮮儒學新論,https://www.kingstone.com.tw//basic/2011320001286?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,姜智恩,聯經      ,9789570856507,https://cdn.kingstone.com.tw/book/images/product/20113/2011320001286/2011320001286b.jpg
翻轉思考力的日本哲學：從哲學史、名著到專門用語，有助自我實現的5大工具,https://www.kingstone.com.tw//basic/2011310006598?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,小川仁志,遠足文化  ,9789865080716,https://cdn.kingstone.com.tw/book/images/product/20113/2011310006598/2011310006598b.jpg
陽明心學三部曲：（一）求學之卷,https://www.kingstone.com.tw//basic/2011260011321?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,張榮緹,白象      ,9789863588214,https://cdn.kingstone.com.tw/book/images/product/20112/2011260011321/2011260011321b.jpg
印度智慧書（十週年暢修版）：認識《薄伽梵歌》的第一本書,https://www.kingstone.com.tw//basic/2011370013017?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,楊逢財、江信慧,商周出版  ,4717702906108,https://cdn.kingstone.com.tw/book/images/product/20113/2011370013017/2011370013017b.jpg
三代同堂話齊家（簡體中文版）,https://www.kingstone.com.tw//basic/2018250015116?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,王傳明,漢世紀數位,9781625034687,https://cdn.kingstone.com.tw/book/images/product/20182/2018250015116/2018250015116b.jpg
日本儒學之社會實踐,https://www.kingstone.com.tw//basic/2011310006338?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,金培懿,萬卷樓    ,9789577399021,https://cdn.kingstone.com.tw/book/images/product/20113/2011310006338/2011310006338b.jpg
日本思想全史,https://www.kingstone.com.tw//basic/2011130002268?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,清水正之,聯經      ,9789570852158,https://cdn.kingstone.com.tw/book/images/product/20111/2011130002268/2011130002268b.jpg
薄伽梵歌（中英對照本）,https://www.kingstone.com.tw//basic/2011370012775?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,毗耶娑,啟示      ,9789869676519,https://cdn.kingstone.com.tw/book/images/product/20113/2011370012775/2011370012775b.jpg
經典詮釋與生命會通,https://www.kingstone.com.tw//basic/2015000034205?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,丁亞傑,萬卷樓    ,9789864781560,https://cdn.kingstone.com.tw/book/images/product/20150/2015000034205/2015000034205b.jpg
下永恆運行 改朝換代的人生：新地球人文主義,https://www.kingstone.com.tw//basic/2011920702309?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,星空穩,白象      ,9789863586586,https://cdn.kingstone.com.tw/book/images/product/20119/2011920702309/2011920702309b.jpg
昆達里尼瑜伽：永恆的力量之流,https://www.kingstone.com.tw//basic/2011370012485?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,莎克蒂．帕瓦．考爾．卡爾薩,橡樹林文化,9789865613266,https://cdn.kingstone.com.tw/book/images/product/20113/2011370012485/2011370012485b.jpg
歷史的不敗哲學套書（不輸的力量+真田三代的挑戰）,https://www.kingstone.com.tw//basic/2015232985429?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,神野正史,大牌出版  ,8667106506991,https://cdn.kingstone.com.tw/book/images/product/20152/2015232985429/2015232985429b.jpg
日本的森林哲學：宗教與文化,https://www.kingstone.com.tw//basic/2012070001199?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,梅原猛,立緒      ,9789863600541,https://cdn.kingstone.com.tw/book/images/product/20120/2012070001199/2012070001199b.jpg
梵我思辨：木村泰賢之印度六派哲學,https://www.kingstone.com.tw//basic/2011370011143?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,木村泰賢,臺灣商務  ,9789570530308,https://cdn.kingstone.com.tw/book/images/product/20113/2011370011143/2011370011143b.jpg
會思想的蘆葦,https://www.kingstone.com.tw//basic/2011910198150?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,傅佩榮,九歌      ,9789864500321,https://cdn.kingstone.com.tw/book/images/product/20119/2011910198150/2011910198150b.jpg
先秦哲學史【南方華人學派06】,https://www.kingstone.com.tw//basic/2011210212105?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,歐崇敬,秀威資訊  ,9789863261001,https://cdn.kingstone.com.tw/book/images/product/20112/2011210212105/2011210212105b.jpg
西田幾多郎哲學選輯,https://www.kingstone.com.tw//basic/2011310004204?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,西田幾多郎,聯經      ,9789570841541,https://cdn.kingstone.com.tw/book/images/product/20113/2011310004204/2011310004204b.jpg
現象學與古典哲學的詮釋問題,https://www.kingstone.com.tw//basic/2011430022324?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,石朝穎,臺灣商務  ,9789570527025,https://cdn.kingstone.com.tw/book/images/product/20114/2011430022324/2011430022324b.jpg
東方大師的驚人智慧,https://www.kingstone.com.tw//basic/2011370006606?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,羅伯特．柯里爾,德威國際  ,9789866845932,https://cdn.kingstone.com.tw/book/images/product/20113/2011370006606/2011370006606b.jpg
霍米巴巴,https://www.kingstone.com.tw//basic/2011370005364?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,生安鋒,生智      ,9789578187016,https://cdn.kingstone.com.tw/book/images/product/20113/2011370005364/2011370005364b.jpg
瑜珈的哲學分析與方法,https://www.kingstone.com.tw//basic/2011370002318?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,沖正弘,臺灣商務  ,9789570510171,https://cdn.kingstone.com.tw/book/images/product/20113/2011370002318/2011370002318b.jpg
原來，我們都對自我誤解太深：從印度哲學思維，找回真實的自己(限量親簽版),https://www.kingstone.com.tw//basic/2011910223302?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,熊仁謙,究竟      ,9782019050108,https://cdn.kingstone.com.tw/book/images/product/20119/2011910223302/2011910223302b.jpg
心學風雲記：王陽明帶你打土匪,https://www.kingstone.com.tw//basic/2011260010829?zone=book&lid=book_class3_hlh&actid=book_class3_hlh,陳復,五南      ,9789571199382,https://cdn.kingstone.com.tw/book/images/product/20112/2011260010829/2011260010829b.jpg
