書名,書籍網站,作者,出版社,ISBN,圖片網址
理想國,https://www.kingstone.com.tw//basic/2011410015797?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,柏拉圖(古希臘),華志文化  ,9789869599627,https://cdn.kingstone.com.tw/book/images/product/20114/2011410015797/2011410015797b.jpg
梅克爾傳：德國第一任女總理,https://www.kingstone.com.tw//basic/2017840112532?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,王強,文經閣    ,9789577135513,https://cdn.kingstone.com.tw/book/images/product/20178/2017840112532/2017840112532b.jpg
哲學家，很有事？：蘇格拉底和32位奇葩夥伴（全二冊）,https://www.kingstone.com.tw//basic/2011400031455?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,賈辰陽,時報文化  ,9789571391748,https://cdn.kingstone.com.tw/book/images/product/20114/2011400031455/2011400031455b.jpg
蘇格拉底哲學特快車：用一天的時間，與14位哲學家散步，關於日常的壯闊思辨,https://www.kingstone.com.tw//basic/2011070013775?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,艾瑞克．魏納,悅知文化  ,9789865101411,https://cdn.kingstone.com.tw/book/images/product/20110/2011070013775/2011070013775b.jpg
蘇格拉底對話集,https://www.kingstone.com.tw//basic/2011410017401?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,柏拉圖,五南      ,9789577635242,https://cdn.kingstone.com.tw/book/images/product/20114/2011410017401/2011410017401b.jpg
沉思錄：世界名人、國家級領導人、各大企業領袖隨身書，羅馬哲學家皇帝淬鍊一生的智慧經典,https://www.kingstone.com.tw//basic/2011410016619?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,馬可斯．奧理略．安東尼努斯,遠流      ,9789573284840,https://cdn.kingstone.com.tw/book/images/product/20114/2011410016619/2011410016619b.jpg
沉思錄典藏有聲精裝版：中英對照全譯本（附全文配樂中文朗讀MP3）,https://www.kingstone.com.tw//basic/2021410016212?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,馬可·奧理略,笛藤出版圖,9789577107381,https://cdn.kingstone.com.tw/book/images/product/20214/2021410016212/2021410016212b.jpg
當亞里斯多德遇上佛洛伊德：哲學家與心理師的人生小客廳,https://www.kingstone.com.tw//basic/2011771125593?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,朱立安．巴吉尼安東尼雅．麥,左岸文化  ,9789865727475,https://cdn.kingstone.com.tw/book/images/product/20117/2011771125593/2011771125593b.jpg
柏拉圖理想國（二版）,https://www.kingstone.com.tw//basic/2011410014035?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,柏拉圖,聯經      ,9789570843521,https://cdn.kingstone.com.tw/book/images/product/20114/2011410014035/2011410014035b.jpg
哲學家，很有事？：趣談前蘇格拉底的16位大奇葩,https://www.kingstone.com.tw//basic/2011400031295?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,賈辰陽,時報文化  ,9789571391724,https://cdn.kingstone.com.tw/book/images/product/20114/2011400031295/2011400031295b.jpg
哲學家，很有事？：漫談蘇格拉底和16位小夥伴,https://www.kingstone.com.tw//basic/2011400031325?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,賈辰陽,時報文化  ,9789571391731,https://cdn.kingstone.com.tw/book/images/product/20114/2011400031325/2011400031325b.jpg
超譯沉思錄,https://www.kingstone.com.tw//basic/2011410017821?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,馬可斯．奧理略．安東尼努斯,方舟文化  ,9789869881944,https://cdn.kingstone.com.tw/book/images/product/20114/2011410017821/2011410017821b.jpg
如果柏拉圖也有Podcast：20位古希臘哲學家給現代人的生活思辨,https://www.kingstone.com.tw//basic/2011410017661?zone=book&lid=book_class3_hmb&actid=book_class3_hmb,馬克．維農,聯經      ,9789570854817,https://cdn.kingstone.com.tw/book/images/product/20114/2011410017661/2011410017661b.jpg
