書名,書籍網站,作者,出版社,ISBN,圖片網址
傅柯關於性事論述的十二堂課,https://www.kingstone.com.tw//basic/2015440580645?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,米歇爾．傅柯,時報文化  ,9789571392240,https://cdn.kingstone.com.tw/book/images/product/20154/2015440580645/2015440580645b.jpg
笛卡兒談談方法,https://www.kingstone.com.tw//basic/2011460011879?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,笛卡兒,網路與書  ,9789866841118,https://cdn.kingstone.com.tw/book/images/product/20114/2011460011879/2011460011879b.jpg
身體部署：梅洛龐蒂與現象學之後,https://www.kingstone.com.tw//basic/2011460011589?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,龔卓軍,心靈工坊  ,9789867574848,https://cdn.kingstone.com.tw/book/images/product/20114/2011460011589/2011460011589b.jpg
臨在與不死,https://www.kingstone.com.tw//basic/2011460018793?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,馬賽爾,心靈工坊  ,9789863572107,https://cdn.kingstone.com.tw/book/images/product/20114/2011460018793/2011460018793b.jpg
沉思錄．我思故我在：「近代哲學之父」笛卡兒第一哲學代表作（名家全譯本│經典重版）,https://www.kingstone.com.tw//basic/2011460018663?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,勒內．笛卡兒,野人文化  ,9789863845805,https://cdn.kingstone.com.tw/book/images/product/20114/2011460018663/2011460018663b.jpg
論幸福：「現代蘇格拉底」哲學家阿蘭的教導，成為自己的思想者，在各種環境中保持快樂的藝術（新版）,https://www.kingstone.com.tw//basic/2011460018403?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,阿蘭,麥田      ,9789863449607,https://cdn.kingstone.com.tw/book/images/product/20114/2011460018403/2011460018403b.jpg
社會契約論,https://www.kingstone.com.tw//basic/2011460018533?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,讓-雅克·盧梭,五南      ,9789577637055,https://cdn.kingstone.com.tw/book/images/product/20114/2011460018533/2011460018533b.jpg
沒有文化同一性：我們捍衛文化資源,https://www.kingstone.com.tw//basic/2011140002616?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,朱利安,開學文化  ,9789869987226,https://cdn.kingstone.com.tw/book/images/product/20111/2011140002616/2011140002616b.jpg
勢：效力論,https://www.kingstone.com.tw//basic/2011460018373?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,朱利安,開學文化  ,9789869987219,https://cdn.kingstone.com.tw/book/images/product/20114/2011460018373/2011460018373b.jpg
什麼是世界公民主義？,https://www.kingstone.com.tw//basic/2015710085658?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,路易．盧墨,開學文化  ,9789869987202,https://cdn.kingstone.com.tw/book/images/product/20157/2015710085658/2015710085658b.jpg
畫中影：惡與反,https://www.kingstone.com.tw//basic/2015410300433?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,朱利安,開學文化  ,9789869808491,https://cdn.kingstone.com.tw/book/images/product/20154/2015410300433/2015410300433b.jpg
思想錄（上）,https://www.kingstone.com.tw//basic/2011460018113?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,帕斯卡爾,五南      ,9789865223359,https://cdn.kingstone.com.tw/book/images/product/20114/2011460018113/2011460018113b.jpg
思想錄（下）,https://www.kingstone.com.tw//basic/2011460018243?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,帕斯卡爾,五南      ,9789865223366,https://cdn.kingstone.com.tw/book/images/product/20114/2011460018243/2011460018243b.jpg
存有的光環：馬賽爾思想研究,https://www.kingstone.com.tw//basic/2011460018083?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,陸達誠,心靈工坊  ,9789863571933,https://cdn.kingstone.com.tw/book/images/product/20114/2011460018083/2011460018083b.jpg
談談方法,https://www.kingstone.com.tw//basic/2011460017901?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,笛卡兒,五南      ,9789571197029,https://cdn.kingstone.com.tw/book/images/product/20114/2011460017901/2011460017901b.jpg
創造的進化論,https://www.kingstone.com.tw//basic/2011460017871?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,亨利．柏格森,五南      ,9789865220976,https://cdn.kingstone.com.tw/book/images/product/20114/2011460017871/2011460017871b.jpg
論真生活,https://www.kingstone.com.tw//basic/2011460017741?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,朱利安,開學文化  ,9789869808446,https://cdn.kingstone.com.tw/book/images/product/20114/2011460017741/2011460017741b.jpg
暢然存在：進入朱利安的思想,https://www.kingstone.com.tw//basic/2011460017611?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,卓立,開學文化  ,9789869808453,https://cdn.kingstone.com.tw/book/images/product/20114/2011460017611/2011460017611b.jpg
一個孤獨的散步者的夢,https://www.kingstone.com.tw//basic/2011460017581?zone=book&lid=book_class3_hmc&actid=book_class3_hmc,盧梭,五南      ,9789577639943,https://cdn.kingstone.com.tw/book/images/product/20114/2011460017581/2011460017581b.jpg
