書名,書籍網站,作者,出版社,ISBN,圖片網址
2022這樣背更快！國考達人連三金榜的學習關鍵從探索→備考→應試→上榜的完全指引：千萬不要錯過最靈活萬用的邏輯記憶訓練（學習方法）,https://www.kingstone.com.tw//basic/2015217002592?zone=book&lid=book_class3_iab&actid=book_class3_iab,黃禕,千華      ,9789865205843,https://cdn.kingstone.com.tw/book/images/product/20152/2015217002592/2015217002592b.jpg
考典：國考、公職、銀行、證照、國營事業、研究所的萬用備考法,https://www.kingstone.com.tw//basic/2015214024566?zone=book&lid=book_class3_iab&actid=book_class3_iab,陳膺宇,商周出版  ,9789862724606,https://cdn.kingstone.com.tw/book/images/product/20152/2015214024566/2015214024566b.jpg
2022贏在執行力！吳盼盼一年雙榜致勝關鍵：一本充滿「希望感」的學習祕笈〔學習方法〕,https://www.kingstone.com.tw//basic/2015217006880?zone=book&lid=book_class3_iab&actid=book_class3_iab,吳盼盼,千華      ,9789865206055,https://cdn.kingstone.com.tw/book/images/product/20152/2015217006880/2015217006880b.jpg
【大數據解密】國營事業招考：國文必考1000題【適用台電、中油、中鋼、中華電、台菸、台水、捷運等】,https://www.kingstone.com.tw//basic/2015215329387?zone=book&lid=book_class3_iab&actid=book_class3_iab,得勝,宏典文化  ,9789865644994,https://cdn.kingstone.com.tw/book/images/product/20152/2015215329387/2015215329387b.jpg
﹝國考救星YouTuber重磅出擊！﹞國考聖經〔學習方法〕,https://www.kingstone.com.tw//basic/2015290090219?zone=book&lid=book_class3_iab&actid=book_class3_iab,王永彰,千華      ,9789864879472,https://cdn.kingstone.com.tw/book/images/product/20152/2015290090219/2015290090219b.jpg
照著做，成功擠進國考窄門,https://www.kingstone.com.tw//basic/2015215231307?zone=book&lid=book_class3_iab&actid=book_class3_iab,林維翰,商周出版  ,9789864771417,https://cdn.kingstone.com.tw/book/images/product/20152/2015215231307/2015215231307b.jpg
2000+公職英文單字口袋書（所有單字均收錄自公職考試）,https://www.kingstone.com.tw//basic/2015214488450?zone=book&lid=book_class3_iab&actid=book_class3_iab,大華傳真出版社,大華傳真  ,9789862154120,https://cdn.kingstone.com.tw/book/images/product/20152/2015214488450/2015214488450b.jpg
飆進高普考：榜首如何用巧勁致勝,https://www.kingstone.com.tw//basic/2010190030228?zone=book&lid=book_class3_iab&actid=book_class3_iab,國考情咨小組,如何      ,9789861362335,https://cdn.kingstone.com.tw/book/images/product/20101/2010190030228/2010190030228b.jpg
格鬥！公務員法（2版）,https://www.kingstone.com.tw//basic/2015216851085?zone=book&lid=book_class3_iab&actid=book_class3_iab,良文育成,讀享數位  ,9789574642458,https://cdn.kingstone.com.tw/book/images/product/20152/2015216851085/2015216851085b.jpg
考典選擇題實戰（上榜考生、補教名師好評推薦）,https://www.kingstone.com.tw//basic/2015216643710?zone=book&lid=book_class3_iab&actid=book_class3_iab,陳膺宇,三民輔考  ,4710139138814,https://cdn.kingstone.com.tw/book/images/product/20152/2015216643710/2015216643710b.jpg
最新！！[依據incoterms 2020編寫]國際貿易實務重點整理+試題演練二合一奪分寶典[國民營]〔贈,https://www.kingstone.com.tw//basic/2015216636729?zone=book&lid=book_class3_iab&actid=book_class3_iab,吳怡萱,千華      ,9789864879809,https://cdn.kingstone.com.tw/book/images/product/20152/2015216636729/2015216636729b.jpg
法科不用背：不必死命背，一樣有好成績！一書加三小時雲端課程，超值優惠組,https://www.kingstone.com.tw//basic/2015216630277?zone=book&lid=book_class3_iab&actid=book_class3_iab,蘇奕,三民輔考  ,4710139139309,https://cdn.kingstone.com.tw/book/images/product/20152/2015216630277/2015216630277b.jpg
國家考試測驗式空白模擬試卷卡（保成）,https://www.kingstone.com.tw//basic/2015216595668?zone=book&lid=book_class3_iab&actid=book_class3_iab,保成編輯,新保成    ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216595668/2015216595668b.jpg
國考輕鬆讀：三民輔考名師親授六大密技23招（任何考試均適用的讀書法）,https://www.kingstone.com.tw//basic/2015216397620?zone=book&lid=book_class3_iab&actid=book_class3_iab,三民輔考名師群,三民輔考  ,4710139136247,https://cdn.kingstone.com.tw/book/images/product/20152/2015216397620/2015216397620b.jpg
〔2020國考的路一點都不難走〕零基礎考上國考－－－－照著做，你也會上榜〔學習方法〕,https://www.kingstone.com.tw//basic/2015216301245?zone=book&lid=book_class3_iab&actid=book_class3_iab,黃柏,千華      ,9789864878383,https://cdn.kingstone.com.tw/book/images/product/20152/2015216301245/2015216301245b.jpg
