書名,書籍網站,作者,出版社,ISBN,圖片網址
中油僱用人員甄試（事務類專用）：4合1歷屆題庫全詳解（共同＋專業科目）,https://www.kingstone.com.tw//basic/2015217001960?zone=book&lid=book_class3_iba&actid=book_class3_iba,宏典文化中油招考對策研究小組,宏典文化  ,9789862757727,https://cdn.kingstone.com.tw/book/images/product/20152/2015217001960/2015217001960b.jpg
2021行政學概要（國營事業/台電綜合行政/台水營運士行政）,https://www.kingstone.com.tw//basic/2015216676947?zone=book&lid=book_class3_iba&actid=book_class3_iba,黃彥勳,三民輔考  ,4710139136438,https://cdn.kingstone.com.tw/book/images/product/20152/2015216676947/2015216676947b.jpg
2021〔機械類〕中油招考_課文版套書：提供名師解題SOP，不怕公式複雜難記！,https://www.kingstone.com.tw//basic/2015216997776?zone=book&lid=book_class3_iba&actid=book_class3_iba,名師作者群,千華      ,9789865205911,https://cdn.kingstone.com.tw/book/images/product/20152/2015216997776/2015216997776b.jpg
中油僱用人員甄試（機械類專用）：3合1歷屆題庫全詳解（共同＋專業科目）,https://www.kingstone.com.tw//basic/2015217001830?zone=book&lid=book_class3_iba&actid=book_class3_iba,宏典文化中油招考對策研究小組,宏典文化  ,9789862757697,https://cdn.kingstone.com.tw/book/images/product/20152/2015217001830/2015217001830b.jpg
中油僱用人員甄試 重點整理套書：煉製類、安環類,https://www.kingstone.com.tw//basic/2015216842830?zone=book&lid=book_class3_iba&actid=book_class3_iba,余訢、艾理、林錦村、羅然、余孟,宏典文化  ,978986630X106,https://cdn.kingstone.com.tw/book/images/product/20152/2015216842830/2015216842830b.jpg
網路概論【適用中華電信、中油、台電、中鋼、台菸、台水、漢翔、北捷桃捷、郵政】,https://www.kingstone.com.tw//basic/2015216824690?zone=book&lid=book_class3_iba&actid=book_class3_iba,黃中生,宏典文化  ,9789862757017,https://cdn.kingstone.com.tw/book/images/product/20152/2015216824690/2015216824690b.jpg
計算機概論（電腦概論、電腦常識）【適用台電、中油、中鋼、中華電信、台菸、台水、漢翔、北捷桃捷、郵政】,https://www.kingstone.com.tw//basic/2015216824720?zone=book&lid=book_class3_iba&actid=book_class3_iba,蔡宏恩,宏典文化  ,9789862757031,https://cdn.kingstone.com.tw/book/images/product/20152/2015216824720/2015216824720b.jpg
破解英文【適用台電、中油、中鋼、中華電信、台菸、台水、漢翔、北捷、桃捷、郵政】,https://www.kingstone.com.tw//basic/2015216846968?zone=book&lid=book_class3_iba&actid=book_class3_iba,羅然,宏典文化  ,9789862757024,https://cdn.kingstone.com.tw/book/images/product/20152/2015216846968/2015216846968b.jpg
國文（測驗）【適用台電、中油、中鋼、中華電信、台菸、台水、漢翔、北捷、桃捷、郵政】,https://www.kingstone.com.tw//basic/2015216823198?zone=book&lid=book_class3_iba&actid=book_class3_iba,余訢,宏典文化  ,9789862756799,https://cdn.kingstone.com.tw/book/images/product/20152/2015216823198/2015216823198b.jpg
企業管理（企業概論 ‧ 管理學）（台電、國民營考試、各類特考考試適用）,https://www.kingstone.com.tw//basic/2015216781085?zone=book&lid=book_class3_iba&actid=book_class3_iba,王毅,志光教育科,9789865146580,https://cdn.kingstone.com.tw/book/images/product/20152/2015216781085/2015216781085b.jpg
電機常識速成【中油招考專用】,https://www.kingstone.com.tw//basic/2015216217843?zone=book&lid=book_class3_iba&actid=book_class3_iba,陳學,宏典文化  ,9789862755228,https://cdn.kingstone.com.tw/book/images/product/20152/2015216217843/2015216217843b.jpg
台電僱員講重點【物理】,https://www.kingstone.com.tw//basic/2015216022348?zone=book&lid=book_class3_iba&actid=book_class3_iba,百官網公職師資群,大碩教育  ,9789863453697,https://cdn.kingstone.com.tw/book/images/product/20152/2015216022348/2015216022348b.jpg
企業管理題庫：破 Point（台電、中油、自來水、經濟部國營事業、郵局、各類相關考試適用）,https://www.kingstone.com.tw//basic/2015216818521?zone=book&lid=book_class3_iba&actid=book_class3_iba,王毅,志光教育科,9789865147129,https://cdn.kingstone.com.tw/book/images/product/20152/2015216818521/2015216818521b.jpg
2022台電新進雇員綜合行政類超強5合1題庫（含國文、英文、法律常識、企業管理概論、行政學概要）（國民營事業/台電新進雇員）,https://www.kingstone.com.tw//basic/2015217011587?zone=book&lid=book_class3_iba&actid=book_class3_iba,千華名師群,千華      ,9789865206031,https://cdn.kingstone.com.tw/book/images/product/20152/2015217011587/2015217011587b.jpg
中油僱用人員甄試－重點整理套書：加油站儲備幹部類,https://www.kingstone.com.tw//basic/2015217009126?zone=book&lid=book_class3_iba&actid=book_class3_iba,余訢、陳澤、蔡宏恩、湯士弘,宏典文化  ,978986630X114,https://cdn.kingstone.com.tw/book/images/product/20152/2015217009126/2015217009126b.jpg
台電僱員2022試題大補帖【變電設備維護類（輸電線路維護/工程類、變電工程類）】共同+專業（104~110年試題）[含國文+英文+輸配電學+基本電學],https://www.kingstone.com.tw//basic/2015217009546?zone=book&lid=book_class3_iba&actid=book_class3_iba,百官網公職師資群,大碩教育  ,9786267004494,https://cdn.kingstone.com.tw/book/images/product/20152/2015217009546/2015217009546b.jpg
台電僱員2022試題大補帖【儀電運轉維護類】共同+專業（104~110年試題）,https://www.kingstone.com.tw//basic/2015217006330?zone=book&lid=book_class3_iba&actid=book_class3_iba,百官網公職師資群,大碩教育  ,9786267004487,https://cdn.kingstone.com.tw/book/images/product/20152/2015217006330/2015217006330b.jpg
台電僱員2022試題大補帖【配電線路維護類】共同+專業（104~110年試題）,https://www.kingstone.com.tw//basic/2015217006460?zone=book&lid=book_class3_iba&actid=book_class3_iba,百官網公職師資群,大碩教育  ,9786267004463,https://cdn.kingstone.com.tw/book/images/product/20152/2015217006460/2015217006460b.jpg
台電僱員2022試題大補帖【電機運轉維護類（電機修護類）】共同+專業（104~110年試題）,https://www.kingstone.com.tw//basic/2015217006200?zone=book&lid=book_class3_iba&actid=book_class3_iba,百官網公職師資群,大碩教育  ,9786267004470,https://cdn.kingstone.com.tw/book/images/product/20152/2015217006200/2015217006200b.jpg
台電僱員2022試題大補帖【機械運轉維護類（機械修護類）】共同+專業（104~110年試題）,https://www.kingstone.com.tw//basic/2015217006170?zone=book&lid=book_class3_iba&actid=book_class3_iba,百官網公職師資群,大碩教育  ,9786267004371,https://cdn.kingstone.com.tw/book/images/product/20152/2015217006170/2015217006170b.jpg
工安環保暨加油站設置法規【中油招考專用】,https://www.kingstone.com.tw//basic/2015217009256?zone=book&lid=book_class3_iba&actid=book_class3_iba,湯士弘,宏典文化  ,9789862755235,https://cdn.kingstone.com.tw/book/images/product/20152/2015217009256/2015217009256b.jpg
2021[營運士業務類]台水招考_題庫版套書：獨家解題要領與關鍵的概念,https://www.kingstone.com.tw//basic/2015217002622?zone=book&lid=book_class3_iba&actid=book_class3_iba,名師作者群,千華      ,9789865206215,https://cdn.kingstone.com.tw/book/images/product/20152/2015217002622/2015217002622b.jpg
