書名,書籍網站,作者,出版社,ISBN,圖片網址
2021電子學：各章皆附課後試題〔八版〕〔國民營事業/經濟部/北捷/桃捷/鐵路特考高員級/員級/佐級〕,https://www.kingstone.com.tw//basic/2014480879566?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,千華電子學、陳震,千華      ,9789865202200,https://cdn.kingstone.com.tw/book/images/product/20144/2014480879566/2014480879566b.jpg
臺中捷運招考[站務員/技術員]四合一15天速成（國文、英文、數理邏輯、捷運法規及常識）（台中捷運）,https://www.kingstone.com.tw//basic/2015216829510?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,陳雲飛、許文達、夏進,三民輔考  ,9789865592196,https://cdn.kingstone.com.tw/book/images/product/20152/2015216829510/2015216829510b.jpg
2021大眾捷運概論（含109年7月最新試題）（超高命中率，上榜生最推）,https://www.kingstone.com.tw//basic/2015216706439?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,夏進,三民輔考  ,4711100550673,https://cdn.kingstone.com.tw/book/images/product/20152/2015216706439/2015216706439b.jpg
2021桃園捷運[司機員/站務員]套書（贈公職英文單字[基礎篇]）,https://www.kingstone.com.tw//basic/2015216706569?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,三民補習班名師群,三民輔考  ,4711100550680,https://cdn.kingstone.com.tw/book/images/product/20152/2015216706569/2015216706569b.jpg
2020〔維修電子技術員〕桃園捷運_套書：蒐集多元基本題型，整理必考重點，輕鬆熟知解題方向,https://www.kingstone.com.tw//basic/2015216704985?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,名師作者群,千華      ,9999278310915,https://cdn.kingstone.com.tw/book/images/product/20152/2015216704985/2015216704985b.jpg
捷運考試2021試題大補帖【大眾捷運概論（含數理邏輯、捷運法規及常識）】（103~109年試題）（測驗題型,https://www.kingstone.com.tw//basic/2015216701069?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,百官網公職師資群,大碩教育  ,9789863458517,https://cdn.kingstone.com.tw/book/images/product/20152/2015216701069/2015216701069b.jpg
2021企業管理（含企業概論、管理學）棒！bonding－國民營招考：必讀關鍵全在這，攻略企業管理只要60天,https://www.kingstone.com.tw//basic/2014941687303?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,張恆,千華      ,9789865201142,https://cdn.kingstone.com.tw/book/images/product/20149/2014941687303/2014941687303b.jpg
捷運考試2021試題大補帖【國文（含邏輯分析）】（103~109年試題）（測驗題型）,https://www.kingstone.com.tw//basic/2015216678781?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,百官網公職師資群,大碩教育  ,9789863459026,https://cdn.kingstone.com.tw/book/images/product/20152/2015216678781/2015216678781b.jpg
捷運考試2021試題大補帖【英文】（103~109年試題）（測驗題型）,https://www.kingstone.com.tw//basic/2015216678811?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,百官網公職師資群,大碩教育  ,9789863459033,https://cdn.kingstone.com.tw/book/images/product/20152/2015216678811/2015216678811b.jpg
捷運－法規與常識試題全解－捷運考試（保成）,https://www.kingstone.com.tw//basic/2015216638563?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,韓新、鄭鑫,新保成    ,9789864817313,https://cdn.kingstone.com.tw/book/images/product/20152/2015216638563/2015216638563b.jpg
捷運－國文試題全解－捷運考試（保成）,https://www.kingstone.com.tw//basic/2015216638303?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,吳碩人,新保成    ,9789864817467,https://cdn.kingstone.com.tw/book/images/product/20152/2015216638303/2015216638303b.jpg
捷運－英文試題全解－捷運考試（保成）,https://www.kingstone.com.tw//basic/2015216638433?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,孟妮,新保成    ,9789864817306,https://cdn.kingstone.com.tw/book/images/product/20152/2015216638433/2015216638433b.jpg
捷運－數理邏輯/邏輯分析試題全解－捷運考試（保成）,https://www.kingstone.com.tw//basic/2015216629028?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,沈鐘,新保成    ,9789864817238,https://cdn.kingstone.com.tw/book/images/product/20152/2015216629028/2015216629028b.jpg
2021捷運招考－影音課程（共6小時）＋試題全解（共4本）（保成）－最強短期上榜方案,https://www.kingstone.com.tw//basic/2015216705647?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,保成編輯,新保成    ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216705647/2015216705647b.jpg
2020年臺北捷運[技術員]（電子維修類）套書（台北捷運招考適用）,https://www.kingstone.com.tw//basic/2015216444300?zone=book&lid=book_class3_ibd&actid=book_class3_ibd,三民補習班名師群,三民輔考  ,4710139137336,https://cdn.kingstone.com.tw/book/images/product/20152/2015216444300/2015216444300b.jpg
