書名,書籍網站,作者,出版社,ISBN,圖片網址
2022農會招考[信用業務]套書（全國各級農會聘任職員統一考試適用）（依110年2月最新修法編寫）,https://www.kingstone.com.tw//basic/2015216898387?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,三民補習班名師群,三民輔考  ,4711100552271,https://cdn.kingstone.com.tw/book/images/product/20152/2015216898387/2015216898387b.jpg
農會共同科目（國文/農會法）[農會招考適用]32篇論文與應用文擬答+54份歷屆試題,https://www.kingstone.com.tw//basic/2015216891173?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,陳弘儒、陳雲飛,三民輔考  ,9789865592998,https://cdn.kingstone.com.tw/book/images/product/20152/2015216891173/2015216891173b.jpg
完全對應實際考情－－農會招考：貨幣銀行學,https://www.kingstone.com.tw//basic/2015216223042?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,葉倫,宏典文化  ,9789862755280,https://cdn.kingstone.com.tw/book/images/product/20152/2015216223042/2015216223042b.jpg
完全對應實際考情－－農會招考：農會法及其施行細則,https://www.kingstone.com.tw//basic/2015216222700?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,李聿,宏典文化  ,9789862755259,https://cdn.kingstone.com.tw/book/images/product/20152/2015216222700/2015216222700b.jpg
完全對應實際考情－－農會招考：民法,https://www.kingstone.com.tw//basic/2015216222960?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,蕭培,宏典文化  ,9789862755273,https://cdn.kingstone.com.tw/book/images/product/20152/2015216222960/2015216222960b.jpg
全國各級農會聘任職員統一考試－重點整理套書：「信用業務」類,https://www.kingstone.com.tw//basic/2015216223172?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,劉憶娥、葉倫、王翔、李聿,宏典文化  ,978986630X135,https://cdn.kingstone.com.tw/book/images/product/20152/2015216223172/2015216223172b.jpg
農會招考：會計學【對應農會財務處理辦法與農會會計人員工作手冊】,https://www.kingstone.com.tw//basic/2015216996854?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,劉憶娥,宏典文化  ,9789862757673,https://cdn.kingstone.com.tw/book/images/product/20152/2015216996854/2015216996854b.jpg
金融業務類信用業務 農會招考：收錄最新農會與各家銀行招考試題，範圍最多最廣，考題絕無遺漏！,https://www.kingstone.com.tw//basic/2015216901421?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,名師作者群,千華      ,9789865204112,https://cdn.kingstone.com.tw/book/images/product/20152/2015216901421/2015216901421b.jpg
農會招考【農會法及其施行細則】（一本精讀首選．掌握命題趨勢）,https://www.kingstone.com.tw//basic/2015213431563?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,胡劭安,鼎文書局  ,9789574548088,https://cdn.kingstone.com.tw/book/images/product/20152/2015213431563/2015213431563b.jpg
2020農田水利會[法制組]套書[公文與農田水利法規+法緒+民法+民訴+刑法+刑訴],https://www.kingstone.com.tw//basic/2015216522503?zone=book&lid=book_class3_ibf&actid=book_class3_ibf,三民補習班名師群,三民輔考  ,4710139139071,https://cdn.kingstone.com.tw/book/images/product/20152/2015216522503/2015216522503b.jpg
