書名,書籍網站,作者,出版社,ISBN,圖片網址
2021 高普考法學知識與英文（包括中華民國憲法、法學緒論、英文）：法規精要統整.全面提升答題能力[十六版]（高普考/地方特考/關務特考/各類特考）,https://www.kingstone.com.tw//basic/2015800125233?zone=book&lid=book_class3_ica&actid=book_class3_ica,龍宜辰、許願、劉似蓉,千華      ,9789865201586,https://cdn.kingstone.com.tw/book/images/product/20158/2015800125233/2015800125233b.jpg
2021英文完全攻略（高普考/地方特考/三等/四等）（歷屆試題100%題題詳解）,https://www.kingstone.com.tw//basic/2015216668874?zone=book&lid=book_class3_ica&actid=book_class3_ica,劉達、許文達、劉亭雲、歐陽,三民輔考  ,4710139139767,https://cdn.kingstone.com.tw/book/images/product/20152/2015216668874/2015216668874b.jpg
圖解憲法：國家考試的第一本書（第四版）,https://www.kingstone.com.tw//basic/2015810042698?zone=book&lid=book_class3_ica&actid=book_class3_ica,錢世傑,十力文化  ,9789860668407,https://cdn.kingstone.com.tw/book/images/product/20158/2015810042698/2015810042698b.jpg
2022國文（論文寫作） ：各類考法見招拆招[十四版]（國民營事業台電/台酒/經濟部/中華郵政/捷運）,https://www.kingstone.com.tw//basic/2015216896253?zone=book&lid=book_class3_ica&actid=book_class3_ica,黃淑真、陳麗玲,千華      ,9789865204884,https://cdn.kingstone.com.tw/book/images/product/20152/2015216896253/2015216896253b.jpg
2022法學大意題庫攻略（初等/五等適用）（ 1150題，100%題題詳解）,https://www.kingstone.com.tw//basic/2015216890831?zone=book&lid=book_class3_ica&actid=book_class3_ica,李由,三民輔考  ,9789865592967,https://cdn.kingstone.com.tw/book/images/product/20152/2015216890831/2015216890831b.jpg
羅文的國考公民（7版）,https://www.kingstone.com.tw//basic/2015216806450?zone=book&lid=book_class3_ica&actid=book_class3_ica,羅文,讀享數位  ,9789574642359,https://cdn.kingstone.com.tw/book/images/product/20152/2015216806450/2015216806450b.jpg
2021國文（作文、公文與測驗）頻出題庫：考前衝刺最佳首選〔八版〕（高普考、地方特考 、各類特考）,https://www.kingstone.com.tw//basic/2015216701649?zone=book&lid=book_class3_ica&actid=book_class3_ica,千華編委會,千華      ,9789865201432,https://cdn.kingstone.com.tw/book/images/product/20152/2015216701649/2015216701649b.jpg
2021國文（作文/公文/測驗）完全攻略（高普考/地方特考/三等/四等/鐵路特考/高員級/員,https://www.kingstone.com.tw//basic/2015216668904?zone=book&lid=book_class3_ica&actid=book_class3_ica,陳雲飛,三民輔考  ,4710139139781,https://cdn.kingstone.com.tw/book/images/product/20152/2015216668904/2015216668904b.jpg
口袋怪獸公職英文單字本[基礎篇+進階篇]雙效套書,https://www.kingstone.com.tw//basic/2015216466708?zone=book&lid=book_class3_ica&actid=book_class3_ica,三民補習班名師群,三民輔考  ,4710139137985,https://cdn.kingstone.com.tw/book/images/product/20152/2015216466708/2015216466708b.jpg
一本搞定立法程序與技術,https://www.kingstone.com.tw//basic/2015216294363?zone=book&lid=book_class3_ica&actid=book_class3_ica,香香,學稔      ,9789865407322,https://cdn.kingstone.com.tw/book/images/product/20152/2015216294363/2015216294363b.jpg
雪薇老師的公職英文文法書（文法重點解密+重要句構解析+實用句型精華）,https://www.kingstone.com.tw//basic/2015216218475?zone=book&lid=book_class3_ica&actid=book_class3_ica,雪薇,三民輔考  ,4710139134083,https://cdn.kingstone.com.tw/book/images/product/20152/2015216218475/2015216218475b.jpg
