書名,書籍網站,作者,出版社,ISBN,圖片網址
法學緒論（高普考‧三、四等特考‧升等考‧地方特考‧一般警察‧鐵路特考‧司法特考‧各類相關考試適用）,https://www.kingstone.com.tw//basic/2015216989603?zone=book&lid=book_class3_icc&actid=book_class3_icc,陳治宇,志光教育科,9789865147983,https://cdn.kingstone.com.tw/book/images/product/20152/2015216989603/2015216989603b.jpg
法學緒論（高普考、三‧四等特考、升等考、地方特考、關務特考、各類考試適用）,https://www.kingstone.com.tw//basic/2015216989153?zone=book&lid=book_class3_icc&actid=book_class3_icc,程怡,志光教育科,9789865148737,https://cdn.kingstone.com.tw/book/images/product/20152/2015216989153/2015216989153b.jpg
知識圖解：政治學測驗+申論題型實戰出擊（高普考‧三、四等特考‧調查局‧身心障礙特考‧原住民特考考試適用 ）,https://www.kingstone.com.tw//basic/2015216800908?zone=book&lid=book_class3_icc&actid=book_class3_icc,郭雋,志光教育科,9789865146689,https://cdn.kingstone.com.tw/book/images/product/20152/2015216800908/2015216800908b.jpg
2021高普考（三四等特考）[共同科目]套書（贈法學知識搶分小法典）,https://www.kingstone.com.tw//basic/2015216695849?zone=book&lid=book_class3_icc&actid=book_class3_icc,三民補習班名師群,三民輔考  ,4711100550543,https://cdn.kingstone.com.tw/book/images/product/20152/2015216695849/2015216695849b.jpg
[2020金榜首選] 公共管理（含概要）歷屆試題精闢新解 [高普考、地方特考、各類特考],https://www.kingstone.com.tw//basic/2015216300293?zone=book&lid=book_class3_icc&actid=book_class3_icc,楊銘,千華      ,9789864878789,https://cdn.kingstone.com.tw/book/images/product/20152/2015216300293/2015216300293b.jpg
〔2020公職人員必備公文用書〕公文寫作指南[增訂十版]〔大學用書 考試適用〕,https://www.kingstone.com.tw//basic/2015216300583?zone=book&lid=book_class3_icc&actid=book_class3_icc,柯進雄,千華      ,9789861441788,https://cdn.kingstone.com.tw/book/images/product/20152/2015216300583/2015216300583b.jpg
公職考試講重點【計算機概論】三、四等,https://www.kingstone.com.tw//basic/2015216088092?zone=book&lid=book_class3_icc&actid=book_class3_icc,大碩教育,大碩教育  ,9789863455851,https://cdn.kingstone.com.tw/book/images/product/20152/2015216088092/2015216088092b.jpg
工程數學,https://www.kingstone.com.tw//basic/2015212960699?zone=book&lid=book_class3_icc&actid=book_class3_icc,考試叢書編,大華傳真  ,9789862152324,https://cdn.kingstone.com.tw/book/images/product/20152/2015212960699/2015212960699b.jpg
政治學秒速記憶（高普考‧三、四等特考‧各類相關考試適用）,https://www.kingstone.com.tw//basic/2015216868106?zone=book&lid=book_class3_icc&actid=book_class3_icc,韋伯,志光教育科,9789865147501,https://cdn.kingstone.com.tw/book/images/product/20152/2015216868106/2015216868106b.jpg
公職考試2020試題大補帖【普考四等 一般民政】套書,https://www.kingstone.com.tw//basic/2015216521001?zone=book&lid=book_class3_icc&actid=book_class3_icc,百官網公職師資群,大碩教育  ,9503109915011,https://cdn.kingstone.com.tw/book/images/product/20152/2015216521001/2015216521001b.jpg
