書名,書籍網站,作者,出版社,ISBN,圖片網址
這是一本高考行政法解題書（7版）,https://www.kingstone.com.tw//basic/2015216778672?zone=book&lid=book_class3_icd&actid=book_class3_icd,周凌,讀享數位  ,9789574642250,https://cdn.kingstone.com.tw/book/images/product/20152/2015216778672/2015216778672b.jpg
國營事業「搶分系列」【會計審計法規】（全新圖說編寫．大量模考演練！）,https://www.kingstone.com.tw//basic/2015212225804?zone=book&lid=book_class3_icd&actid=book_class3_icd,全道豐,大華傳真  ,9789574792146,https://cdn.kingstone.com.tw/book/images/product/20152/2015212225804/2015212225804b.jpg
2021高考、地方三等[一般行政][專業科目]套書,https://www.kingstone.com.tw//basic/2015216831001?zone=book&lid=book_class3_icd&actid=book_class3_icd,三民補習班名師群,三民輔考  ,4711100551403,https://cdn.kingstone.com.tw/book/images/product/20152/2015216831001/2015216831001b.jpg
2021〔教育行政〕高普考/地方三等_課文版套書：關鍵考題一網打盡，經名師詳解，必能掌握命題趨勢！（適用高考三級/地方三等）,https://www.kingstone.com.tw//basic/2015216835559?zone=book&lid=book_class3_icd&actid=book_class3_icd,名師作者群,千華      ,9789865202750,https://cdn.kingstone.com.tw/book/images/product/20152/2015216835559/2015216835559b.jpg
會計學（高考、三四等特考、稅務特考、升等考、地方特考、身障特考考試適用）,https://www.kingstone.com.tw//basic/2015216644762?zone=book&lid=book_class3_icd&actid=book_class3_icd,郝強．蔡家龍,志光教育科,9789865144517,https://cdn.kingstone.com.tw/book/images/product/20152/2015216644762/2015216644762b.jpg
高分公共政策POINT歷屆主題申論題庫（高考、二三等特考、研究所、升等考考考試適用）,https://www.kingstone.com.tw//basic/2015215554000?zone=book&lid=book_class3_icd&actid=book_class3_icd,沈平,志光教育科,9789864971602,https://cdn.kingstone.com.tw/book/images/product/20152/2015215554000/2015215554000b.jpg
公共政策秒速記憶（高考‧三等特考考試適用）,https://www.kingstone.com.tw//basic/2015216809826?zone=book&lid=book_class3_icd&actid=book_class3_icd,程明,志光教育科,9789865146856,https://cdn.kingstone.com.tw/book/images/product/20152/2015216809826/2015216809826b.jpg
電路學（高考、三等特考、鐵路特考、國民營考試 考試適用）,https://www.kingstone.com.tw//basic/2015216809536?zone=book&lid=book_class3_icd&actid=book_class3_icd,鄭奇,志光教育科,9789865146917,https://cdn.kingstone.com.tw/book/images/product/20152/2015216809536/2015216809536b.jpg
知識圖解：行政學申論題庫－實戰出擊（高考‧地特三等‧升等考‧三等考試適用）,https://www.kingstone.com.tw//basic/2015216717268?zone=book&lid=book_class3_icd&actid=book_class3_icd,郭雋,志光教育科,9789865145613,https://cdn.kingstone.com.tw/book/images/product/20152/2015216717268/2015216717268b.jpg
行政學秒速記憶（高考‧三等特考考試適用）,https://www.kingstone.com.tw//basic/2015216497931?zone=book&lid=book_class3_icd&actid=book_class3_icd,陳真,志光教育科,9789865142988,https://cdn.kingstone.com.tw/book/images/product/20152/2015216497931/2015216497931b.jpg
圖解制霸社會福利服務（五版）,https://www.kingstone.com.tw//basic/2015216273627?zone=book&lid=book_class3_icd&actid=book_class3_icd,陳思緯,考用      ,9789578859821,https://cdn.kingstone.com.tw/book/images/product/20152/2015216273627/2015216273627b.jpg
社會學白話讀本（高考、調查局三等、地方三等、原住民三等、身心障礙三等考試適用）,https://www.kingstone.com.tw//basic/2015217020862?zone=book&lid=book_class3_icd&actid=book_class3_icd,韋樂,志光教育科,9789865149611,https://cdn.kingstone.com.tw/book/images/product/20152/2015217020862/2015217020862b.jpg
各國人事制度－兼論公共人力資源管理相關議題（高考二、三級‧三等特考‧薦任升等‧鐵路高員三級考試適用）,https://www.kingstone.com.tw//basic/2015217020572?zone=book&lid=book_class3_icd&actid=book_class3_icd,常亮,志光教育科,9789865149581,https://cdn.kingstone.com.tw/book/images/product/20152/2015217020572/2015217020572b.jpg
民事訴訟法（高考‧三、四等特考‧各類相關考試考試適用）,https://www.kingstone.com.tw//basic/2015217016087?zone=book&lid=book_class3_icd&actid=book_class3_icd,林明勳律師(林翔),志光教育科,9789865149444,https://cdn.kingstone.com.tw/book/images/product/20152/2015217016087/2015217016087b.jpg
行政學葵花寶典：必考申論題高分心法、考情趨勢與完整解析（高考二、三級‧三等特考‧研究所考試適用）,https://www.kingstone.com.tw//basic/2015217016407?zone=book&lid=book_class3_icd&actid=book_class3_icd,程明,志光教育科,9789865149383,https://cdn.kingstone.com.tw/book/images/product/20152/2015217016407/2015217016407b.jpg
現行考銓制度（高普考、三四等特考、各類相關考試考試適用）,https://www.kingstone.com.tw//basic/2015216621022?zone=book&lid=book_class3_icd&actid=book_class3_icd,韋恩,志光教育科,9789865143817,https://cdn.kingstone.com.tw/book/images/product/20152/2015216621022/2015216621022b.jpg
試界導向：社會學Q點申論（高考三級、地方三等、原住民三等、身心障礙三等、調查局、國安局考試適用）,https://www.kingstone.com.tw//basic/2015216996144?zone=book&lid=book_class3_icd&actid=book_class3_icd,畢成,志光教育科,9789865148966,https://cdn.kingstone.com.tw/book/images/product/20152/2015216996144/2015216996144b.jpg
教育哲學（高考、三等特考、地方三等、身心障礙三等、原住民三等考試適用）,https://www.kingstone.com.tw//basic/2015216989863?zone=book&lid=book_class3_icd&actid=book_class3_icd,羅正,志光教育科,9789865149000,https://cdn.kingstone.com.tw/book/images/product/20152/2015216989863/2015216989863b.jpg
中級會計學（高考、會計師、研究所、檢察事務官、關務三等、原住民三等、地方三等考試適用）,https://www.kingstone.com.tw//basic/2015216975538?zone=book&lid=book_class3_icd&actid=book_class3_icd,郝強、蔡家龍,志光教育科,9789865148652,https://cdn.kingstone.com.tw/book/images/product/20152/2015216975538/2015216975538b.jpg
政治學精修,https://www.kingstone.com.tw//basic/2015214125539?zone=book&lid=book_class3_icd&actid=book_class3_icd,郝強,大東海文化,9789862830987,https://cdn.kingstone.com.tw/book/images/product/20152/2015214125539/2015214125539b.jpg
會計審計法規（含政府採購法）（高考、三等特考、身障特考、原住民特考、關務四等考試適用）,https://www.kingstone.com.tw//basic/2015216971820?zone=book&lid=book_class3_icd&actid=book_class3_icd,張旭,志光教育科,9789865148492,https://cdn.kingstone.com.tw/book/images/product/20152/2015216971820/2015216971820b.jpg
