書名,書籍網站,作者,出版社,ISBN,圖片網址
2020財政部[中區]國稅局約僱人員甄選套書[稅務法規+法學緒論+稅務小法典],https://www.kingstone.com.tw//basic/2015216630567?zone=book&lid=book_class3_icl&actid=book_class3_icl,三民補習班名師群,三民輔考  ,4710139139507,https://cdn.kingstone.com.tw/book/images/product/20152/2015216630567/2015216630567b.jpg
稅務四等特考（財稅行政） 專業科目套書,https://www.kingstone.com.tw//basic/2015215644534?zone=book&lid=book_class3_icl&actid=book_class3_icl,蔡裕樹、林棟、呂紹,大東海文化,9207403019405,https://cdn.kingstone.com.tw/book/images/product/20152/2015215644534/2015215644534b.jpg
稅務法規（會計師．高普考．三、四等特考．稅務特考考試適用）,https://www.kingstone.com.tw//basic/2015215516466?zone=book&lid=book_class3_icl&actid=book_class3_icl,張建昭、張敬章,志光教育科,9789864971022,https://cdn.kingstone.com.tw/book/images/product/20152/2015215516466/2015215516466b.jpg
租稅各論精修,https://www.kingstone.com.tw//basic/2015214138102?zone=book&lid=book_class3_icl&actid=book_class3_icl,方偉,大東海文化,9789862831106,https://cdn.kingstone.com.tw/book/images/product/20152/2015214138102/2015214138102b.jpg
104年關務特考《三等：財稅行政》套書,https://www.kingstone.com.tw//basic/2015214432583?zone=book&lid=book_class3_icl&actid=book_class3_icl,名師作者群,千華      ,9999235210418,https://cdn.kingstone.com.tw/book/images/product/20152/2015214432583/2015214432583b.jpg
104年稅務特考：財稅行政科全套 （三等）,https://www.kingstone.com.tw//basic/2015214311826?zone=book&lid=book_class3_icl&actid=book_class3_icl,名師作者群,千華      ,9999266510419,https://cdn.kingstone.com.tw/book/images/product/20152/2015214311826/2015214311826b.jpg
104年稅務特考：財稅行政科全套 （四等）,https://www.kingstone.com.tw//basic/2015214309045?zone=book&lid=book_class3_icl&actid=book_class3_icl,名師作者群,千華      ,9999226010416,https://cdn.kingstone.com.tw/book/images/product/20152/2015214309045/2015214309045b.jpg
稅法與實務（下）,https://www.kingstone.com.tw//basic/2015214150050?zone=book&lid=book_class3_icl&actid=book_class3_icl,三民補習班權威名師,三民輔考  ,4712765687353,https://cdn.kingstone.com.tw/book/images/product/20152/2015214150050/2015214150050b.jpg
稅法與實務（上）,https://www.kingstone.com.tw//basic/2015214147357?zone=book&lid=book_class3_icl&actid=book_class3_icl,王如,三民輔考  ,4712765687117,https://cdn.kingstone.com.tw/book/images/product/20152/2015214147357/2015214147357b.jpg
稅務法規大意歷屆試題與解析,https://www.kingstone.com.tw//basic/2015213989149?zone=book&lid=book_class3_icl&actid=book_class3_icl,大東海首席名師團,大東海文化,9789868847576,https://cdn.kingstone.com.tw/book/images/product/20152/2015213989149/2015213989149b.jpg
稅務法規筆記國家考試複習&大學上課筆記,https://www.kingstone.com.tw//basic/2015213243562?zone=book&lid=book_class3_icl&actid=book_class3_icl,駱金龍,考用      ,9789862651810,https://cdn.kingstone.com.tw/book/images/product/20152/2015213243562/2015213243562b.jpg
國文（作文與測驗）,https://www.kingstone.com.tw//basic/2015212339310?zone=book&lid=book_class3_icl&actid=book_class3_icl,大華傳真  ,"

立即結帳
",9789574796274,https://cdn.kingstone.com.tw/book/images/product/20152/2015212339310/2015212339310b.jpg
98租稅各論模擬試題【稅務特考】,https://www.kingstone.com.tw//basic/2015212062294?zone=book&lid=book_class3_icl&actid=book_class3_icl,考試叢書編,鼎文      ,9789574542031,https://cdn.kingstone.com.tw/book/images/product/20152/2015212062294/2015212062294b.jpg
98中華民國憲法概要模擬試題【稅務特考】,https://www.kingstone.com.tw//basic/2015212059041?zone=book&lid=book_class3_icl&actid=book_class3_icl,考試叢書編,鼎文      ,9789574542000,https://cdn.kingstone.com.tw/book/images/product/20152/2015212059041/2015212059041b.jpg
會計學概要,https://www.kingstone.com.tw//basic/2015211405214?zone=book&lid=book_class3_icl&actid=book_class3_icl,龍應,大華傳真  ,9789575335946,https://cdn.kingstone.com.tw/book/images/product/20152/2015211405214/2015211405214b.jpg
稅務相關法規概要（考試適用）,https://www.kingstone.com.tw//basic/2015216952638?zone=book&lid=book_class3_icl&actid=book_class3_icl,張中、張興東,志光教育科,9789865148416,https://cdn.kingstone.com.tw/book/images/product/20152/2015216952638/2015216952638b.jpg
財政學主題式測驗題庫Q&A(高普考‧稅務特考‧身障特考‧原住民特考‧退除役特考‧升等考‧三、四等特考考試適用),https://www.kingstone.com.tw//basic/2015216303829?zone=book&lid=book_class3_icl&actid=book_class3_icl,鄭漢,志光教育科,9789865141097,https://cdn.kingstone.com.tw/book/images/product/20152/2015216303829/2015216303829b.jpg
稅務法規(高普考、三四五等特考、稅務特考考試適用),https://www.kingstone.com.tw//basic/2015215833167?zone=book&lid=book_class3_icl&actid=book_class3_icl,萬華,志光教育科,9789864974757,https://cdn.kingstone.com.tw/book/images/product/20152/2015215833167/2015215833167b.jpg
稅務法規(高普考．三、四等特考．稅務特考．會計師考試適用),https://www.kingstone.com.tw//basic/2015215516336?zone=book&lid=book_class3_icl&actid=book_class3_icl,張建昭、張敬章,志光教育科,9789864971015,https://cdn.kingstone.com.tw/book/images/product/20152/2015215516336/2015215516336b.jpg
會計學(高考‧三等特考‧稅務特考‧升等考‧地方特考‧身障特考考試適用),https://www.kingstone.com.tw//basic/2015215515834?zone=book&lid=book_class3_icl&actid=book_class3_icl,郝強、蔡家龍,志光教育科,9789864970803,https://cdn.kingstone.com.tw/book/images/product/20152/2015215515834/2015215515834b.jpg
稅務法規(高普考、三四五等特考、稅務特考考試專用),https://www.kingstone.com.tw//basic/2015215479143?zone=book&lid=book_class3_icl&actid=book_class3_icl,萬華,志光教育科,9789864970421,https://cdn.kingstone.com.tw/book/images/product/20152/2015215479143/2015215479143b.jpg
稅務法規(高普考、三四五等特考、稅務特考考試專用),https://www.kingstone.com.tw//basic/2015215124975?zone=book&lid=book_class3_icl&actid=book_class3_icl,萬華,志光      ,9789864721788,https://cdn.kingstone.com.tw/book/images/product/20152/2015215124975/2015215124975b.jpg
稅務法規(會計師、研究所、三四五等特考、稅務特考考試專用),https://www.kingstone.com.tw//basic/2015215125057?zone=book&lid=book_class3_icl&actid=book_class3_icl,萬華,志光      ,9789866015199,https://cdn.kingstone.com.tw/book/images/product/20152/2015215125057/2015215125057b.jpg
稅務法規(高普考．三、四等特考．稅務特考考試專用),https://www.kingstone.com.tw//basic/2015215130174?zone=book&lid=book_class3_icl&actid=book_class3_icl,張建昭、張敬章,志光      ,9789864721726,https://cdn.kingstone.com.tw/book/images/product/20152/2015215130174/2015215130174b.jpg
稅務法規(會計師考試專用),https://www.kingstone.com.tw//basic/2015215130204?zone=book&lid=book_class3_icl&actid=book_class3_icl,張建昭、張敬章,志光      ,9789866015175,https://cdn.kingstone.com.tw/book/images/product/20152/2015215130204/2015215130204b.jpg
稅務法規秒速記憶( 高普考‧地方三、四、五等考試適用),https://www.kingstone.com.tw//basic/2015214951930?zone=book&lid=book_class3_icl&actid=book_class3_icl,張建昭、鄭漢,志光      ,9789864720606,https://cdn.kingstone.com.tw/book/images/product/20152/2015214951930/2015214951930b.jpg
架構式稅務法規&測驗題庫,https://www.kingstone.com.tw//basic/2015212574230?zone=book&lid=book_class3_icl&actid=book_class3_icl,張建昭,志光      ,9789861281100,https://cdn.kingstone.com.tw/book/images/product/20152/2015212574230/2015212574230b.jpg
稅務法規測驗題庫(架構式重點整理),https://www.kingstone.com.tw//basic/2015212729067?zone=book&lid=book_class3_icl&actid=book_class3_icl,張建昭,志光      ,9789861281247,https://cdn.kingstone.com.tw/book/images/product/20152/2015212729067/2015212729067b.jpg
稅務法規申論題庫Q&A,https://www.kingstone.com.tw//basic/2015212261314?zone=book&lid=book_class3_icl&actid=book_class3_icl,張建昭、張敬章,志光      ,9789572056622,https://cdn.kingstone.com.tw/book/images/product/20152/2015212261314/2015212261314b.jpg
高普考、地方特考、各類特考：國考大師教您看圖學會稅務法規(含概要) ＜讀書計畫表＞,https://www.kingstone.com.tw//basic/2015214286704?zone=book&lid=book_class3_icl&actid=book_class3_icl,歐欣亞,千華      ,9789863740681,https://cdn.kingstone.com.tw/book/images/product/20152/2015214286704/2015214286704b.jpg
財政部[高雄/中區]國稅局約僱人員甄選套書(贈稅法小法典；附讀書計畫表),https://www.kingstone.com.tw//basic/2015214176166?zone=book&lid=book_class3_icl&actid=book_class3_icl,三民輔考權威名師群,三民輔考  ,4712765687766,https://cdn.kingstone.com.tw/book/images/product/20152/2015214176166/2015214176166b.jpg
記帳士考試關鍵集錦,https://www.kingstone.com.tw//basic/2015213913298?zone=book&lid=book_class3_icl&actid=book_class3_icl,蕭靖,志光      ,9789866015045,https://cdn.kingstone.com.tw/book/images/product/20152/2015213913298/2015213913298b.jpg
高普考、地方特考、各類特考：國考大師教您看圖學會稅務法規(含概要) 讀書計畫表,https://www.kingstone.com.tw//basic/2015214132940?zone=book&lid=book_class3_icl&actid=book_class3_icl,歐欣亞,千華      ,9789862614891,https://cdn.kingstone.com.tw/book/images/product/20152/2015214132940/2015214132940b.jpg
稅務四等特考(財稅行政) 專業科目套書,https://www.kingstone.com.tw//basic/2015214060946?zone=book&lid=book_class3_icl&actid=book_class3_icl,陳盛、林棟、方偉,大東海文化,9114422018558,https://cdn.kingstone.com.tw/book/images/product/20152/2015214060946/2015214060946b.jpg
稅務法規搶分小法典(高考.普考.初等.三四五等財稅行政適用),https://www.kingstone.com.tw//basic/2015214001826?zone=book&lid=book_class3_icl&actid=book_class3_icl,三民補習班名師群,三民輔考  ,4712765686301,https://cdn.kingstone.com.tw/book/images/product/20152/2015214001826/2015214001826b.jpg
稅務法規,https://www.kingstone.com.tw//basic/2015214125089?zone=book&lid=book_class3_icl&actid=book_class3_icl,萬華,志光      ,9789861287287,https://cdn.kingstone.com.tw/book/images/product/20152/2015214125089/2015214125089b.jpg
稅務法規,https://www.kingstone.com.tw//basic/2015214001796?zone=book&lid=book_class3_icl&actid=book_class3_icl,萬華,志光      ,9789861287195,https://cdn.kingstone.com.tw/book/images/product/20152/2015214001796/2015214001796b.jpg
稅務法規之藍海攻略,https://www.kingstone.com.tw//basic/2015212452231?zone=book&lid=book_class3_icl&actid=book_class3_icl,金鑫‧藍一鴻,志光      ,9789572056639,https://cdn.kingstone.com.tw/book/images/product/20152/2015212452231/2015212452231b.jpg
稅務法規測驗題庫Q&A,https://www.kingstone.com.tw//basic/2015212453023?zone=book&lid=book_class3_icl&actid=book_class3_icl,藍一鴻,志光      ,9789861280813,https://cdn.kingstone.com.tw/book/images/product/20152/2015212453023/2015212453023b.jpg
租稅申報實務(10版),https://www.kingstone.com.tw//basic/2015213816773?zone=book&lid=book_class3_icl&actid=book_class3_icl,詹誠一,考用      ,9789862655467,https://cdn.kingstone.com.tw/book/images/product/20152/2015213816773/2015213816773b.jpg
財稅.關稅法務-(97-101年歷屆試題全解)-關務.稅務考用書保成,https://www.kingstone.com.tw//basic/2015213754976?zone=book&lid=book_class3_icl&actid=book_class3_icl,保成名師聯著,新保成    ,9789862446584,https://cdn.kingstone.com.tw/book/images/product/20152/2015213754976/2015213754976b.jpg
稅務特考-財稅行政科全套(三等),https://www.kingstone.com.tw//basic/2015213615109?zone=book&lid=book_class3_icl&actid=book_class3_icl,名師作者群,千華      ,9999266510211,https://cdn.kingstone.com.tw/book/images/product/20152/2015213615109/2015213615109b.jpg
稅務特考-財稅行政科全套(四等),https://www.kingstone.com.tw//basic/2015213615239?zone=book&lid=book_class3_icl&actid=book_class3_icl,名師作者群,千華      ,9999226010218,https://cdn.kingstone.com.tw/book/images/product/20152/2015213615239/2015213615239b.jpg
國文（測驗）,https://www.kingstone.com.tw//basic/2015212453153?zone=book&lid=book_class3_icl&actid=book_class3_icl,齊天,志光      ,9789861280271,https://cdn.kingstone.com.tw/book/images/product/20152/2015212453153/2015212453153b.jpg
稅務特考四等：財稅行政(專業科目套書),https://www.kingstone.com.tw//basic/2015213978020?zone=book&lid=book_class3_icl&actid=book_class3_icl,方偉、陳盛、林棟,大東海文化,9114402010008,https://cdn.kingstone.com.tw/book/images/product/20152/2015213978020/2015213978020b.jpg
稅務特考三等：財稅行政(專業科目套書),https://www.kingstone.com.tw//basic/2015213984519?zone=book&lid=book_class3_icl&actid=book_class3_icl,方偉、陳盛、林棟,大東海文化,9114401016155,https://cdn.kingstone.com.tw/book/images/product/20152/2015213984519/2015213984519b.jpg
港務公司助理事務員－行政套書－共5本,https://www.kingstone.com.tw//basic/2015213345877?zone=book&lid=book_class3_icl&actid=book_class3_icl,志光編委會,志光      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015213345877/2015213345877b.jpg
稅務法規(含概要),https://www.kingstone.com.tw//basic/2015213317980?zone=book&lid=book_class3_icl&actid=book_class3_icl,林曉娟,考用      ,9789862653128,https://cdn.kingstone.com.tw/book/images/product/20152/2015213317980/2015213317980b.jpg
租稅申報實務,https://www.kingstone.com.tw//basic/2015213257057?zone=book&lid=book_class3_icl&actid=book_class3_icl,許金源,考用      ,9789862652794,https://cdn.kingstone.com.tw/book/images/product/20152/2015213257057/2015213257057b.jpg
會計學筆記,https://www.kingstone.com.tw//basic/2015213181215?zone=book&lid=book_class3_icl&actid=book_class3_icl,許金源,考用      ,9789862651292,https://cdn.kingstone.com.tw/book/images/product/20152/2015213181215/2015213181215b.jpg
租稅申報實務(七版),https://www.kingstone.com.tw//basic/2015213164737?zone=book&lid=book_class3_icl&actid=book_class3_icl,詹誠一,考用      ,9789862650974,https://cdn.kingstone.com.tw/book/images/product/20152/2015213164737/2015213164737b.jpg
記帳法規,https://www.kingstone.com.tw//basic/2015213096571?zone=book&lid=book_class3_icl&actid=book_class3_icl,林沛樺,考用      ,9789577569875,https://cdn.kingstone.com.tw/book/images/product/20152/2015213096571/2015213096571b.jpg
經濟學總複習,https://www.kingstone.com.tw//basic/2015213093655?zone=book&lid=book_class3_icl&actid=book_class3_icl,陳俊良編著,考用      ,9789862650028,https://cdn.kingstone.com.tw/book/images/product/20152/2015213093655/2015213093655b.jpg
租稅申報實務(六版),https://www.kingstone.com.tw//basic/2015213093815?zone=book&lid=book_class3_icl&actid=book_class3_icl,詹誠一,考用      ,9789577569691,https://cdn.kingstone.com.tw/book/images/product/20152/2015213093815/2015213093815b.jpg
會計學概要(四版),https://www.kingstone.com.tw//basic/2015213093945?zone=book&lid=book_class3_icl&actid=book_class3_icl,陳敏齡,考用      ,9789862650073,https://cdn.kingstone.com.tw/book/images/product/20152/2015213093945/2015213093945b.jpg
稅務法規(含概要),https://www.kingstone.com.tw//basic/2015213049072?zone=book&lid=book_class3_icl&actid=book_class3_icl,林曉娟,考用      ,9789577569578,https://cdn.kingstone.com.tw/book/images/product/20152/2015213049072/2015213049072b.jpg
法學諸論,https://www.kingstone.com.tw//basic/2015212339860?zone=book&lid=book_class3_icl&actid=book_class3_icl,林懋華,大華傳真  ,9789574796144,https://cdn.kingstone.com.tw/book/images/product/20152/2015212339860/2015212339860b.jpg
國文(作文、公文與測驗),https://www.kingstone.com.tw//basic/2015211934578?zone=book&lid=book_class3_icl&actid=book_class3_icl,陳明鴻,大華傳真  ,9789574792245,https://cdn.kingstone.com.tw/book/images/product/20152/2015211934578/2015211934578b.jpg
會計學概要模擬試題,https://www.kingstone.com.tw//basic/2015212360673?zone=book&lid=book_class3_icl&actid=book_class3_icl,考試叢書編,大華傳真  ,9789574796366,https://cdn.kingstone.com.tw/book/images/product/20152/2015212360673/2015212360673b.jpg
租稅申報實務模擬試題,https://www.kingstone.com.tw//basic/2015212345649?zone=book&lid=book_class3_icl&actid=book_class3_icl,考試叢書編,大華傳真  ,9789574796342,https://cdn.kingstone.com.tw/book/images/product/20152/2015212345649/2015212345649b.jpg
國文科測驗題庫,https://www.kingstone.com.tw//basic/2015211420088?zone=book&lid=book_class3_icl&actid=book_class3_icl,周廷棟,大華傳真  ,9789575336752,https://cdn.kingstone.com.tw/book/images/product/20152/2015211420088/2015211420088b.jpg
