書名,書籍網站,作者,出版社,ISBN,圖片網址
中華郵政【內勤人員】最後衝刺課程（速成+題庫+DVD課程）（中華郵政專業職二內勤適用）,https://www.kingstone.com.tw//basic/2015216898707?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552325,https://cdn.kingstone.com.tw/book/images/product/20152/2015216898707/2015216898707b.jpg
運輸營業【考衝班】（鐵路員級適用）（DVD函授課程）（贈公職英文單字[基礎篇]）,https://www.kingstone.com.tw//basic/2015216892835?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100551991,https://cdn.kingstone.com.tw/book/images/product/20152/2015216892835/2015216892835b.jpg
地政士[專業科目]最後衝刺課程（DVD函授課程）（贈地政士不動產實用小法典）,https://www.kingstone.com.tw//basic/2015216892965?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552028,https://cdn.kingstone.com.tw/book/images/product/20152/2015216892965/2015216892965b.jpg
地政士超值組合課程（DVD函授課程）,https://www.kingstone.com.tw//basic/2015216893047?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552066,https://cdn.kingstone.com.tw/book/images/product/20152/2015216893047/2015216893047b.jpg
土地登記實務速效課程（地政士適用）（DVD函授課程）（贈國考線上閱卷申論式空白作答紙四份）,https://www.kingstone.com.tw//basic/2015216893467?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552189,https://cdn.kingstone.com.tw/book/images/product/20152/2015216893467/2015216893467b.jpg
地政士【考衝班】（DVD函授課程）,https://www.kingstone.com.tw//basic/2015216893627?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100551977,https://cdn.kingstone.com.tw/book/images/product/20152/2015216893627/2015216893627b.jpg
行政警察【考衝班】（一般警察特考四等）（DVD函授課程）（贈警察法規搶分小法典）,https://www.kingstone.com.tw//basic/2015216893757?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100551984,https://cdn.kingstone.com.tw/book/images/product/20152/2015216893757/2015216893757b.jpg
地政士最後衝刺課程（DVD函授課程）（地政士適用）（贈地政士不動產實用小法典）,https://www.kingstone.com.tw//basic/2015216893887?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552035,https://cdn.kingstone.com.tw/book/images/product/20152/2015216893887/2015216893887b.jpg
行政警察[專業科目]最後衝刺課程（一般警特四等適用）（DVD函授課程）,https://www.kingstone.com.tw//basic/2015216893917?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552042,https://cdn.kingstone.com.tw/book/images/product/20152/2015216893917/2015216893917b.jpg
行政警察[專業科目題庫]最後衝刺課程（DVD函授課程）,https://www.kingstone.com.tw//basic/2015216894099?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552059,https://cdn.kingstone.com.tw/book/images/product/20152/2015216894099/2015216894099b.jpg
地政士速效組合課程（DVD函授課程）,https://www.kingstone.com.tw//basic/2015216894259?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552103,https://cdn.kingstone.com.tw/book/images/product/20152/2015216894259/2015216894259b.jpg
民法概要與信託法概要速效課程（地政士適用）（DVD函授課程）,https://www.kingstone.com.tw//basic/2015216894679?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552165,https://cdn.kingstone.com.tw/book/images/product/20152/2015216894679/2015216894679b.jpg
土地稅法規速效課程（地政士適用）（DVD函授課程）（贈國考線上閱卷申論式空白作答紙四份）,https://www.kingstone.com.tw//basic/2015216894709?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552172,https://cdn.kingstone.com.tw/book/images/product/20152/2015216894709/2015216894709b.jpg
土地法規速效課程（地政士適用）（DVD函授課程）（贈國考線上閱卷申論式空白作答紙四份）,https://www.kingstone.com.tw//basic/2015216894839?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552196,https://cdn.kingstone.com.tw/book/images/product/20152/2015216894839/2015216894839b.jpg
鐵路運輸學大意速效課程（鐵路特考佐級[場站調車、運輸營業]適用）（題庫+DVD函授課程）,https://www.kingstone.com.tw//basic/2015216894969?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552202,https://cdn.kingstone.com.tw/book/images/product/20152/2015216894969/2015216894969b.jpg
鐵路法速效課程（鐵路特考佐級[場站調車]適用）（題庫+DVD函授課程） ）,https://www.kingstone.com.tw//basic/2015216895041?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552219,https://cdn.kingstone.com.tw/book/images/product/20152/2015216895041/2015216895041b.jpg
行政學概要速效課程（台電雇員招考適用）（題庫+DVD函授課程）,https://www.kingstone.com.tw//basic/2015216895171?zone=book&lid=book_class3_ico&actid=book_class3_ico,三民補習班名師群,三民輔考  ,4711100552264,https://cdn.kingstone.com.tw/book/images/product/20152/2015216895171/2015216895171b.jpg
行政學大意（初等、五等適用）（DVD函授課程）（贈公職英文單字【基礎篇】）,https://www.kingstone.com.tw//basic/2015216785373?zone=book&lid=book_class3_ico&actid=book_class3_ico,許展維,三民輔考  ,4711100550468,https://cdn.kingstone.com.tw/book/images/product/20152/2015216785373/2015216785373b.jpg
法學大意（初等、五等適用） （DVD函授課程）（贈公職英文單字【基礎篇】）,https://www.kingstone.com.tw//basic/2015216785403?zone=book&lid=book_class3_ico&actid=book_class3_ico,廖震,三民輔考  ,4711100550475,https://cdn.kingstone.com.tw/book/images/product/20152/2015216785403/2015216785403b.jpg
人事行政大意（初等、五等適用）（DVD函授課程）（贈公職英文單字【基礎篇】）,https://www.kingstone.com.tw//basic/2015216786035?zone=book&lid=book_class3_ico&actid=book_class3_ico,張傑,三民輔考  ,4711100550505,https://cdn.kingstone.com.tw/book/images/product/20152/2015216786035/2015216786035b.jpg
記帳士（DVD函授課程）（贈多元型式作文：新題型實戰攻略、國考申論式空白作答紙A+B六套）,https://www.kingstone.com.tw//basic/2015216784291?zone=book&lid=book_class3_ico&actid=book_class3_ico,林潔、王如、高登、李仁,三民輔考  ,4711100550352,https://cdn.kingstone.com.tw/book/images/product/20152/2015216784291/2015216784291b.jpg
會計學概要（記帳士適用）（DVD函授課程）（贈國考申論式空白作答紙B六份）,https://www.kingstone.com.tw//basic/2015216784321?zone=book&lid=book_class3_ico&actid=book_class3_ico,林潔,三民輔考  ,4711100550369,https://cdn.kingstone.com.tw/book/images/product/20152/2015216784321/2015216784321b.jpg
