書名,書籍網站,作者,出版社,ISBN,圖片網址
丙級食品檢驗分析學術科研讀範本含食品安全衛生及營養共同學科題庫－新時代（第八版）－附MOSME行動學習一點,https://www.kingstone.com.tw//basic/2015216882928?zone=book&lid=book_class3_idh&actid=book_class3_idh,雲有工作室,台科大    ,9789865232405,https://cdn.kingstone.com.tw/book/images/product/20152/2015216882928/2015216882928b.jpg
保健食品初級工程師套書,https://www.kingstone.com.tw//basic/2015216840256?zone=book&lid=book_class3_idh&actid=book_class3_idh,三民補習班名師群,三民輔考  ,4711100551465,https://cdn.kingstone.com.tw/book/images/product/20152/2015216840256/2015216840256b.jpg
食品科學概論（保健食品初級工程師適用）,https://www.kingstone.com.tw//basic/2015216840966?zone=book&lid=book_class3_idh&actid=book_class3_idh,蔡艾程,三民輔考  ,9789865592301,https://cdn.kingstone.com.tw/book/images/product/20152/2015216840966/2015216840966b.jpg
營養師專業科目六合一_速成焦點+歷屆題庫（上）,https://www.kingstone.com.tw//basic/2015216721333?zone=book&lid=book_class3_idh&actid=book_class3_idh,黃賢齊,宏典文化  ,9789862756584,https://cdn.kingstone.com.tw/book/images/product/20152/2015216721333/2015216721333b.jpg
營養師專業科目六合一_速成焦點+歷屆題庫（下）,https://www.kingstone.com.tw//basic/2015216721463?zone=book&lid=book_class3_idh&actid=book_class3_idh,黃賢齊,宏典文化  ,9789862756591,https://cdn.kingstone.com.tw/book/images/product/20152/2015216721463/2015216721463b.jpg
營養師專業科目六合一_速成焦點+歷屆題庫套書,https://www.kingstone.com.tw//basic/2015216721593?zone=book&lid=book_class3_idh&actid=book_class3_idh,黃賢齊,宏典文化  ,978986630X176,https://cdn.kingstone.com.tw/book/images/product/20152/2015216721593/2015216721593b.jpg
2021食品科學概論－保健食品初級工程師：食品科技博士精編，主題系統化彙整,https://www.kingstone.com.tw//basic/2014630063067?zone=book&lid=book_class3_idh&actid=book_class3_idh,黃馬克、李明怡,千華      ,9789865201111,https://cdn.kingstone.com.tw/book/images/product/20146/2014630063067/2014630063067b.jpg
保健食品概論1實務篇 （保健食品初級工程師）（2020收錄最新試題及解析）,https://www.kingstone.com.tw//basic/2014110847323?zone=book&lid=book_class3_idh&actid=book_class3_idh,黃馬克、李明怡,千華      ,9789865200206,https://cdn.kingstone.com.tw/book/images/product/20141/2014110847323/2014110847323b.jpg
2020年保健食品概論（保健食品初級工程師適用）,https://www.kingstone.com.tw//basic/2015216470293?zone=book&lid=book_class3_idh&actid=book_class3_idh,王鳳英,三民輔考  ,4710139136100,https://cdn.kingstone.com.tw/book/images/product/20152/2015216470293/2015216470293b.jpg
營養學（第三版）,https://www.kingstone.com.tw//basic/2014110830462?zone=book&lid=book_class3_idh&actid=book_class3_idh,葉松鈴、沈佳錚、江淑華,新文京    ,9789864305155,https://cdn.kingstone.com.tw/book/images/product/20141/2014110830462/2014110830462b.jpg
[2019收錄最新試題及解析] 保健食品概論1實務篇 〔保健食品初級工程師〕,https://www.kingstone.com.tw//basic/2015216018433?zone=book&lid=book_class3_idh&actid=book_class3_idh,黃馬克、李明怡,千華      ,9789864876433,https://cdn.kingstone.com.tw/book/images/product/20152/2015216018433/2015216018433b.jpg
[收錄最新試題及解析] 保健食品概論 2 營養篇〔保健食品初級工程師〕,https://www.kingstone.com.tw//basic/2015216001022?zone=book&lid=book_class3_idh&actid=book_class3_idh,陳珮茹,千華      ,9789864876082,https://cdn.kingstone.com.tw/book/images/product/20152/2015216001022/2015216001022b.jpg
