書名,書籍網站,作者,出版社,ISBN,圖片網址
預官國文（含孫子兵法）[預備軍士官、專業軍士官],https://www.kingstone.com.tw//basic/2015215276025?zone=book&lid=book_class3_ife&actid=book_class3_ife,鍾裕,千華      ,9789863749332,https://cdn.kingstone.com.tw/book/images/product/20152/2015215276025/2015215276025b.jpg
預官英文[預備軍士官、專業軍士官],https://www.kingstone.com.tw//basic/2015215286802?zone=book&lid=book_class3_ife&actid=book_class3_ife,劉似蓉,千華      ,9789863749493,https://cdn.kingstone.com.tw/book/images/product/20152/2015215286802/2015215286802b.jpg
中華民國104年國防報告書（含精編試題） [預備軍士官、專業軍士官],https://www.kingstone.com.tw//basic/2015214892219?zone=book&lid=book_class3_ife&actid=book_class3_ife,軍職編輯小組,千華      ,9789863745433,https://cdn.kingstone.com.tw/book/images/product/20152/2015214892219/2015214892219b.jpg
105年義務役預備軍官預備士官甄試（預官甄試）套書,https://www.kingstone.com.tw//basic/2015214892479?zone=book&lid=book_class3_ife&actid=book_class3_ife,名師作者群,千華      ,9999235710512,https://cdn.kingstone.com.tw/book/images/product/20152/2015214892479/2015214892479b.jpg
預官實戰焦點合輯+模擬考+歷年試題及解析（含國文、英文、憲法與立國精神、計算機概論、智力測驗）,https://www.kingstone.com.tw//basic/2015214871443?zone=book&lid=book_class3_ife&actid=book_class3_ife,預官編輯小組,千華      ,9789863745143,https://cdn.kingstone.com.tw/book/images/product/20152/2015214871443/2015214871443b.jpg
計算機概論精析[預官、預士甄試]＜讀書計畫表＞,https://www.kingstone.com.tw//basic/2015214786679?zone=book&lid=book_class3_ife&actid=book_class3_ife,范金雄,千華      ,9789863743675,https://cdn.kingstone.com.tw/book/images/product/20152/2015214786679/2015214786679b.jpg
憲法與立國精神（預官、預士）＜讀書計畫表＞,https://www.kingstone.com.tw//basic/2015214781339?zone=book&lid=book_class3_ife&actid=book_class3_ife,賴農惟,千華      ,9789863743644,https://cdn.kingstone.com.tw/book/images/product/20152/2015214781339/2015214781339b.jpg
預官考試：預官實戰焦點合輯+模擬考+歷年試題及解析（含國文、英文、憲法與立國精神、計算機概論、智,https://www.kingstone.com.tw//basic/2015214017995?zone=book&lid=book_class3_ife&actid=book_class3_ife,軍職編輯小組,千華      ,9789863154716,https://cdn.kingstone.com.tw/book/images/product/20152/2015214017995/2015214017995b.jpg
國文－預備軍事官.軍職考試用書＜學儒＞,https://www.kingstone.com.tw//basic/2015213914530?zone=book&lid=book_class3_ife&actid=book_class3_ife,江河,新保成    ,9789863300328,https://cdn.kingstone.com.tw/book/images/product/20152/2015213914530/2015213914530b.jpg
計算機概論＜預官考試＞,https://www.kingstone.com.tw//basic/2015211934868?zone=book&lid=book_class3_ife&actid=book_class3_ife,陳啟豐、倉持修,大華傳真  ,9789574791972,https://cdn.kingstone.com.tw/book/images/product/20152/2015211934868/2015211934868b.jpg
看漫畫學孫子兵法（含歷年試題）,https://www.kingstone.com.tw//basic/2015213494421?zone=book&lid=book_class3_ife&actid=book_class3_ife,軍職編輯小組,千華      ,9789863151425,https://cdn.kingstone.com.tw/book/images/product/20152/2015213494421/2015213494421b.jpg
孫子兵法,https://www.kingstone.com.tw//basic/2015212993086?zone=book&lid=book_class3_ife&actid=book_class3_ife,陳聖國,大華傳真  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015212993086/2015212993086b.jpg
105年國軍志願役專業預備軍官預備士官班套書,https://www.kingstone.com.tw//basic/2015214854095?zone=book&lid=book_class3_ife&actid=book_class3_ife,名師作者群,千華      ,9999235610515,https://cdn.kingstone.com.tw/book/images/product/20152/2015214854095/2015214854095b.jpg
105年志願役專業預備軍官預備士官班【題庫版】套書,https://www.kingstone.com.tw//basic/2015214818165?zone=book&lid=book_class3_ife&actid=book_class3_ife,名師作者群,千華      ,9999242610515,https://cdn.kingstone.com.tw/book/images/product/20152/2015214818165/2015214818165b.jpg
預官應考祕笈：英文,https://www.kingstone.com.tw//basic/2018052600213?zone=book&lid=book_class3_ife&actid=book_class3_ife,李延熹,新頁圖書  ,9789866198212,https://cdn.kingstone.com.tw/book/images/product/20180/2018052600213/2018052600213b.jpg
預官應考祕笈：計算機概論,https://www.kingstone.com.tw//basic/2013120323599?zone=book&lid=book_class3_ife&actid=book_class3_ife,范揚文,新頁圖書  ,9789866198229,https://cdn.kingstone.com.tw/book/images/product/20131/2013120323599/2013120323599b.jpg
預官應考祕笈：國文,https://www.kingstone.com.tw//basic/2018020443965?zone=book&lid=book_class3_ife&actid=book_class3_ife,黃翠芬,新頁圖書  ,9789866198182,https://cdn.kingstone.com.tw/book/images/product/20180/2018020443965/2018020443965b.jpg
預官應考祕笈：憲法與立國精神,https://www.kingstone.com.tw//basic/2015810035157?zone=book&lid=book_class3_ife&actid=book_class3_ife,廖顯謨,新頁圖書  ,9789866198199,https://cdn.kingstone.com.tw/book/images/product/20158/2015810035157/2015810035157b.jpg
103年義務役預備軍官預備士官甄試(預官甄試)全套,https://www.kingstone.com.tw//basic/2015214110252?zone=book&lid=book_class3_ife&actid=book_class3_ife,名師作者群,千華      ,9999235710314,https://cdn.kingstone.com.tw/book/images/product/20152/2015214110252/2015214110252b.jpg
智力測驗,https://www.kingstone.com.tw//basic/2015213042448?zone=book&lid=book_class3_ife&actid=book_class3_ife,陳一中,志光      ,9789861283326,https://cdn.kingstone.com.tw/book/images/product/20152/2015213042448/2015213042448b.jpg
預官系列：憲法與立國精神讀書計畫表,https://www.kingstone.com.tw//basic/2015213962081?zone=book&lid=book_class3_ife&actid=book_class3_ife,賴農惟,千華      ,9789863155614,https://cdn.kingstone.com.tw/book/images/product/20152/2015213962081/2015213962081b.jpg
計算機概論精析(預官),https://www.kingstone.com.tw//basic/2015213817565?zone=book&lid=book_class3_ife&actid=book_class3_ife,范金雄,千華      ,9789863154471,https://cdn.kingstone.com.tw/book/images/product/20152/2015213817565/2015213817565b.jpg
智力測驗【預官】,https://www.kingstone.com.tw//basic/2015211388135?zone=book&lid=book_class3_ife&actid=book_class3_ife,王敬銘,大華傳真  ,9789575335557,https://cdn.kingstone.com.tw/book/images/product/20152/2015211388135/2015211388135b.jpg
憲法與立國精神(預官),https://www.kingstone.com.tw//basic/2015213350314?zone=book&lid=book_class3_ife&actid=book_class3_ife,賴農惟,千華      ,9789865993634,https://cdn.kingstone.com.tw/book/images/product/20152/2015213350314/2015213350314b.jpg
新編智力測驗大全,https://www.kingstone.com.tw//basic/2015213112608?zone=book&lid=book_class3_ife&actid=book_class3_ife,李如霞,士明      ,9789866494338,https://cdn.kingstone.com.tw/book/images/product/20152/2015213112608/2015213112608b.jpg
智力測驗,https://www.kingstone.com.tw//basic/2015213021122?zone=book&lid=book_class3_ife&actid=book_class3_ife,黃韋成,新保成    ,9789866502828,https://cdn.kingstone.com.tw/book/images/product/20152/2015213021122/2015213021122b.jpg
98憲法與立國精神（含97年國防報告書）,https://www.kingstone.com.tw//basic/2015211881346?zone=book&lid=book_class3_ife&actid=book_class3_ife,陳邦直,大華傳真  ,9789574792047,https://cdn.kingstone.com.tw/book/images/product/20152/2015211881346/2015211881346b.jpg
預官挑戰全輯(全一冊),https://www.kingstone.com.tw//basic/2015212445110?zone=book&lid=book_class3_ife&actid=book_class3_ife,美鐘      ,停售,9789578727243,https://cdn.kingstone.com.tw/book/images/product/20152/2015212445110/2015212445110b.jpg
預官套書(金榜大全),https://www.kingstone.com.tw//basic/2015212445240?zone=book&lid=book_class3_ife&actid=book_class3_ife,美鐘      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20152/2015212445240/2015212445240b.jpg
預官套書(挑戰超值),https://www.kingstone.com.tw//basic/2015212445370?zone=book&lid=book_class3_ife&actid=book_class3_ife,美鐘      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20152/2015212445370/2015212445370b.jpg
93年國防報告書,https://www.kingstone.com.tw//basic/2015212445400?zone=book&lid=book_class3_ife&actid=book_class3_ife,美鐘      ,停售,9789578727250,https://cdn.kingstone.com.tw/book/images/product/20152/2015212445400/2015212445400b.jpg
法律基本常識（指揮軍官及志願役預官）,https://www.kingstone.com.tw//basic/2015212320455?zone=book&lid=book_class3_ife&actid=book_class3_ife,陳煥然,鼎文      ,9789574543946,https://cdn.kingstone.com.tw/book/images/product/20152/2015212320455/2015212320455b.jpg
智力測驗精析,https://www.kingstone.com.tw//basic/2015212272723?zone=book&lid=book_class3_ife&actid=book_class3_ife,李如霞,士明      ,9789577983145,https://cdn.kingstone.com.tw/book/images/product/20152/2015212272723/2015212272723b.jpg
物理測驗大全,https://www.kingstone.com.tw//basic/2015212272853?zone=book&lid=book_class3_ife&actid=book_class3_ife,李如霞,士明      ,9789577983176,https://cdn.kingstone.com.tw/book/images/product/20152/2015212272853/2015212272853b.jpg
國文測驗大全,https://www.kingstone.com.tw//basic/2015212273195?zone=book&lid=book_class3_ife&actid=book_class3_ife,李如霞,士明      ,9789577983237,https://cdn.kingstone.com.tw/book/images/product/20152/2015212273195/2015212273195b.jpg
軍事外國史地測驗精析,https://www.kingstone.com.tw//basic/2015212273355?zone=book&lid=book_class3_ife&actid=book_class3_ife,李如霞,士明      ,9789577983275,https://cdn.kingstone.com.tw/book/images/product/20152/2015212273355/2015212273355b.jpg
化學測驗大全,https://www.kingstone.com.tw//basic/2015212273485?zone=book&lid=book_class3_ife&actid=book_class3_ife,李如霞,士明      ,9789577983381,https://cdn.kingstone.com.tw/book/images/product/20152/2015212273485/2015212273485b.jpg
英文測驗,https://www.kingstone.com.tw//basic/2015212242672?zone=book&lid=book_class3_ife&actid=book_class3_ife,李如霞,士明      ,9789577983213,https://cdn.kingstone.com.tw/book/images/product/20152/2015212242672/2015212242672b.jpg
消防安全設備化學系統重點突破(E007),https://www.kingstone.com.tw//basic/2025212186920?zone=book&lid=book_class3_ife&actid=book_class3_ife,黃鍾,大碩教育  ,9789578403666,https://cdn.kingstone.com.tw/book/images/product/20252/2025212186920/2025212186920b.jpg
最新預備軍官士官孫子兵法(戰史版)(95,https://www.kingstone.com.tw//basic/2022340002542?zone=book&lid=book_class3_ife&actid=book_class3_ife,預官叢書,美鐘      ,9789574111602,https://cdn.kingstone.com.tw/book/images/product/20223/2022340002542/2022340002542b.jpg
計算機概論大全,https://www.kingstone.com.tw//basic/2025212187262?zone=book&lid=book_class3_ife&actid=book_class3_ife,預官叢書,美鐘      ,9789578727236,https://cdn.kingstone.com.tw/book/images/product/20252/2025212187262/2025212187262b.jpg
計算機概論,https://www.kingstone.com.tw//basic/2025212187422?zone=book&lid=book_class3_ife&actid=book_class3_ife,預官叢書,美鐘      ,9789578727298,https://cdn.kingstone.com.tw/book/images/product/20252/2025212187422/2025212187422b.jpg
國文,https://www.kingstone.com.tw//basic/2025212187552?zone=book&lid=book_class3_ife&actid=book_class3_ife,預官叢書,美鐘      ,9789578727304,https://cdn.kingstone.com.tw/book/images/product/20252/2025212187552/2025212187552b.jpg
