書名,書籍網站,作者,出版社,ISBN,圖片網址
初階外匯人員 速成（全書重編更加精準2021年8月版）,https://www.kingstone.com.tw//basic/2015217006620?zone=book&lid=book_class3_iha&actid=book_class3_iha,金融證照編輯小組,宏典文化  ,9789862757550,https://cdn.kingstone.com.tw/book/images/product/20152/2015217006620/2015217006620b.jpg
理財規劃人員 速成（收錄「考前衝刺速成大補貼」2021年8月版）,https://www.kingstone.com.tw//basic/2015217006590?zone=book&lid=book_class3_iha&actid=book_class3_iha,林冠秀,宏典文化  ,9789862757666,https://cdn.kingstone.com.tw/book/images/product/20152/2015217006590/2015217006590b.jpg
2021證券交易法規與實務搶分小法典[普業+高業適用]（重點標示+精選試題）（三版）,https://www.kingstone.com.tw//basic/2015216972582?zone=book&lid=book_class3_iha&actid=book_class3_iha,三民補習班名師群,三民輔考  ,9786267007365,https://cdn.kingstone.com.tw/book/images/product/20152/2015216972582/2015216972582b.jpg
衍生性金融商品銷售人員 速成（重大修法更新＋強化會計處理單元2021年5月版）,https://www.kingstone.com.tw//basic/2015216874565?zone=book&lid=book_class3_iha&actid=book_class3_iha,柳威廷．詹偉成,宏典文化  ,9789862757420,https://cdn.kingstone.com.tw/book/images/product/20152/2015216874565/2015216874565b.jpg
證券分析師：證券交易相關法規與實務【全解析對應最新修法歷屆題庫完全攻略】,https://www.kingstone.com.tw//basic/2015216845336?zone=book&lid=book_class3_iha&actid=book_class3_iha,黃卓盛,宏典文化  ,9789862757055,https://cdn.kingstone.com.tw/book/images/product/20152/2015216845336/2015216845336b.jpg
理財規劃人員 速成（2021年1月版收錄「考前衝刺速成大補貼」）,https://www.kingstone.com.tw//basic/2015216845176?zone=book&lid=book_class3_iha&actid=book_class3_iha,林冠秀,宏典文化  ,9789862756904,https://cdn.kingstone.com.tw/book/images/product/20152/2015216845176/2015216845176b.jpg
2022證券商高級業務員（重點整理+試題演練）：法規+實務一書搞定！[二版]（證券商高級業務員）,https://www.kingstone.com.tw//basic/2015217018241?zone=book&lid=book_class3_iha&actid=book_class3_iha,蘇育群,千華      ,9789865206598,https://cdn.kingstone.com.tw/book/images/product/20152/2015217018241/2015217018241b.jpg
證券金融證照三合一（期貨+高業+投信投顧）速成套書（贈證券交易法規與實務搶分小法典）,https://www.kingstone.com.tw//basic/2015217007962?zone=book&lid=book_class3_iha&actid=book_class3_iha,三民輔考金融證照研究小組,三民輔考  ,4711100552653,https://cdn.kingstone.com.tw/book/images/product/20152/2015217007962/2015217007962b.jpg
2022證券商業務員（重點整理+試題演練）：精準考點讓你一試就中（證券商業務員）,https://www.kingstone.com.tw//basic/2015217003964?zone=book&lid=book_class3_iha&actid=book_class3_iha,金永瑩,千華      ,9789865205584,https://cdn.kingstone.com.tw/book/images/product/20152/2015217003964/2015217003964b.jpg
證券商高級業務員 速成（2021年6月版）,https://www.kingstone.com.tw//basic/2015216897595?zone=book&lid=book_class3_iha&actid=book_class3_iha,柳威廷,宏典文化  ,9789862757611,https://cdn.kingstone.com.tw/book/images/product/20152/2015216897595/2015216897595b.jpg
證券商業務員 速成（2021年5月版）,https://www.kingstone.com.tw//basic/2015216988101?zone=book&lid=book_class3_iha&actid=book_class3_iha,柳威廷．林冠秀,宏典文化  ,9789862757529,https://cdn.kingstone.com.tw/book/images/product/20152/2015216988101/2015216988101b.jpg
2021證券商高級業務員高分速成（重點速成+1798題）[金融證照],https://www.kingstone.com.tw//basic/2015216883420?zone=book&lid=book_class3_iha&actid=book_class3_iha,金融證照名師群,三民輔考  ,9789865592844,https://cdn.kingstone.com.tw/book/images/product/20152/2015216883420/2015216883420b.jpg
投信投顧相關法規 速成（2021年5月版）,https://www.kingstone.com.tw//basic/2015217001700?zone=book&lid=book_class3_iha&actid=book_class3_iha,柳威廷,宏典文化  ,9789862757536,https://cdn.kingstone.com.tw/book/images/product/20152/2015217001700/2015217001700b.jpg
銀行內控人員 速成（強化實務題型重點＋修法對應2021年4月版）,https://www.kingstone.com.tw//basic/2015216874695?zone=book&lid=book_class3_iha&actid=book_class3_iha,林崇漢,宏典文化  ,9789862757437,https://cdn.kingstone.com.tw/book/images/product/20152/2015216874695/2015216874695b.jpg
證券分析師：投資學【歷屆題庫完全攻略】,https://www.kingstone.com.tw//basic/2015216845466?zone=book&lid=book_class3_iha&actid=book_class3_iha,黃卓盛、吳曉松、吳佩樺,宏典文化  ,9789862757079,https://cdn.kingstone.com.tw/book/images/product/20152/2015216845466/2015216845466b.jpg
證券分析師套書【歷屆題庫全詳解】,https://www.kingstone.com.tw//basic/2015216845596?zone=book&lid=book_class3_iha&actid=book_class3_iha,黃卓盛、吳曉松、張翰星、葉倫,宏典文化  ,9789866306X60,https://cdn.kingstone.com.tw/book/images/product/20152/2015216845596/2015216845596b.jpg
2021投信投顧相關法規（含自律規範）重點統整+歷年試題解析二合一過關寶典：依焦點系統化彙整！（投信投顧業務員）,https://www.kingstone.com.tw//basic/2015630686898?zone=book&lid=book_class3_iha&actid=book_class3_iha,陳怡如,千華      ,9789865202231,https://cdn.kingstone.com.tw/book/images/product/20156/2015630686898/2015630686898b.jpg
證券分析師：證券交易相關法規與實務【全解析對應最新修法歷屆題庫完全攻略】,https://www.kingstone.com.tw//basic/2015216845626?zone=book&lid=book_class3_iha&actid=book_class3_iha,黃卓盛、張翰星,宏典文化  ,9789862757062,https://cdn.kingstone.com.tw/book/images/product/20152/2015216845626/2015216845626b.jpg
證券分析師／期貨分析師：總體經濟與金融市場【歷屆題庫完全攻略】,https://www.kingstone.com.tw//basic/2015216845756?zone=book&lid=book_class3_iha&actid=book_class3_iha,黃卓盛、吳曉松、葉倫,宏典文化  ,9789862757000,https://cdn.kingstone.com.tw/book/images/product/20152/2015216845756/2015216845756b.jpg
銀行內控人員 速成（2021年1月版）【強化實務題型重點＋修法對應】,https://www.kingstone.com.tw//basic/2015216822856?zone=book&lid=book_class3_iha&actid=book_class3_iha,林崇漢,宏典文化  ,9789862756720,https://cdn.kingstone.com.tw/book/images/product/20152/2015216822856/2015216822856b.jpg
證券商高級業務員 速成（2020年3月版）,https://www.kingstone.com.tw//basic/2015216480940?zone=book&lid=book_class3_iha&actid=book_class3_iha,柳威廷,宏典文化  ,9789862755785,https://cdn.kingstone.com.tw/book/images/product/20152/2015216480940/2015216480940b.jpg
