書名,書籍網站,作者,出版社,ISBN,圖片網址
信託業業務人員 速成（重點整理緊密契合實際命題2021年8月版）,https://www.kingstone.com.tw//basic/2015217011617?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,劉憶娥,宏典文化  ,9789862757741,https://cdn.kingstone.com.tw/book/images/product/20152/2015217011617/2015217011617b.jpg
信託業務人員高分速成（一本速成考照信託法規+信託實務）（CFP、金研院菁英講座名師編著）,https://www.kingstone.com.tw//basic/2015216992146?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,齊名揚,三民輔考  ,9786267007495,https://cdn.kingstone.com.tw/book/images/product/20152/2015216992146/2015216992146b.jpg
收錄「考前衝刺速成大補貼」：初階授信人員 速成（2021年5月版）,https://www.kingstone.com.tw//basic/2015216941519?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,林崇漢．林彙桓,宏典文化  ,9789862757406,https://cdn.kingstone.com.tw/book/images/product/20152/2015216941519/2015216941519b.jpg
信託業務人員專業測驗一次過關（2020收錄最新試題解析 金融研訓院信託業業務人員）,https://www.kingstone.com.tw//basic/2015630669600?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,蔡季霖,千華      ,9789865200244,https://cdn.kingstone.com.tw/book/images/product/20156/2015630669600/2015630669600b.jpg
2022初階授信人員專業能力測驗（重點統整+歷年試題）：授信要點一本就GO！[四版]（金融證照）,https://www.kingstone.com.tw//basic/2015217007092?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,艾帕斯,千華      ,9789865206178,https://cdn.kingstone.com.tw/book/images/product/20152/2015217007092/2015217007092b.jpg
金融證照四合一（高業+投信投顧+理財+信託）速成套書（贈證券交易法規與實務搶分小法典）,https://www.kingstone.com.tw//basic/2015216991804?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,三民補習班名師群,三民輔考  ,4711100552561,https://cdn.kingstone.com.tw/book/images/product/20152/2015216991804/2015216991804b.jpg
2021信託業務專業測驗考前猜題及歷屆試題：2276題題庫分類整理[二十版]（信託業業務人員）,https://www.kingstone.com.tw//basic/2015630686638?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,龍田,千華      ,9789865202040,https://cdn.kingstone.com.tw/book/images/product/20156/2015630686638/2015630686638b.jpg
外匯交易專業能力測驗,https://www.kingstone.com.tw//basic/2015216969889?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,李惠華,宏典文化  ,9789862756973,https://cdn.kingstone.com.tw/book/images/product/20152/2015216969889/2015216969889b.jpg
2021  12堂外匯交易專業能力測驗課：精準直擊命題關鍵！（外匯交易專業能力測驗）,https://www.kingstone.com.tw//basic/2015630685426?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,蘇育群,千華      ,9789865201890,https://cdn.kingstone.com.tw/book/images/product/20156/2015630685426/2015630685426b.jpg
【對應最新修法】投資型保險商品第一科 速成（增修訂七版）,https://www.kingstone.com.tw//basic/2015216704695?zone=book&lid=book_class3_ihc&actid=book_class3_ihc,廖乃麟,宏典文化  ,9789862756492,https://cdn.kingstone.com.tw/book/images/product/20152/2015216704695/2015216704695b.jpg
