書名,書籍網站,作者,出版社,ISBN,圖片網址
理財規劃理論與實（含概要）＜銀行招考＞,https://www.kingstone.com.tw//basic/2015213474157?zone=book&lid=book_class3_iia&actid=book_class3_iia,郝冶、平心,大華傳真  ,9789862151020,https://cdn.kingstone.com.tw/book/images/product/20152/2015213474157/2015213474157b.jpg
2021年臺灣銀行檢券員甄試[綜合科目]套書（會計學/貨幣銀行學/金融市場常識與職業道德）,https://www.kingstone.com.tw//basic/2015216883130?zone=book&lid=book_class3_iia&actid=book_class3_iia,三民補習班名師群,三民輔考  ,4711100551847,https://cdn.kingstone.com.tw/book/images/product/20152/2015216883130/2015216883130b.jpg
2021臺灣銀行[一般金融人員][專業科目]套書（台銀招考，100%題題詳解）（贈搶分小法典）,https://www.kingstone.com.tw//basic/2015216874725?zone=book&lid=book_class3_iia&actid=book_class3_iia,三民補習班名師群,三民輔考  ,4711100551748,https://cdn.kingstone.com.tw/book/images/product/20152/2015216874725/2015216874725b.jpg
2021臺灣銀行[理財專員]套書（贈英文單字本、銀行面試技巧課程）,https://www.kingstone.com.tw//basic/2015216874855?zone=book&lid=book_class3_iia&actid=book_class3_iia,三民補習班名師群,三民輔考  ,4711100551755,https://cdn.kingstone.com.tw/book/images/product/20152/2015216874855/2015216874855b.jpg
2021銀行招考[臺灣銀行/土地銀行]5合1套書（國文+英文+會計學+貨幣銀行學+票據法）,https://www.kingstone.com.tw//basic/2015216836761?zone=book&lid=book_class3_iia&actid=book_class3_iia,三民補習班名師群,三民輔考  ,4711100551458,https://cdn.kingstone.com.tw/book/images/product/20152/2015216836761/2015216836761b.jpg
票據法精修,https://www.kingstone.com.tw//basic/2015213974312?zone=book&lid=book_class3_iia&actid=book_class3_iia,陳盛,大東海文化,9789862830352,https://cdn.kingstone.com.tw/book/images/product/20152/2015213974312/2015213974312b.jpg
2020臺灣中小企業銀行新進人員甄選[一般行員]套書（臺灣企銀/臺灣中小企銀/臺企銀）,https://www.kingstone.com.tw//basic/2015216680982?zone=book&lid=book_class3_iia&actid=book_class3_iia,三民補習班名師群,三民輔考  ,4710139139965,https://cdn.kingstone.com.tw/book/images/product/20152/2015216680982/2015216680982b.jpg
一次考上銀行 銀行法（含概要）（銀行招考、金融基測 收錄最新銀行&金融基測試題）,https://www.kingstone.com.tw//basic/2015620039765?zone=book&lid=book_class3_iia&actid=book_class3_iia,成在天,千華      ,9789865200190,https://cdn.kingstone.com.tw/book/images/product/20156/2015620039765/2015620039765b.jpg
會計學精修（下冊）,https://www.kingstone.com.tw//basic/2015214027352?zone=book&lid=book_class3_iia&actid=book_class3_iia,林棟,大東海文化,9789862830772,https://cdn.kingstone.com.tw/book/images/product/20152/2015214027352/2015214027352b.jpg
2021細說金融基測／銀行招考：洗錢防制相關法規,https://www.kingstone.com.tw//basic/2015216837423?zone=book&lid=book_class3_iia&actid=book_class3_iia,林崇漢,宏典文化  ,9789862757260,https://cdn.kingstone.com.tw/book/images/product/20152/2015216837423/2015216837423b.jpg
