書名,書籍網站,作者,出版社,ISBN,圖片網址
2021主題式會計事務（人工記帳、資訊）丙級 技能檢定學科滿分題庫：符合最新檢定規範及IFRS規定（會計丙級技術士）,https://www.kingstone.com.tw//basic/2014950130029?zone=book&lid=book_class3_ija&actid=book_class3_ija,林惠貞,千華      ,9789865202163,https://cdn.kingstone.com.tw/book/images/product/20149/2014950130029/2014950130029b.jpg
會計丙級技術士〔學術+術科〕2本套書：符合最新檢定規範及IFRS規定,https://www.kingstone.com.tw//basic/2015216876279?zone=book&lid=book_class3_ija&actid=book_class3_ija,名師作者群,千華      ,9789865204525,https://cdn.kingstone.com.tw/book/images/product/20152/2015216876279/2015216876279b.jpg
門市服務丙級技能檢定學術科（微創POS系統）|109年版,https://www.kingstone.com.tw//basic/2014713589910?zone=book&lid=book_class3_ija&actid=book_class3_ija,楊潔芝、楊麗文,碁峰資訊  ,9789865023225,https://cdn.kingstone.com.tw/book/images/product/20147/2014713589910/2014713589910b.jpg
乙級會計事務（資訊項）術科解題好上手（使用會計小福星3.04版）,https://www.kingstone.com.tw//basic/2015214333804?zone=book&lid=book_class3_ija&actid=book_class3_ija,易鼎工作室,台科大    ,9789863086932,https://cdn.kingstone.com.tw/book/images/product/20152/2015214333804/2015214333804b.jpg
乙級會計事務（人工記帳、資訊項）學科題庫必通解析－最新版（第五版）－附贈MOSME行動學習一點通,https://www.kingstone.com.tw//basic/2015216680432?zone=book&lid=book_class3_ija&actid=book_class3_ija,AR會計研究工作室,台科大    ,9789865231231,https://cdn.kingstone.com.tw/book/images/product/20152/2015216680432/2015216680432b.jpg
丙級國貿業務術科通關寶典（含術科作答本與解析本）（收錄2020年第一、二梯次試題）（第十一版）,https://www.kingstone.com.tw//basic/2015216669666?zone=book&lid=book_class3_ija&actid=book_class3_ija,謝沄芸,台科大    ,9789865230715,https://cdn.kingstone.com.tw/book/images/product/20152/2015216669666/2015216669666b.jpg
丙級會計事務（資訊項）術科奪照寶典－使用會計小福星3.06版附多媒體教學光碟－2018年最新版,https://www.kingstone.com.tw//basic/2015215639967?zone=book&lid=book_class3_ija&actid=book_class3_ija,明軒工作室,台科大    ,9789864555703,https://cdn.kingstone.com.tw/book/images/product/20152/2015215639967/2015215639967b.jpg
門市服務丙級技能檢定術科：櫃檯作業（微創POS系統） & 清潔作業|111年啟用試題,https://www.kingstone.com.tw//basic/2014713620101?zone=book&lid=book_class3_ija&actid=book_class3_ija,楊潔芝．楊麗文,碁峰資訊  ,9789865027919,https://cdn.kingstone.com.tw/book/images/product/20147/2014713620101/2014713620101b.jpg
丙級電腦軟體應用含資訊類題庫工作項目解析與技能檢定共用項學術科研讀範本（Windows 7 / 10 + Word 2010 /2,https://www.kingstone.com.tw//basic/2015216983571?zone=book&lid=book_class3_ija&actid=book_class3_ija,佳彥資訊,台科大    ,9789865231637,https://cdn.kingstone.com.tw/book/images/product/20152/2015216983571/2015216983571b.jpg
門市服務丙級技能檢定 學科&筆試|110年版,https://www.kingstone.com.tw//basic/2015216881556?zone=book&lid=book_class3_ija&actid=book_class3_ija,楊潔芝．楊麗文,碁峰資訊  ,9789865028329,https://cdn.kingstone.com.tw/book/images/product/20152/2015216881556/2015216881556b.jpg
會計事務人工記帳丙級術科贏家攻略（對應最新401營業稅申報考點增修訂五版）,https://www.kingstone.com.tw//basic/2015216837553?zone=book&lid=book_class3_ija&actid=book_class3_ija,林崇漢．林彙桓,宏典文化  ,9789862757253,https://cdn.kingstone.com.tw/book/images/product/20152/2015216837553/2015216837553b.jpg
丙級門市服務學術科講義：筆試及清潔作業（2021最新版）（附門市服務理論、教學影片光碟）,https://www.kingstone.com.tw//basic/2015216759770?zone=book&lid=book_class3_ija&actid=book_class3_ija,林宜,全華      ,9789865034917,https://cdn.kingstone.com.tw/book/images/product/20152/2015216759770/2015216759770b.jpg
丙級門市服務學術科通關寶典－使用微創POS系統－最新版（第二版）－附贈MOSME行動學習一點通,https://www.kingstone.com.tw//basic/2015216470033?zone=book&lid=book_class3_ija&actid=book_class3_ija,郭小喬,台科大    ,9789864553860,https://cdn.kingstone.com.tw/book/images/product/20152/2015216470033/2015216470033b.jpg
門市服務丙級技能檢定－－學科&筆試|109年版,https://www.kingstone.com.tw//basic/2014713590039?zone=book&lid=book_class3_ija&actid=book_class3_ija,楊潔芝、楊麗文,碁峰資訊  ,9789865023249,https://cdn.kingstone.com.tw/book/images/product/20147/2014713590039/2014713590039b.jpg
丙級門市服務學術科講義－筆試及清潔作業（2020最新版）（附門市服務理論、教學影片光碟）,https://www.kingstone.com.tw//basic/2015216271333?zone=book&lid=book_class3_ija&actid=book_class3_ija,林 宜,全華      ,9789865032517,https://cdn.kingstone.com.tw/book/images/product/20152/2015216271333/2015216271333b.jpg
〔2019符合檢定規範及IFRS規定〕會計事務（人工記帳、資訊）乙級技能檢定學科分類題庫〔會計技術士〕,https://www.kingstone.com.tw//basic/2015216052529?zone=book&lid=book_class3_ija&actid=book_class3_ija,李秋燕,千華      ,9789864876686,https://cdn.kingstone.com.tw/book/images/product/20152/2015216052529/2015216052529b.jpg
丙級門市服務學術科講義－筆試及清潔作業（2019最新版）（附門市服務理論、教學影片光碟）,https://www.kingstone.com.tw//basic/2015215874627?zone=book&lid=book_class3_ija&actid=book_class3_ija,林 宜,全華      ,9789864639052,https://cdn.kingstone.com.tw/book/images/product/20152/2015215874627/2015215874627b.jpg
國貿實務－國貿業務技術士丙級－術科,https://www.kingstone.com.tw//basic/2015580079917?zone=book&lid=book_class3_ija&actid=book_class3_ija,國貿研究小組,五南      ,9789571199467,https://cdn.kingstone.com.tw/book/images/product/20155/2015580079917/2015580079917b.jpg
門市服務丙級技能檢定學術科（瑋博POS系統） 2018,https://www.kingstone.com.tw//basic/2014713559739?zone=book&lid=book_class3_ija&actid=book_class3_ija,楊潔芝．楊麗文,碁峰資訊  ,9789864768875,https://cdn.kingstone.com.tw/book/images/product/20147/2014713559739/2014713559739b.jpg
門市服務丙級技能檢定：學科 & 筆試 2018,https://www.kingstone.com.tw//basic/2014713559999?zone=book&lid=book_class3_ija&actid=book_class3_ija,楊潔芝．楊麗文,碁峰資訊  ,9789864768882,https://cdn.kingstone.com.tw/book/images/product/20147/2014713559999/2014713559999b.jpg
丙級門市服務學術科講義－瑋博POS系統（附教學影片光碟）,https://www.kingstone.com.tw//basic/2015215619983?zone=book&lid=book_class3_ija&actid=book_class3_ija,林 宜,全華      ,9789864637102,https://cdn.kingstone.com.tw/book/images/product/20152/2015215619983/2015215619983b.jpg
門市服務乙級考照王（六版）,https://www.kingstone.com.tw//basic/2015215541437?zone=book&lid=book_class3_ija&actid=book_class3_ija,林正修,考用      ,9789869518598,https://cdn.kingstone.com.tw/book/images/product/20152/2015215541437/2015215541437b.jpg
丙級門市服務學術科講義－筆試及清潔作業（附門市服務理論、教學影片光碟）,https://www.kingstone.com.tw//basic/2015215521293?zone=book&lid=book_class3_ija&actid=book_class3_ija,林 宜,全華      ,9789864636723,https://cdn.kingstone.com.tw/book/images/product/20152/2015215521293/2015215521293b.jpg
丙級國貿業務學科題庫分類解析－2017年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215492173?zone=book&lid=book_class3_ija&actid=book_class3_ija,先優工作室,台科大    ,9789864553051,https://cdn.kingstone.com.tw/book/images/product/20152/2015215492173/2015215492173b.jpg
丙級國貿業務術科通關寶典2017年版（含術科作答本與解析本）（收錄2017年第一、二梯次試題）,https://www.kingstone.com.tw//basic/2015215482136?zone=book&lid=book_class3_ija&actid=book_class3_ija,謝沄芸,台科大    ,9789864555055,https://cdn.kingstone.com.tw/book/images/product/20152/2015215482136/2015215482136b.jpg
門市服務丙級技能檢定學術科（微創POS系統）第三版,https://www.kingstone.com.tw//basic/2014713531049?zone=book&lid=book_class3_ija&actid=book_class3_ija,楊潔芝、楊麗文,碁峰資訊  ,9789864764549,https://cdn.kingstone.com.tw/book/images/product/20147/2014713531049/2014713531049b.jpg
門市服務丙級技能檢定（二）：櫃檯作業&清潔作業（微創pos系統）（第二版）,https://www.kingstone.com.tw//basic/2014713531179?zone=book&lid=book_class3_ija&actid=book_class3_ija,楊潔芝、楊麗文,碁峰資訊  ,9789864764884,https://cdn.kingstone.com.tw/book/images/product/20147/2014713531179/2014713531179b.jpg
Statistical Knowledge Today統計分析與應用,https://www.kingstone.com.tw//basic/2015120009404?zone=book&lid=book_class3_ija&actid=book_class3_ija,SSE Data Analyst 編輯委員會,上奇科技  ,9789869515610,https://cdn.kingstone.com.tw/book/images/product/20151/2015120009404/2015120009404b.jpg
丙級會計事務（資訊項）術科通關寶典（上）附術科軟體會計小福星3.06試用版光碟－2017年版,https://www.kingstone.com.tw//basic/2015215324177?zone=book&lid=book_class3_ija&actid=book_class3_ija,易鼎工作室,台科大    ,9789864553679,https://cdn.kingstone.com.tw/book/images/product/20152/2015215324177/2015215324177b.jpg
丙級會計事務（資訊項）術科通關寶典（下）使用會計小福星3.06版－2017年版,https://www.kingstone.com.tw//basic/2015215324207?zone=book&lid=book_class3_ija&actid=book_class3_ija,易鼎工作室,台科大    ,9789864553686,https://cdn.kingstone.com.tw/book/images/product/20152/2015215324207/2015215324207b.jpg
BAP商務專業應用能力國際認證Essentials Level通關寶典－增訂版（第三版）－附贈BAP學評系統含教學影,https://www.kingstone.com.tw//basic/2013120424272?zone=book&lid=book_class3_ija&actid=book_class3_ija,JYiC認證研究團隊,台科大    ,9789864553839,https://cdn.kingstone.com.tw/book/images/product/20131/2013120424272/2013120424272b.jpg
丙級網頁設計學術科通關寶典（Dreamweaver + PhotoImpact ）含Photoshop－2017年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215274151?zone=book&lid=book_class3_ija&actid=book_class3_ija,北科大檢定研究室,台科大    ,9789864552979,https://cdn.kingstone.com.tw/book/images/product/20152/2015215274151/2015215274151b.jpg
丙級網頁設計學科題庫工作項目解析－2017年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215274571?zone=book&lid=book_class3_ija&actid=book_class3_ija,北科大檢定研究室,台科大    ,9789864552962,https://cdn.kingstone.com.tw/book/images/product/20152/2015215274571/2015215274571b.jpg
丙級國貿業務學科題庫分類解析－2016年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215141903?zone=book&lid=book_class3_ija&actid=book_class3_ija,先優工作室,台科大    ,9789864551095,https://cdn.kingstone.com.tw/book/images/product/20152/2015215141903/2015215141903b.jpg
