書名,書籍網站,作者,出版社,ISBN,圖片網址
印前製程〔圖文組版項〕丙級檢定學術科試題精析（第五版）【含教學素材及1：1術科試題成品檔下載QR Cod,https://www.kingstone.com.tw//basic/2014770092392?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳麗娟,新文京    ,9789864305438,https://cdn.kingstone.com.tw/book/images/product/20147/2014770092392/2014770092392b.jpg
乙級「室內設計技術士」證照術科－歷年考題及A1 1：1參考解答（107年）,https://www.kingstone.com.tw//basic/2015215927439?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,晨興,晨興設計  ,9789869690119,https://cdn.kingstone.com.tw/book/images/product/20152/2015215927439/2015215927439b.jpg
丙級視覺傳達設計學術科通關寶典－2018年（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215639547?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕 程正豪,台科大    ,9789864555888,https://cdn.kingstone.com.tw/book/images/product/20152/2015215639547/2015215639547b.jpg
丙級視覺傳達設計學術科通關寶典－2017年修訂版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215404534?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕、程正豪,台科大    ,9789864554881,https://cdn.kingstone.com.tw/book/images/product/20152/2015215404534/2015215404534b.jpg
乙級室內設計技術士證照術科105年,https://www.kingstone.com.tw//basic/2014410152295?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,晨興,晨興設計  ,9789869212359,https://cdn.kingstone.com.tw/book/images/product/20144/2014410152295/2014410152295b.jpg
丙級視覺傳達設計學術科通關寶典－2017年（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215274281?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕、程正豪,台科大    ,9789864552986,https://cdn.kingstone.com.tw/book/images/product/20152/2015215274281/2015215274281b.jpg
丙級視覺傳達設計學科題庫分類解析－2016年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215113306?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,程正豪,台科大    ,9789864550913,https://cdn.kingstone.com.tw/book/images/product/20152/2015215113306/2015215113306b.jpg
丙級視覺傳達設計術科快攻秘笈－2016年版,https://www.kingstone.com.tw//basic/2015215032867?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕,台科大    ,9789864550920,https://cdn.kingstone.com.tw/book/images/product/20152/2015215032867/2015215032867b.jpg
丙級網頁設計學術科通關寶典2015年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2014713456212?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,北科大檢定研究室,台科大    ,9789863089322,https://cdn.kingstone.com.tw/book/images/product/20147/2014713456212/2014713456212b.jpg
視覺傳達設計丙級技能檢定：學術科試題精析（第五版）,https://www.kingstone.com.tw//basic/2019600053871?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,蘇美綺,新文京    ,9789864300068,https://cdn.kingstone.com.tw/book/images/product/20196/2019600053871/2019600053871b.jpg
丙級視覺傳達設計學術科通關寶典2015年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015214483820?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕、程正豪,台科大    ,9789863089407,https://cdn.kingstone.com.tw/book/images/product/20152/2015214483820/2015214483820b.jpg
丙級視覺傳達設計學科題庫分類解析2015年版（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015214484452?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,程正豪,台科大    ,9789863089278,https://cdn.kingstone.com.tw/book/images/product/20152/2015214484452/2015214484452b.jpg
丙級視覺傳達設計術科快攻秘笈2015年版,https://www.kingstone.com.tw//basic/2015214484582?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕,台科大    ,9789863089292,https://cdn.kingstone.com.tw/book/images/product/20152/2015214484582/2015214484582b.jpg
丙級視覺傳達設計學術科通關寶典（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015214357466?zone=book&lid=book_class3_ijd&actid=book_class3_ijd,陳美燕 程正豪,台科大    ,9789863088394,https://cdn.kingstone.com.tw/book/images/product/20152/2015214357466/2015214357466b.jpg
