書名,書籍網站,作者,出版社,ISBN,圖片網址
研究所2022試題大補帖【英文】（108~110年試題）,https://www.kingstone.com.tw//basic/2015216995222?zone=book&lid=book_class3_ika&actid=book_class3_ika,大碩研究所師資群,大碩教育  ,9786267004098,https://cdn.kingstone.com.tw/book/images/product/20152/2015216995222/2015216995222b.jpg
研究所2021試題大補帖【英文】（107~109試題）,https://www.kingstone.com.tw//basic/2015216694507?zone=book&lid=book_class3_ika&actid=book_class3_ika,大碩研究所師資群,大碩教育  ,9789863459149,https://cdn.kingstone.com.tw/book/images/product/20152/2015216694507/2015216694507b.jpg
研究所講重點【演算法－名校攻略秘笈】,https://www.kingstone.com.tw//basic/2015216663114?zone=book&lid=book_class3_ika&actid=book_class3_ika,洪捷,大碩教育  ,9789863458623,https://cdn.kingstone.com.tw/book/images/product/20152/2015216663114/2015216663114b.jpg
高普特考講重點【行政法】,https://www.kingstone.com.tw//basic/2015215514172?zone=book&lid=book_class3_ika&actid=book_class3_ika,陳理,大碩教育  ,9789863454311,https://cdn.kingstone.com.tw/book/images/product/20152/2015215514172/2015215514172b.jpg
研究所2018試題大補帖【計算機概論（商）】（106年試題）,https://www.kingstone.com.tw//basic/2015215514042?zone=book&lid=book_class3_ika&actid=book_class3_ika,張逸、劉逸,大碩教育  ,9789863454281,https://cdn.kingstone.com.tw/book/images/product/20152/2015215514042/2015215514042b.jpg
研究所2018試題大補帖【經濟學】（106年試題）,https://www.kingstone.com.tw//basic/2015215506719?zone=book&lid=book_class3_ika&actid=book_class3_ika,楊莉,大碩教育  ,9789863454182,https://cdn.kingstone.com.tw/book/images/product/20152/2015215506719/2015215506719b.jpg
研究所2018試題大補帖【離散數學】（106年試題）,https://www.kingstone.com.tw//basic/2015215481924?zone=book&lid=book_class3_ika&actid=book_class3_ika,林立宇,大碩教育  ,9789863453963,https://cdn.kingstone.com.tw/book/images/product/20152/2015215481924/2015215481924b.jpg
工程數學的降魔十一掌（二版）,https://www.kingstone.com.tw//basic/2015215325129?zone=book&lid=book_class3_ika&actid=book_class3_ika,王富祥,考用      ,9789869456715,https://cdn.kingstone.com.tw/book/images/product/20152/2015215325129/2015215325129b.jpg
微積分與題型解法大全,https://www.kingstone.com.tw//basic/2015214995576?zone=book&lid=book_class3_ika&actid=book_class3_ika,鄭立,建興      ,9789862243299,https://cdn.kingstone.com.tw/book/images/product/20152/2015214995576/2015214995576b.jpg
研究所英語試解詳解4,https://www.kingstone.com.tw//basic/2018051787366?zone=book&lid=book_class3_ika&actid=book_class3_ika,謝靜芳,學習出版有,9789575197964,https://cdn.kingstone.com.tw/book/images/product/20180/2018051787366/2018051787366b.jpg
研究所必考1000字,https://www.kingstone.com.tw//basic/2018051482773?zone=book&lid=book_class3_ika&actid=book_class3_ika,林怡予,學習出版有,9799575196805,https://cdn.kingstone.com.tw/book/images/product/20180/2018051482773/2018051482773b.jpg
研究所英文試題詳解2,https://www.kingstone.com.tw//basic/2018051367728?zone=book&lid=book_class3_ika&actid=book_class3_ika,謝靜芳,學習出版有,9789575196202,https://cdn.kingstone.com.tw/book/images/product/20180/2018051367728/2018051367728b.jpg
研究所2020試題大補帖【英文】（106~108年試題）,https://www.kingstone.com.tw//basic/2015216259775?zone=book&lid=book_class3_ika&actid=book_class3_ika,大碩研究所師資群,大碩教育  ,9789863457022,https://cdn.kingstone.com.tw/book/images/product/20152/2015216259775/2015216259775b.jpg
