書名,書籍網站,作者,出版社,ISBN,圖片網址
SUPER BRAIN 國文學霸超強筆記,https://www.kingstone.com.tw//basic/2015216264922?zone=book&lid=book_class3_ila&actid=book_class3_ila,優等生軍團,鶴立      ,9789866978296,https://cdn.kingstone.com.tw/book/images/product/20152/2015216264922/2015216264922b.jpg
重量級國學與古文〔素養學堂〕﹝獨家！YouTuber白白國文重磅出擊！﹞,https://www.kingstone.com.tw//basic/2015216628106?zone=book&lid=book_class3_ila&actid=book_class3_ila,白白老師,千華      ,9789865200275,https://cdn.kingstone.com.tw/book/images/product/20152/2015216628106/2015216628106b.jpg
SUPER BRAIN 國文學霸超強筆記（108課綱）,https://www.kingstone.com.tw//basic/2015216867864?zone=book&lid=book_class3_ila&actid=book_class3_ila,優等生軍團,鶴立      ,9789866978579,https://cdn.kingstone.com.tw/book/images/product/20152/2015216867864/2015216867864b.jpg
111年升大學學科測驗解題王  國文考科（108課綱）,https://www.kingstone.com.tw//basic/2015216943353?zone=book&lid=book_class3_ila&actid=book_class3_ila,廖筱雯、金凰、許清龍、沈風,鶴立      ,9789866978609,https://cdn.kingstone.com.tw/book/images/product/20152/2015216943353/2015216943353b.jpg
111升大學學科能力測驗國文考科歷屆試題總覽（108課綱）,https://www.kingstone.com.tw//basic/2015217011907?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、許清龍、伍湘芬、王競,鴻漸文化  ,9789860686920,https://cdn.kingstone.com.tw/book/images/product/20152/2015217011907/2015217011907b.jpg
高中國文：全方位跨領域經典閱讀（第二版）,https://www.kingstone.com.tw//basic/2015240249704?zone=book&lid=book_class3_ila&actid=book_class3_ila,陳嘉英,五南      ,9789865223205,https://cdn.kingstone.com.tw/book/images/product/20152/2015240249704/2015240249704b.jpg
110指定科目考試國文考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015216707221?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、林安英、許清龍,鴻漸文化  ,9789869896085,https://cdn.kingstone.com.tw/book/images/product/20152/2015216707221/2015216707221b.jpg
思辨式寫作【新制學測國寫哪有那麼難~~知性題&情意題12招全破解】（加贈考前15分鐘速成祕笈）,https://www.kingstone.com.tw//basic/2015240244204?zone=book&lid=book_class3_ila&actid=book_class3_ila,葉思,野人文化  ,9789863844020,https://cdn.kingstone.com.tw/book/images/product/20152/2015240244204/2015240244204b.jpg
大考國文寶典：名師全面精選98年~108年學測+指考國文選擇題素養考題解題必讀：閱讀理解題×分類題庫,https://www.kingstone.com.tw//basic/2015216255227?zone=book&lid=book_class3_ila&actid=book_class3_ila,謝佩芬,字畝文化  ,9789865505004,https://cdn.kingstone.com.tw/book/images/product/20152/2015216255227/2015216255227b.jpg
普通型高級中學國文1,https://www.kingstone.com.tw//basic/2015216098039?zone=book&lid=book_class3_ila&actid=book_class3_ila,楊翠、朱宏勳 主編,奇異果文創,9789869759106,https://cdn.kingstone.com.tw/book/images/product/20152/2015216098039/2015216098039b.jpg
古文30輕鬆讀 飆分複習測驗卷,https://www.kingstone.com.tw//basic/2015216039889?zone=book&lid=book_class3_ila&actid=book_class3_ila,廖筱雯,鴻漸文化  ,9789869703932,https://cdn.kingstone.com.tw/book/images/product/20152/2015216039889/2015216039889b.jpg
【內含國語文寫作能力測驗】升大學測指考國文科（第一~五冊）全真模擬題本〔升大學測〕,https://www.kingstone.com.tw//basic/2015215901743?zone=book&lid=book_class3_ila&actid=book_class3_ila,李宜藍,千華      ,9789310411089,https://cdn.kingstone.com.tw/book/images/product/20152/2015215901743/2015215901743b.jpg
國中國文閱讀測驗全方位（第3版）,https://www.kingstone.com.tw//basic/2015240209296?zone=book&lid=book_class3_ila&actid=book_class3_ila,陳建志,光田      ,4712839708243,https://cdn.kingstone.com.tw/book/images/product/20152/2015240209296/2015240209296b.jpg
寫出高分作文：歷屆大學考試作文範本與解析,https://www.kingstone.com.tw//basic/2015240159270?zone=book&lid=book_class3_ila&actid=book_class3_ila,林金郎,臺灣商務  ,9789570530292,https://cdn.kingstone.com.tw/book/images/product/20152/2015240159270/2015240159270b.jpg
110升大學指定科目考試解題王－國文考科,https://www.kingstone.com.tw//basic/2015216667822?zone=book&lid=book_class3_ila&actid=book_class3_ila,金凰,鶴立      ,9789866978470,https://cdn.kingstone.com.tw/book/images/product/20152/2015216667822/2015216667822b.jpg
神拿分！核心選文15篇+國寫滿點神功略（含混合題型訓練&歷屆考古題）,https://www.kingstone.com.tw//basic/2015240255293?zone=book&lid=book_class3_ila&actid=book_class3_ila,遲嘯川(國學大師),典藏閣    ,9789862719077,https://cdn.kingstone.com.tw/book/images/product/20152/2015240255293/2015240255293b.jpg
普通型高級中學國文4,https://www.kingstone.com.tw//basic/2015216833845?zone=book&lid=book_class3_ila&actid=book_class3_ila,楊翠、朱宏勳,奇異果文創,9789860604702,https://cdn.kingstone.com.tw/book/images/product/20152/2015216833845/2015216833845b.jpg
大學轉學考2021試題大補帖【國文】（107~109年試題）,https://www.kingstone.com.tw//basic/2015216826144?zone=book&lid=book_class3_ila&actid=book_class3_ila,龍門轉學考師資群,大碩教育  ,9789863459897,https://cdn.kingstone.com.tw/book/images/product/20152/2015216826144/2015216826144b.jpg
普通型高級中學國文3,https://www.kingstone.com.tw//basic/2015216691711?zone=book&lid=book_class3_ila&actid=book_class3_ila,楊翠、朱宥勳、石牧民,奇異果文創,9789869915823,https://cdn.kingstone.com.tw/book/images/product/20152/2015216691711/2015216691711b.jpg
作文心法：迎戰學測國寫：大學學測（保成）,https://www.kingstone.com.tw//basic/2015216647718?zone=book&lid=book_class3_ila&actid=book_class3_ila,洪晏,新保成    ,9789864816958,https://cdn.kingstone.com.tw/book/images/product/20152/2015216647718/2015216647718b.jpg
110升大學學科能力測驗國文考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015216504523?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、許清龍、伍湘芬,鴻漸文化  ,9789869840989,https://cdn.kingstone.com.tw/book/images/product/20152/2015216504523/2015216504523b.jpg
110年升大學學科測驗解題王：國文考科,https://www.kingstone.com.tw//basic/2015216496989?zone=book&lid=book_class3_ila&actid=book_class3_ila,金凰、廖筱雯、許清龍,鶴立      ,9789866978456,https://cdn.kingstone.com.tw/book/images/product/20152/2015216496989/2015216496989b.jpg
普通型高級中學國文2,https://www.kingstone.com.tw//basic/2015216449190?zone=book&lid=book_class3_ila&actid=book_class3_ila,楊翠、朱宏勳,奇異果文創,9789869856164,https://cdn.kingstone.com.tw/book/images/product/20152/2015216449190/2015216449190b.jpg
109指定科目考試國文考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015216400344?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、林安英、許清龍等,鴻漸文化  ,9789869840927,https://cdn.kingstone.com.tw/book/images/product/20152/2015216400344/2015216400344b.jpg
大學轉學考2020試題大補帖【國文】（106~108年試題）,https://www.kingstone.com.tw//basic/2015216344549?zone=book&lid=book_class3_ila&actid=book_class3_ila,王箏,大碩教育  ,9789863457350,https://cdn.kingstone.com.tw/book/images/product/20152/2015216344549/2015216344549b.jpg
國文閱讀理解套書（共兩冊）（新版）：閱讀跨出去+大考國文寶典（二版）,https://www.kingstone.com.tw//basic/2015240243542?zone=book&lid=book_class3_ila&actid=book_class3_ila,謝佩芬,字畝文化  ,8667106510264,https://cdn.kingstone.com.tw/book/images/product/20152/2015240243542/2015240243542b.jpg
109升大學學科能力測驗國文考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015216090583?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、許清龍、伍湘芬等,鴻漸文化  ,9789869778718,https://cdn.kingstone.com.tw/book/images/product/20152/2015216090583/2015216090583b.jpg
贏戰101~108年學測歷屆試題國文考科,https://www.kingstone.com.tw//basic/2015216089594?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、許清龍等,鴻漸文化  ,9789869703963,https://cdn.kingstone.com.tw/book/images/product/20152/2015216089594/2015216089594b.jpg
選文講堂 必考文言文32,https://www.kingstone.com.tw//basic/2015240240756?zone=book&lid=book_class3_ila&actid=book_class3_ila,江超平,寰宇知識  ,9789869696593,https://cdn.kingstone.com.tw/book/images/product/20152/2015240240756/2015240240756b.jpg
109年升大學學科測驗解題王  國文考科,https://www.kingstone.com.tw//basic/2015216083882?zone=book&lid=book_class3_ila&actid=book_class3_ila,金凰、廖筱雯、許清龍等,鶴立      ,9789866978265,https://cdn.kingstone.com.tw/book/images/product/20152/2015216083882/2015216083882b.jpg
大學轉學考2019試題大補帖【國文】（105~107年試題）,https://www.kingstone.com.tw//basic/2015216088252?zone=book&lid=book_class3_ila&actid=book_class3_ila,大碩教育,大碩教育  ,9789863456346,https://cdn.kingstone.com.tw/book/images/product/20152/2015216088252/2015216088252b.jpg
精準命中！國寫全面解析,https://www.kingstone.com.tw//basic/2015240238555?zone=book&lid=book_class3_ila&actid=book_class3_ila,臺南一中國文科教學研究會,木馬文化  ,9789863596486,https://cdn.kingstone.com.tw/book/images/product/20152/2015240238555/2015240238555b.jpg
閱讀跨出去大考國文致勝關鍵：閱讀理解即戰力名師團隊全新命題題型靈活、取材多元 最佳備戰操練,https://www.kingstone.com.tw//basic/2015240233925?zone=book&lid=book_class3_ila&actid=book_class3_ila,謝佩芬等(策劃審定),字畝文化  ,9789578423688,https://cdn.kingstone.com.tw/book/images/product/20152/2015240233925/2015240233925b.jpg
大考國文誰不怕【破解試題編寫密碼+閱讀理解密碼=得分高手】,https://www.kingstone.com.tw//basic/2015240233345?zone=book&lid=book_class3_ila&actid=book_class3_ila,鄭圓鈴,五南      ,9789577631237,https://cdn.kingstone.com.tw/book/images/product/20152/2015240233345/2015240233345b.jpg
108指定科目考試國文考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015215884794?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、林安英、許清龍等,鴻漸文化  ,9789869676281,https://cdn.kingstone.com.tw/book/images/product/20152/2015215884794/2015215884794b.jpg
108升大學指定科目考試解題王：國文考科,https://www.kingstone.com.tw//basic/2015215841780?zone=book&lid=book_class3_ila&actid=book_class3_ila,金凰,鶴立      ,9789869676922,https://cdn.kingstone.com.tw/book/images/product/20152/2015215841780/2015215841780b.jpg
高中學測衝刺模擬國文考科（選擇題）,https://www.kingstone.com.tw//basic/2015215847522?zone=book&lid=book_class3_ila&actid=book_class3_ila,嚴月霞,建興      ,9789862243671,https://cdn.kingstone.com.tw/book/images/product/20152/2015215847522/2015215847522b.jpg
駐在南山頭,https://www.kingstone.com.tw//basic/2018551825001?zone=book&lid=book_class3_ila&actid=book_class3_ila,劉文哲,金門管理處,9789860567700,https://cdn.kingstone.com.tw/book/images/product/20185/2018551825001/2018551825001b.jpg
大學轉學考2018試題大補帖【國文】（106年試題）,https://www.kingstone.com.tw//basic/2015215704337?zone=book&lid=book_class3_ila&actid=book_class3_ila,王箏,大碩教育  ,9789863455158,https://cdn.kingstone.com.tw/book/images/product/20152/2015215704337/2015215704337b.jpg
108年升大學學科測驗解題王  數學考科,https://www.kingstone.com.tw//basic/2015215682208?zone=book&lid=book_class3_ila&actid=book_class3_ila,王擎天、偉賀鈞、傑哥等,鶴立      ,9789869639521,https://cdn.kingstone.com.tw/book/images/product/20152/2015215682208/2015215682208b.jpg
108年升大學學科測驗解題王  國文考科,https://www.kingstone.com.tw//basic/2015215682468?zone=book&lid=book_class3_ila&actid=book_class3_ila,金凰、廖筱雯、許清龍等,鶴立      ,9789869549097,https://cdn.kingstone.com.tw/book/images/product/20152/2015215682468/2015215682468b.jpg
贏戰100－107年學測歷屆試題國文考科,https://www.kingstone.com.tw//basic/2015215666772?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、許清龍、伍湘芬、王競,鴻漸文化  ,9789869557894,https://cdn.kingstone.com.tw/book/images/product/20152/2015215666772/2015215666772b.jpg
鯨豚，海洋，漁人,https://www.kingstone.com.tw//basic/2017330215811?zone=book&lid=book_class3_ila&actid=book_class3_ila,林雅容、余欣怡,東部風管處,9789860550351,https://cdn.kingstone.com.tw/book/images/product/20173/2017330215811/2017330215811b.jpg
107指定科目考試國文考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015250057313?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、林安英、許清龍、伍湘芬,鴻漸文化  ,9789869557801,https://cdn.kingstone.com.tw/book/images/product/20152/2015250057313/2015250057313b.jpg
107升大學指定科目考試解題王：國文考科,https://www.kingstone.com.tw//basic/2015250056781?zone=book&lid=book_class3_ila&actid=book_class3_ila,金凰,鶴立      ,9789869549028,https://cdn.kingstone.com.tw/book/images/product/20152/2015250056781/2015250056781b.jpg
歡迎來作部落客 高山青‧阿里山,https://www.kingstone.com.tw//basic/2017330219819?zone=book&lid=book_class3_ila&actid=book_class3_ila,交通部阿里山國家風景區管理處,阿里山管處,9789860535273,https://cdn.kingstone.com.tw/book/images/product/20173/2017330219819/2017330219819b.jpg
107近5年學科能力測驗歷屆試題狀元版,https://www.kingstone.com.tw//basic/2015215370914?zone=book&lid=book_class3_ila&actid=book_class3_ila,王擎天、張翔、葉施平、余紫瑛,鴻漸文化  ,9789869502504,https://cdn.kingstone.com.tw/book/images/product/20152/2015215370914/2015215370914b.jpg
107進擊學測考前15天國文考科,https://www.kingstone.com.tw//basic/2015215356642?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、許清龍、伍湘芬、王競,鴻漸文化  ,9789869454087,https://cdn.kingstone.com.tw/book/images/product/20152/2015215356642/2015215356642b.jpg
107升大學學科能力測驗國文考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015250054497?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、許清龍、伍湘芬等,鴻漸文化  ,9789869454049,https://cdn.kingstone.com.tw/book/images/product/20152/2015250054497/2015250054497b.jpg
107年升大學學科測驗解題王  國文考科,https://www.kingstone.com.tw//basic/2015250054527?zone=book&lid=book_class3_ila&actid=book_class3_ila,金凰、廖筱雯、許清龍、沈風,鶴立      ,9789869483803,https://cdn.kingstone.com.tw/book/images/product/20152/2015250054527/2015250054527b.jpg
歷年大學入試閱讀測驗試題暨詳解,https://www.kingstone.com.tw//basic/2015215323415?zone=book&lid=book_class3_ila&actid=book_class3_ila,陳鐵君,建興      ,9789862243435,https://cdn.kingstone.com.tw/book/images/product/20152/2015215323415/2015215323415b.jpg
台江煙波（精裝）,https://www.kingstone.com.tw//basic/2019450066106?zone=book&lid=book_class3_ila&actid=book_class3_ila,陳銘顯 策劃指導,台江公園  ,9789860511147,https://cdn.kingstone.com.tw/book/images/product/20194/2019450066106/2019450066106b.jpg
106指定科目考試國文考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015215182333?zone=book&lid=book_class3_ila&actid=book_class3_ila,彭元岐、林安英、許清龍、伍湘芬,鴻漸文化  ,9789869368919,https://cdn.kingstone.com.tw/book/images/product/20152/2015215182333/2015215182333b.jpg
大學入試國文科閱讀評量,https://www.kingstone.com.tw//basic/2015215180599?zone=book&lid=book_class3_ila&actid=book_class3_ila,陳鐵君,建興      ,9789862243367,https://cdn.kingstone.com.tw/book/images/product/20152/2015215180599/2015215180599b.jpg
106升大學指定科目考試解題王－國文考科,https://www.kingstone.com.tw//basic/2015215169563?zone=book&lid=book_class3_ila&actid=book_class3_ila,金凰,鶴立      ,9789869368353,https://cdn.kingstone.com.tw/book/images/product/20152/2015215169563/2015215169563b.jpg
學測關鍵12週黑馬衝刺搶分王－國文,https://www.kingstone.com.tw//basic/2015215153784?zone=book&lid=book_class3_ila&actid=book_class3_ila,陳慈炘,鶴立      ,9789869368384,https://cdn.kingstone.com.tw/book/images/product/20152/2015215153784/2015215153784b.jpg
搶救天水嬸：埔里鄉土故事親子實境遊戲書,https://www.kingstone.com.tw//basic/2019960377266?zone=book&lid=book_class3_ila&actid=book_class3_ila,南投縣大埔里文創協會,日月潭管處,9789860498929,https://cdn.kingstone.com.tw/book/images/product/20199/2019960377266/2019960377266b.jpg
106近5年學科能力測驗歷屆試題狀元版,https://www.kingstone.com.tw//basic/2015215112354?zone=book&lid=book_class3_ila&actid=book_class3_ila,王擎天、張翔、葉施平、余紫瑛,鴻漸文化  ,9789869340021,https://cdn.kingstone.com.tw/book/images/product/20152/2015215112354/2015215112354b.jpg
