書名,書籍網站,作者,出版社,ISBN,圖片網址
SUPER BRAIN 英文學霸超強筆記,https://www.kingstone.com.tw//basic/2015216521391?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,優等生軍團,鶴立      ,9789866978463,https://cdn.kingstone.com.tw/book/images/product/20152/2015216521391/2015216521391b.jpg
迎戰108新課綱：英文作文必考題型各個擊破,https://www.kingstone.com.tw//basic/2015240246048?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,賴世雄,常春藤    ,9789865676865,https://cdn.kingstone.com.tw/book/images/product/20152/2015240246048/2015240246048b.jpg
SUPER BRAIN 英文學霸超強筆記（108課綱）,https://www.kingstone.com.tw//basic/2015216867994?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,優等生軍團,鶴立      ,9789866978586,https://cdn.kingstone.com.tw/book/images/product/20152/2015216867994/2015216867994b.jpg
近十年英文學測試題詳解：試題本+詳解本（110年版）（獨家附贈近十年指考篇章結構真題及解析）,https://www.kingstone.com.tw//basic/2015240250953?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,賴世雄,常春藤    ,9789869977555,https://cdn.kingstone.com.tw/book/images/product/20152/2015240250953/2015240250953b.jpg
111升大學學科能力測驗英文考科歷屆試題總覽（108課綱）,https://www.kingstone.com.tw//basic/2015216998148?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,張翔、林名祐、施霈,鴻漸文化  ,9789860686944,https://cdn.kingstone.com.tw/book/images/product/20152/2015216998148/2015216998148b.jpg
111年升大學學科測驗解題王  英文考科（108課綱）,https://www.kingstone.com.tw//basic/2015216930360?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,吳少白、吳喬豐、黃翊帆,鶴立      ,9789866978616,https://cdn.kingstone.com.tw/book/images/product/20152/2015216930360/2015216930360b.jpg
高中英語句型王：關鍵提升118條句型力（20K）,https://www.kingstone.com.tw//basic/2015240246338?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,邱昭敏,寂天文化  ,9789863189138,https://cdn.kingstone.com.tw/book/images/product/20152/2015240246338/2015240246338b.jpg
高中三年的中翻英一本搞定：五段式中翻英譯法,https://www.kingstone.com.tw//basic/2018052888147?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,葉怡成,五南      ,9789577637888,https://cdn.kingstone.com.tw/book/images/product/20180/2018052888147/2018052888147b.jpg
7000字克漏字教本,https://www.kingstone.com.tw//basic/2015216089884?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,劉毅,學習出版有,4713269382102,https://cdn.kingstone.com.tw/book/images/product/20152/2015216089884/2015216089884b.jpg
7000字克漏字詳解（教師手冊）,https://www.kingstone.com.tw//basic/2015215345813?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,劉毅,學習出版有,4713269382065,https://cdn.kingstone.com.tw/book/images/product/20152/2015215345813/2015215345813b.jpg
不是權威不出書：英文名師教你征服統測英文465題（5回全真模擬題╳5回歷屆考古題╳最完整解析）,https://www.kingstone.com.tw//basic/2018052741404?zone=book&lid=book_class3_ilc&actid=book_class3_ilc,許豪,捷徑文化  ,9789869392532,https://cdn.kingstone.com.tw/book/images/product/20180/2018052741404/2018052741404b.jpg
