書名,書籍網站,作者,出版社,ISBN,圖片網址
111年升大學學科測驗解題王  社會考科（108課綱）,https://www.kingstone.com.tw//basic/2015216985735?zone=book&lid=book_class3_ile&actid=book_class3_ile,鄒臥龍、羅士豪、林全、林翔,鶴立      ,9789866978647,https://cdn.kingstone.com.tw/book/images/product/20152/2015216985735/2015216985735b.jpg
法律系轉學考：憲法歷屆試題全解（保成）,https://www.kingstone.com.tw//basic/2015216862104?zone=book&lid=book_class3_ile&actid=book_class3_ile,于歆,新保成    ,9789865597214,https://cdn.kingstone.com.tw/book/images/product/20152/2015216862104/2015216862104b.jpg
金柑全年12月份栽培管理技術專刊,https://www.kingstone.com.tw//basic/2014350189948?zone=book&lid=book_class3_ile&actid=book_class3_ile,李建瑩,花蓮農改場,9789860561401,https://cdn.kingstone.com.tw/book/images/product/20143/2014350189948/2014350189948b.jpg
中外歷史年表（增訂版）,https://www.kingstone.com.tw//basic/2015215565969?zone=book&lid=book_class3_ile&actid=book_class3_ile,鄒臥龍,鶴立      ,9789869549066,https://cdn.kingstone.com.tw/book/images/product/20152/2015215565969/2015215565969b.jpg
111升大學學科能力測驗社會考科歷屆試題總覽（108課綱）,https://www.kingstone.com.tw//basic/2015217017589?zone=book&lid=book_class3_ile&actid=book_class3_ile,徐明軒、林全、劉河北、葉施平,鴻漸文化  ,9789860686951,https://cdn.kingstone.com.tw/book/images/product/20152/2015217017589/2015217017589b.jpg
法律系轉學考：民法總則歷屆試題全解（保成）,https://www.kingstone.com.tw//basic/2015216862234?zone=book&lid=book_class3_ile&actid=book_class3_ile,柳宿一,新保成    ,9789865597184,https://cdn.kingstone.com.tw/book/images/product/20152/2015216862234/2015216862234b.jpg
法律系轉學考：刑法總則歷屆試題全解（保成）,https://www.kingstone.com.tw//basic/2015216862364?zone=book&lid=book_class3_ile&actid=book_class3_ile,雅各,新保成    ,9789865597207,https://cdn.kingstone.com.tw/book/images/product/20152/2015216862364/2015216862364b.jpg
110指定科目考試公民與社會考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015216702851?zone=book&lid=book_class3_ile&actid=book_class3_ile,余紫瑛,鴻漸文化  ,9789869952477,https://cdn.kingstone.com.tw/book/images/product/20152/2015216702851/2015216702851b.jpg
110升大學指定科目考試解題王－公民與社會考科,https://www.kingstone.com.tw//basic/2015216686434?zone=book&lid=book_class3_ile&actid=book_class3_ile,洪驛、陳栩,鶴立      ,9789866978548,https://cdn.kingstone.com.tw/book/images/product/20152/2015216686434/2015216686434b.jpg
110升大學指定科目考試解題王－地理考科,https://www.kingstone.com.tw//basic/2015216687936?zone=book&lid=book_class3_ile&actid=book_class3_ile,羅士豪、林建、林翔,鶴立      ,9789866978487,https://cdn.kingstone.com.tw/book/images/product/20152/2015216687936/2015216687936b.jpg
