書名,書籍網站,作者,出版社,ISBN,圖片網址
魔法歷史—臺灣史,https://www.kingstone.com.tw//basic/2015213622480?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,鄒臥龍,鶴立      ,9789866343889,https://cdn.kingstone.com.tw/book/images/product/20152/2015213622480/2015213622480b.jpg
魔法國學常識（增訂版）,https://www.kingstone.com.tw//basic/2015215996626?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,金凰,鶴立      ,9789866978197,https://cdn.kingstone.com.tw/book/images/product/20152/2015215996626/2015215996626b.jpg
學測化學必考的22個題型,https://www.kingstone.com.tw//basic/2013400032777?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,陳大為、蘇傑、簡紅典,文字復興  ,9789571168470,https://cdn.kingstone.com.tw/book/images/product/20134/2013400032777/2013400032777b.jpg
升大學學科能力測驗數學焦點公式全,https://www.kingstone.com.tw//basic/2015213616311?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,王擎天,鶴立      ,9789866343872,https://cdn.kingstone.com.tw/book/images/product/20152/2015213616311/2015213616311b.jpg
申請入學贏在書審與面試,https://www.kingstone.com.tw//basic/2015250068562?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,孫貴珠,五南      ,9789865224264,https://cdn.kingstone.com.tw/book/images/product/20152/2015250068562/2015250068562b.jpg
大學轉學考2021試題大補帖【經濟學】（107~109年試題）,https://www.kingstone.com.tw//basic/2015216815995?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,龍門轉學考師資群,大碩教育  ,9789863459705,https://cdn.kingstone.com.tw/book/images/product/20152/2015216815995/2015216815995b.jpg
極簡高中閱讀測驗,https://www.kingstone.com.tw//basic/2015216669406?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,劉毅,學習出版有,4713269383932,https://cdn.kingstone.com.tw/book/images/product/20152/2015216669406/2015216669406b.jpg
歷年學科能測驗試題&詳解 數學考科,https://www.kingstone.com.tw//basic/2015216650411?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,朱正康,建興      ,9789862243909,https://cdn.kingstone.com.tw/book/images/product/20152/2015216650411/2015216650411b.jpg
歷年學科能測驗試題&詳解 自然考科,https://www.kingstone.com.tw//basic/2015216650541?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,張鎮麟,建興      ,9789862243916,https://cdn.kingstone.com.tw/book/images/product/20152/2015216650541/2015216650541b.jpg
贏戰102~109年學測歷屆試題社會考科,https://www.kingstone.com.tw//basic/2015216499355?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,林全、葉施平、余紫瑛,鴻漸文化  ,9789869896078,https://cdn.kingstone.com.tw/book/images/product/20152/2015216499355/2015216499355b.jpg
108版高中地球科學（全）優勢參考書（含詳解）,https://www.kingstone.com.tw//basic/2015216393882?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,李文禮,全華      ,9789865033040,https://cdn.kingstone.com.tw/book/images/product/20152/2015216393882/2015216393882b.jpg
學測考前大猜題,https://www.kingstone.com.tw//basic/2015216263420?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,蔡琇瑩,學習出版有,4713269383376,https://cdn.kingstone.com.tw/book/images/product/20152/2015216263420/2015216263420b.jpg
108年指定科目考試各科試題詳解,https://www.kingstone.com.tw//basic/2015216208568?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,劉毅,學習出版有,4713269383321,https://cdn.kingstone.com.tw/book/images/product/20152/2015216208568/2015216208568b.jpg
統測搶分寶典隨手讀－機械製造與機械基礎實習,https://www.kingstone.com.tw//basic/2015216226708?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,李 非、陳飛祥,科友      ,9789864642243,https://cdn.kingstone.com.tw/book/images/product/20152/2015216226708/2015216226708b.jpg
109近5年學科能力測驗歷屆試題狀元版,https://www.kingstone.com.tw//basic/2015216147683?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,王擎天、張翔、葉施平等,鴻漸文化  ,9789869778756,https://cdn.kingstone.com.tw/book/images/product/20152/2015216147683/2015216147683b.jpg
大學轉學考2019試題大補帖【經濟學】（105~107年試題）,https://www.kingstone.com.tw//basic/2015216088122?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,大碩教育,大碩教育  ,9789863456285,https://cdn.kingstone.com.tw/book/images/product/20152/2015216088122/2015216088122b.jpg
108年學科能力測驗各科試題詳解,https://www.kingstone.com.tw//basic/2015216014855?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,劉毅,學習出版有,4713269383178,https://cdn.kingstone.com.tw/book/images/product/20152/2015216014855/2015216014855b.jpg
魔法國文一字多義（增訂版）,https://www.kingstone.com.tw//basic/2015215996756?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,廖筱雯,鶴立      ,9789866978203,https://cdn.kingstone.com.tw/book/images/product/20152/2015215996756/2015215996756b.jpg
學科能力測驗奪冠王：國文考科模擬複習卷（滿分攻略版）,https://www.kingstone.com.tw//basic/2015215866714?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,升大學命題研究中心精編,鶴立      ,9789869676908,https://cdn.kingstone.com.tw/book/images/product/20152/2015215866714/2015215866714b.jpg
學測指考歷屆試題分章歸納解析數學（高二篇）（最新版）,https://www.kingstone.com.tw//basic/2015215841520?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,王擎天、傑哥、偉賀鈞,鶴立      ,9789869639590,https://cdn.kingstone.com.tw/book/images/product/20152/2015215841520/2015215841520b.jpg
學測飆分王主題式歷屆試題解析  國文,https://www.kingstone.com.tw//basic/2015215722997?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,廖筱雯、金凰,鶴立      ,9789869639552,https://cdn.kingstone.com.tw/book/images/product/20152/2015215722997/2015215722997b.jpg
統測搶分寶典隨手讀－製圖實習,https://www.kingstone.com.tw//basic/2015215732934?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,李 非、陳飛祥,科友      ,9789864641536,https://cdn.kingstone.com.tw/book/images/product/20152/2015215732934/2015215732934b.jpg
108近5年學科能力測驗歷屆試題狀元版,https://www.kingstone.com.tw//basic/2015215702333?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,王擎天、張翔、葉施平、余紫瑛,鴻漸文化  ,9789869627382,https://cdn.kingstone.com.tw/book/images/product/20152/2015215702333/2015215702333b.jpg
審查資料製作書,https://www.kingstone.com.tw//basic/2014713554529?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,余曉菁．邱淑芬,碁峰資訊  ,9789864768219,https://cdn.kingstone.com.tw/book/images/product/20147/2014713554529/2014713554529b.jpg
包裝解碼．設計加值,https://www.kingstone.com.tw//basic/2015215840448?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,楊勝雄,全華      ,9789864639021,https://cdn.kingstone.com.tw/book/images/product/20152/2015215840448/2015215840448b.jpg
大學轉學考2018試題大補帖【經濟學】（106年試題）,https://www.kingstone.com.tw//basic/2015215692245?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,楊莉,大碩教育  ,9789863455011,https://cdn.kingstone.com.tw/book/images/product/20152/2015215692245/2015215692245b.jpg
統測搶分寶典隨手讀－機械製造與機械基礎實習,https://www.kingstone.com.tw//basic/2018052807599?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,李 非、陳飛祥,科友      ,9789864641239,https://cdn.kingstone.com.tw/book/images/product/20180/2018052807599/2018052807599b.jpg
107年學科能力測驗各科試題詳解,https://www.kingstone.com.tw//basic/2015215643162?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,劉毅,學習出版有,4713269382829,https://cdn.kingstone.com.tw/book/images/product/20152/2015215643162/2015215643162b.jpg
魔法物理上：力學‧熱學（增訂版）,https://www.kingstone.com.tw//basic/2015215566041?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,林冠傑,鶴立      ,9789869549073,https://cdn.kingstone.com.tw/book/images/product/20152/2015215566041/2015215566041b.jpg
學科能力測驗奪冠王英文考科模擬複習卷（滿分攻略版）,https://www.kingstone.com.tw//basic/2015215547989?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,升大學命題研究中心精編,鶴立      ,9789869549059,https://cdn.kingstone.com.tw/book/images/product/20152/2015215547989/2015215547989b.jpg
甄戰大學【財經學群】17而勵，打造成功甄選的5把鑰匙,https://www.kingstone.com.tw//basic/2015250057993?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,甄戰學習顧問師資群,大碩教育  ,9789863454441,https://cdn.kingstone.com.tw/book/images/product/20152/2015250057993/2015250057993b.jpg
107升大學指定科目考試解題王－英文考科,https://www.kingstone.com.tw//basic/2015215536280?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,吳少白,鶴立      ,9789869549004,https://cdn.kingstone.com.tw/book/images/product/20152/2015215536280/2015215536280b.jpg
107指定科目考試地理考科歷屆試題總覽,https://www.kingstone.com.tw//basic/2015215536310?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,徐明軒、林全,鴻漸文化  ,9789869557832,https://cdn.kingstone.com.tw/book/images/product/20152/2015215536310/2015215536310b.jpg
甄戰大學－第一類組法商科選系與職涯全勝系列,https://www.kingstone.com.tw//basic/2015215551634?zone=book&lid=book_class3_ilz&actid=book_class3_ilz,甄戰學習顧問師資群,大碩教育  ,9789863454359,https://cdn.kingstone.com.tw/book/images/product/20152/2015215551634/2015215551634b.jpg
