書名,書籍網站,作者,出版社,ISBN,圖片網址
數學A升學跨越講義（新一代）科大四技 附MOSME行動學習一點通：詳解．影音．診斷．評量,https://www.kingstone.com.tw//basic/2015216884892?zone=book&lid=book_class3_ima&actid=book_class3_ima,巫曉芸,台科大    ,9789865232337,https://cdn.kingstone.com.tw/book/images/product/20152/2015216884892/2015216884892b.jpg
2022數學（A） 完全攻略：根據108課綱編寫（升科大四技二專）,https://www.kingstone.com.tw//basic/2015217017299?zone=book&lid=book_class3_ima&actid=book_class3_ima,高偉欽,千華      ,9789865206307,https://cdn.kingstone.com.tw/book/images/product/20152/2015217017299/2015217017299b.jpg
2022國文完全攻略：完全對應評量範圍（升科大四技二專 ）,https://www.kingstone.com.tw//basic/2015216944725?zone=book&lid=book_class3_ima&actid=book_class3_ima,李宜藍,千華      ,9789865204624,https://cdn.kingstone.com.tw/book/images/product/20152/2015216944725/2015216944725b.jpg
四技二專統測歷屆英文試題完全解析－試題本+詳解本+ 1 MP3（110年版）,https://www.kingstone.com.tw//basic/2018052982296?zone=book&lid=book_class3_ima&actid=book_class3_ima,賴世雄,常春藤    ,9789860666205,https://cdn.kingstone.com.tw/book/images/product/20180/2018052982296/2018052982296b.jpg
2022國文[歷年試題+模擬考：主題式單元分類（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216888210?zone=book&lid=book_class3_ima&actid=book_class3_ima,邱鉦倫,千華      ,9789865204631,https://cdn.kingstone.com.tw/book/images/product/20152/2015216888210/2015216888210b.jpg
四技二專統測必備英文單字,https://www.kingstone.com.tw//basic/2015240247410?zone=book&lid=book_class3_ima&actid=book_class3_ima,賴世雄,常春藤    ,9789865676926,https://cdn.kingstone.com.tw/book/images/product/20152/2015240247410/2015240247410b.jpg
數學C第一冊學習講義含解析本－最新版－附贈MOSME行動學習一點通（技術高中）,https://www.kingstone.com.tw//basic/2015216263550?zone=book&lid=book_class3_ima&actid=book_class3_ima,曾國旭 陳建方,台科大    ,9789864559176,https://cdn.kingstone.com.tw/book/images/product/20152/2015216263550/2015216263550b.jpg
輕鬆學基礎英文法含解析－最新版（第六版）－附贈MOSME行動學習一點通,https://www.kingstone.com.tw//basic/2015216639935?zone=book&lid=book_class3_ima&actid=book_class3_ima,林俊傑編,台科大    ,9789863089063,https://cdn.kingstone.com.tw/book/images/product/20152/2015216639935/2015216639935b.jpg
英文模擬試題與歷屆試題題卜書（Tips）－新一代（第九版）－附MOSME行動學習一點通：詳解．診斷．評量,https://www.kingstone.com.tw//basic/2015217021364?zone=book&lid=book_class3_ima&actid=book_class3_ima,許雅惠,台科大    ,9789865233112,https://cdn.kingstone.com.tw/book/images/product/20152/2015217021364/2015217021364b.jpg
聚焦英文文法講義－新一代（第四版）－附MOSME行動學習一點通：詳解．診斷．評量,https://www.kingstone.com.tw//basic/2015217022026?zone=book&lid=book_class3_ima&actid=book_class3_ima,林欣穎、陳瑞萍、林昱伸、徐如琳,台科大    ,9789865232979,https://cdn.kingstone.com.tw/book/images/product/20152/2015217022026/2015217022026b.jpg
數學C升學講義－（新一代）最新修訂版－附MOSME行動學習一點通：詳解．影音．診斷．評量．模擬,https://www.kingstone.com.tw//basic/2015217022316?zone=book&lid=book_class3_ima&actid=book_class3_ima,許燦興 董德,台科大    ,9789865233181,https://cdn.kingstone.com.tw/book/images/product/20152/2015217022316/2015217022316b.jpg
輕鬆學基礎英文法－（新一代）最新版－附MOSME行動學習一點通：詳解．診斷．評量,https://www.kingstone.com.tw//basic/2015217014373?zone=book&lid=book_class3_ima&actid=book_class3_ima,林俊傑,台科大    ,9789865232962,https://cdn.kingstone.com.tw/book/images/product/20152/2015217014373/2015217014373b.jpg
2022數學（A）[歷年試題+模擬考]：見招拆招，抓住關鍵難不倒！（升科大四技二專）,https://www.kingstone.com.tw//basic/2015217003124?zone=book&lid=book_class3_ima&actid=book_class3_ima,學寧,千華      ,9789865205607,https://cdn.kingstone.com.tw/book/images/product/20152/2015217003124/2015217003124b.jpg
2022數學（B）商職[歷年試題+模擬考]：見招拆招，抓住關鍵難不倒！（升科大四技二專）,https://www.kingstone.com.tw//basic/2015217005968?zone=book&lid=book_class3_ima&actid=book_class3_ima,學寧,千華      ,9789865205744,https://cdn.kingstone.com.tw/book/images/product/20152/2015217005968/2015217005968b.jpg
108課綱〔共同科目〕升科大四技_題庫版套書：依課綱主題分類，完全對應評量範圍（升科大/統測/四技二專）,https://www.kingstone.com.tw//basic/2015217008914?zone=book&lid=book_class3_ima&actid=book_class3_ima,名師作者群,千華      ,9789865206383,https://cdn.kingstone.com.tw/book/images/product/20152/2015217008914/2015217008914b.jpg
