書名,書籍網站,作者,出版社,ISBN,圖片網址
家政概論升學寶典家政群（含解析本）－適用至2021年統測－升科大四技（附贈MOSME行動學習一點通）,https://www.kingstone.com.tw//basic/2015216297159?zone=book&lid=book_class3_imc&actid=book_class3_imc,呂巧華,台科大    ,9789864559664,https://cdn.kingstone.com.tw/book/images/product/20152/2015216297159/2015216297159b.jpg
家政群幼保類專業一、二（家政概論、家庭教育、幼兒教保概論與實務）歷屆試題含解析本－2019年,https://www.kingstone.com.tw//basic/2015215814005?zone=book&lid=book_class3_imc&actid=book_class3_imc,林佳蓉 郭宜君 王婕芸,台科大    ,9789864554256,https://cdn.kingstone.com.tw/book/images/product/20152/2015215814005/2015215814005b.jpg
餐飲服務技術升學寶典－餐旅群（新一代）最新版－附MOSME行動學習一點通：詳解．診斷．評量,https://www.kingstone.com.tw//basic/2015217005418?zone=book&lid=book_class3_imc&actid=book_class3_imc,劉君慧,台科大    ,9789865232634,https://cdn.kingstone.com.tw/book/images/product/20152/2015217005418/2015217005418b.jpg
108課綱〔餐旅群〕升科大四技_題庫版套書：根據108課綱編撰，重點內容標註雙色樣式，短時間提升自我實力！,https://www.kingstone.com.tw//basic/2015216954922?zone=book&lid=book_class3_imc&actid=book_class3_imc,名師作者群,千華      ,9789865205546,https://cdn.kingstone.com.tw/book/images/product/20152/2015216954922/2015216954922b.jpg
觀光餐旅業導論滿分總複習（全） 111年版,https://www.kingstone.com.tw//basic/2014890050210?zone=book&lid=book_class3_imc&actid=book_class3_imc,王雅惠、李英端、旗立餐旅研究室,旗立資訊  ,9789863852582,https://cdn.kingstone.com.tw/book/images/product/20148/2014890050210/2014890050210b.jpg
升科大四技—飲料與調酒（2021最新版）（附隨堂測驗卷）,https://www.kingstone.com.tw//basic/2015216635777?zone=book&lid=book_class3_imc&actid=book_class3_imc,劉貞秀、王彬如,全華      ,9789865034436,https://cdn.kingstone.com.tw/book/images/product/20152/2015216635777/2015216635777b.jpg
日式料理（入門篇）,https://www.kingstone.com.tw//basic/2015216306455?zone=book&lid=book_class3_imc&actid=book_class3_imc,黃女玲、鎌倉聰,全華      ,9789865032395,https://cdn.kingstone.com.tw/book/images/product/20152/2015216306455/2015216306455b.jpg
【統測奪分關鍵】升科大四技餐旅測驗卷,https://www.kingstone.com.tw//basic/2015215881748?zone=book&lid=book_class3_imc&actid=book_class3_imc,畢瑩,千華      ,9789308611088,https://cdn.kingstone.com.tw/book/images/product/20152/2015215881748/2015215881748b.jpg
家庭教育升學寶典－家政群（新一代）最新版－附MOSME行動學習一點通：詳解．診斷．評量．擴增,https://www.kingstone.com.tw//basic/2015217021944?zone=book&lid=book_class3_imc&actid=book_class3_imc,林佳蓉、林郡妤、林紫茵、曾玉瓶,台科大    ,9789865232894,https://cdn.kingstone.com.tw/book/images/product/20152/2015217021944/2015217021944b.jpg
升科大四技－多媒材創作實務（2022最新版）,https://www.kingstone.com.tw//basic/2015217020152?zone=book&lid=book_class3_imc&actid=book_class3_imc,沈昭玲,全華      ,9789865038762,https://cdn.kingstone.com.tw/book/images/product/20152/2015217020152/2015217020152b.jpg
葡萄酒侍酒師（第二版）,https://www.kingstone.com.tw//basic/2015217019903?zone=book&lid=book_class3_imc&actid=book_class3_imc,洪昌維,全華      ,9789865038663,https://cdn.kingstone.com.tw/book/images/product/20152/2015217019903/2015217019903b.jpg
升科大四技－家政群專一考前急救包（2022最新版）,https://www.kingstone.com.tw//basic/2015217020022?zone=book&lid=book_class3_imc&actid=book_class3_imc,陳慧薐,全華      ,9789865038748,https://cdn.kingstone.com.tw/book/images/product/20152/2015217020022/2015217020022b.jpg
餐飲服務總複習,https://www.kingstone.com.tw//basic/2014830072920?zone=book&lid=book_class3_imc&actid=book_class3_imc,好文化編輯小組,新文京    ,9789864307647,https://cdn.kingstone.com.tw/book/images/product/20148/2014830072920/2014830072920b.jpg
升科大四技－飲料實務（2022第二版）（附隨堂測驗卷、單字手冊）,https://www.kingstone.com.tw//basic/2015217019613?zone=book&lid=book_class3_imc&actid=book_class3_imc,張朠紹,全華      ,9789865038441,https://cdn.kingstone.com.tw/book/images/product/20152/2015217019613/2015217019613b.jpg
升科大四技－餐飲服務技術（2022第二版）（附隨堂測驗卷、單字手冊）,https://www.kingstone.com.tw//basic/2015217013581?zone=book&lid=book_class3_imc&actid=book_class3_imc,張朠紹,全華      ,9789865038434,https://cdn.kingstone.com.tw/book/images/product/20152/2015217013581/2015217013581b.jpg
升科大四技 觀光餐旅業導論（2022最新版）（附隨堂測驗卷、單字手冊）,https://www.kingstone.com.tw//basic/2015216974746?zone=book&lid=book_class3_imc&actid=book_class3_imc,張朠紹,全華      ,9789865038076,https://cdn.kingstone.com.tw/book/images/product/20152/2015216974746/2015216974746b.jpg
餐旅服務,https://www.kingstone.com.tw//basic/2014830072500?zone=book&lid=book_class3_imc&actid=book_class3_imc,駱俊賢、謝宜芳,新文京    ,9789864307401,https://cdn.kingstone.com.tw/book/images/product/20148/2014830072500/2014830072500b.jpg
2021觀光餐旅業導論[歷年試題+模擬考] ：名師剖析，教你解決問題的方法！〔一版〕（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216895881?zone=book&lid=book_class3_imc&actid=book_class3_imc,高芬,千華      ,9789865204457,https://cdn.kingstone.com.tw/book/images/product/20152/2015216895881/2015216895881b.jpg
2022餐飲服務技術完全攻略：考試重點無所遺漏（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216902183?zone=book&lid=book_class3_imc&actid=book_class3_imc,畢瑩,千華      ,9789865204921,https://cdn.kingstone.com.tw/book/images/product/20152/2015216902183/2015216902183b.jpg
2022飲料實務統測[歷年試題+模擬考]：考題+實務經驗全面分享！〔一版〕（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216887268?zone=book&lid=book_class3_imc&actid=book_class3_imc,畢瑩,千華      ,9789865203191,https://cdn.kingstone.com.tw/book/images/product/20152/2015216887268/2015216887268b.jpg
2022餐飲服務技術[歷年試題+模擬考] ：對應課綱主題（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216887398?zone=book&lid=book_class3_imc&actid=book_class3_imc,畢瑩,千華      ,9789865204471,https://cdn.kingstone.com.tw/book/images/product/20152/2015216887398/2015216887398b.jpg
2022飲料實務完全攻略：圖像+表格系統歸納！〔一版〕（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216887978?zone=book&lid=book_class3_imc&actid=book_class3_imc,畢瑩,千華      ,9789865204440,https://cdn.kingstone.com.tw/book/images/product/20152/2015216887978/2015216887978b.jpg
餐飲服務技術滿分總複習（全） 111年版,https://www.kingstone.com.tw//basic/2014890050340?zone=book&lid=book_class3_imc&actid=book_class3_imc,旗立餐旅研究室,旗立資訊  ,9789863852575,https://cdn.kingstone.com.tw/book/images/product/20148/2014890050340/2014890050340b.jpg
飲料實務總複習,https://www.kingstone.com.tw//basic/2014271549814?zone=book&lid=book_class3_imc&actid=book_class3_imc,蘇涵瑜,新文京    ,9789864307319,https://cdn.kingstone.com.tw/book/images/product/20142/2014271549814/2014271549814b.jpg
丙級飲料調製技能檢定學術科完全攻略（2021最新版）（（附學科測驗卷）,https://www.kingstone.com.tw//basic/2015216841918?zone=book&lid=book_class3_imc&actid=book_class3_imc,全華餐旅研究室,全華      ,9789865035549,https://cdn.kingstone.com.tw/book/images/product/20152/2015216841918/2015216841918b.jpg
單一級食物製備技能檢定學術科完全攻略（2021最新版）（附學科測驗卷）,https://www.kingstone.com.tw//basic/2015216833265?zone=book&lid=book_class3_imc&actid=book_class3_imc,冠勁工作室,全華      ,9789865035204,https://cdn.kingstone.com.tw/book/images/product/20152/2015216833265/2015216833265b.jpg
餐旅群專業（二）餐旅服務、飲料與調酒30天輕鬆破關（升科大四技統測適用）（附讀書計畫表）,https://www.kingstone.com.tw//basic/2015216807532?zone=book&lid=book_class3_imc&actid=book_class3_imc,田俞心,三民輔考  ,4711100551212,https://cdn.kingstone.com.tw/book/images/product/20152/2015216807532/2015216807532b.jpg
餐旅群專業（一）餐旅概論30天輕鬆破關（升科大四技統測適用）（共585題，題題詳解）,https://www.kingstone.com.tw//basic/2015216775626?zone=book&lid=book_class3_imc&actid=book_class3_imc,陳佳妏、大心、辛晨,三民輔考  ,4711100550864,https://cdn.kingstone.com.tw/book/images/product/20152/2015216775626/2015216775626b.jpg
男士美髮Ⅱ,https://www.kingstone.com.tw//basic/2015216759930?zone=book&lid=book_class3_imc&actid=book_class3_imc,鍾俊德、李源林、李美娟,全華      ,9789865035198,https://cdn.kingstone.com.tw/book/images/product/20152/2015216759930/2015216759930b.jpg
國際禮儀（第二版）,https://www.kingstone.com.tw//basic/2015216682016?zone=book&lid=book_class3_imc&actid=book_class3_imc,汪芷榆,全華      ,9789865034740,https://cdn.kingstone.com.tw/book/images/product/20152/2015216682016/2015216682016b.jpg
最新蔬果切雕基礎技法提供21部真人影音教學－最新版（第二版）－附MOSME行動學習一點通,https://www.kingstone.com.tw//basic/2015216652965?zone=book&lid=book_class3_imc&actid=book_class3_imc,周振文,台科大    ,9789865231095,https://cdn.kingstone.com.tw/book/images/product/20152/2015216652965/2015216652965b.jpg
餐旅概論總複習 上冊（B61）【6A01：1】,https://www.kingstone.com.tw//basic/2015216599826?zone=book&lid=book_class3_imc&actid=book_class3_imc,劉清華、劉碧雯,宥宸文化  ,9789865934262,https://cdn.kingstone.com.tw/book/images/product/20152/2015216599826/2015216599826b.jpg
餐旅概論總複習 下冊（B71）【6A01：2】,https://www.kingstone.com.tw//basic/2015216599956?zone=book&lid=book_class3_imc&actid=book_class3_imc,劉清華、劉碧雯,宥宸文化  ,9789865934279,https://cdn.kingstone.com.tw/book/images/product/20152/2015216599956/2015216599956b.jpg
