書名,書籍網站,作者,出版社,ISBN,圖片網址
2022電子學（含實習）統測完全攻略：根據108課綱編寫（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216940567?zone=book&lid=book_class3_imd&actid=book_class3_imd,陸冠奇,千華      ,9789865204723,https://cdn.kingstone.com.tw/book/images/product/20152/2015216940567/2015216940567b.jpg
2022電子學（含實習）[歷年試題+模擬考：根據108課綱編寫（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216941069?zone=book&lid=book_class3_imd&actid=book_class3_imd,陸冠奇,千華      ,9789865205003,https://cdn.kingstone.com.tw/book/images/product/20152/2015216941069/2015216941069b.jpg
新電子學（含實習）奪分寶典I（最新版附解析）,https://www.kingstone.com.tw//basic/2015215567413?zone=book&lid=book_class3_imd&actid=book_class3_imd,陳俊、陳以熙、林瑜惠,五南      ,9789571194363,https://cdn.kingstone.com.tw/book/images/product/20152/2015215567413/2015215567413b.jpg
工業機器手臂控制實務,https://www.kingstone.com.tw//basic/2015217013611?zone=book&lid=book_class3_imd&actid=book_class3_imd,陳茂璋、吳煌壬、洪茂松、林麗雲,全華      ,9789868868380,https://cdn.kingstone.com.tw/book/images/product/20152/2015217013611/2015217013611b.jpg
108課綱〔電機與電子群_電資類〕升科大四技_課文版套書：最短時間完成複習，達到事半功倍之成效（升科大/統測/四技二專）,https://www.kingstone.com.tw//basic/2015217002752?zone=book&lid=book_class3_imd&actid=book_class3_imd,名師作者群,千華      ,9789865206239,https://cdn.kingstone.com.tw/book/images/product/20152/2015217002752/2015217002752b.jpg
108課綱〔電機與電子群_電機類〕升科大四技_題庫版套書：根據108課綱，強化電工機械概念，建構基礎概念！（升科大/統測/四技二專）,https://www.kingstone.com.tw//basic/2015216992856?zone=book&lid=book_class3_imd&actid=book_class3_imd,名師作者群,千華      ,9789865205676,https://cdn.kingstone.com.tw/book/images/product/20152/2015216992856/2015216992856b.jpg
升科大四技－機械製造Follow Me（2022最新版）（附解答本）,https://www.kingstone.com.tw//basic/2015216973374?zone=book&lid=book_class3_imd&actid=book_class3_imd,王寶德,科友      ,9789864643349,https://cdn.kingstone.com.tw/book/images/product/20152/2015216973374/2015216973374b.jpg
2022基本電學（含實習）[歷年試題+模擬考]：根據108課綱編寫（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216984783?zone=book&lid=book_class3_imd&actid=book_class3_imd,陸冠奇,千華      ,9789865204983,https://cdn.kingstone.com.tw/book/images/product/20152/2015216984783/2015216984783b.jpg
升科大四技－引擎原理與實習Follow Me（2022最新版）（附解答本）,https://www.kingstone.com.tw//basic/2015216973794?zone=book&lid=book_class3_imd&actid=book_class3_imd,左成基、高繼先,科友      ,9789864643448,https://cdn.kingstone.com.tw/book/images/product/20152/2015216973794/2015216973794b.jpg
升科大四技：電工機械（含實習）總複習講義（2022最新版）,https://www.kingstone.com.tw//basic/2015216944145?zone=book&lid=book_class3_imd&actid=book_class3_imd,汪永文、劉啟欣,科友      ,9789864643554,https://cdn.kingstone.com.tw/book/images/product/20152/2015216944145/2015216944145b.jpg
電工機械升學寶典（新一代） 電機與電子群最新版 附MOSME行動學習一點通：詳解．診斷．評量,https://www.kingstone.com.tw//basic/2015216896963?zone=book&lid=book_class3_imd&actid=book_class3_imd,黃銘、陳文彥,台科大    ,9789865232344,https://cdn.kingstone.com.tw/book/images/product/20152/2015216896963/2015216896963b.jpg
程式設計實習升學寶典電機與電子群（新一代）最新版附MOSME行動學習一點通：詳解．診斷．評量,https://www.kingstone.com.tw//basic/2015216897045?zone=book&lid=book_class3_imd&actid=book_class3_imd,林后鍾、溫一德,台科大    ,9789865232481,https://cdn.kingstone.com.tw/book/images/product/20152/2015216897045/2015216897045b.jpg
2022基本電學（含實習）統測完全攻略：根據108課綱編寫（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216887138?zone=book&lid=book_class3_imd&actid=book_class3_imd,陸冠奇,千華      ,9789865203030,https://cdn.kingstone.com.tw/book/images/product/20152/2015216887138/2015216887138b.jpg
升科大四技：機械力學Follow Me（2022最新版）（附解答本）,https://www.kingstone.com.tw//basic/2015216943773?zone=book&lid=book_class3_imd&actid=book_class3_imd,陳重銘、激力工作室,科友      ,9789864643417,https://cdn.kingstone.com.tw/book/images/product/20152/2015216943773/2015216943773b.jpg
升科大四技：微處理機總複習（2022最新版）,https://www.kingstone.com.tw//basic/2015216889842?zone=book&lid=book_class3_imd&actid=book_class3_imd,陳仕原,科友      ,9789864643356,https://cdn.kingstone.com.tw/book/images/product/20152/2015216889842/2015216889842b.jpg
輸配電學－最新版（第二版）－附MOSME行動學習一點通,https://www.kingstone.com.tw//basic/2015216639645?zone=book&lid=book_class3_imd&actid=book_class3_imd,楊天賜,台科大    ,9789865230784,https://cdn.kingstone.com.tw/book/images/product/20152/2015216639645/2015216639645b.jpg
升科大四技－機械類計算題型All In One（2021最新版）（附解答本）,https://www.kingstone.com.tw//basic/2015216552524?zone=book&lid=book_class3_imd&actid=book_class3_imd,林益瑋、劉 欣、劉 楷,科友      ,9789864642625,https://cdn.kingstone.com.tw/book/images/product/20152/2015216552524/2015216552524b.jpg
升科大四技－電子學總複習講義（全）（2021最新版）（附解答本）,https://www.kingstone.com.tw//basic/2015216597792?zone=book&lid=book_class3_imd&actid=book_class3_imd,楊盛松,科友      ,9789864642595,https://cdn.kingstone.com.tw/book/images/product/20152/2015216597792/2015216597792b.jpg
升科大四技－機械製造大躍進（2021最新版）（附解答本）,https://www.kingstone.com.tw//basic/2015216598584?zone=book&lid=book_class3_imd&actid=book_class3_imd,李 非、劉 欣、陳飛祥,科友      ,9789864642618,https://cdn.kingstone.com.tw/book/images/product/20152/2015216598584/2015216598584b.jpg
