書名,書籍網站,作者,出版社,ISBN,圖片網址
微算機原理與應用－x86/x64微處理器軟體、硬體、界面與系統（第六版）（精裝本）,https://www.kingstone.com.tw//basic/2015215668196?zone=book&lid=book_class3_ime&actid=book_class3_ime,林銘波,全華      ,9789864637713,https://cdn.kingstone.com.tw/book/images/product/20152/2015215668196/2015215668196b.jpg
商用微積分,https://www.kingstone.com.tw//basic/2015215499677?zone=book&lid=book_class3_ime&actid=book_class3_ime,蔡旭琛,全華      ,9789864636563,https://cdn.kingstone.com.tw/book/images/product/20152/2015215499677/2015215499677b.jpg
C++程式設計實習－趣玩Arduino（第二版）（附範例光碟）,https://www.kingstone.com.tw//basic/2015217019743?zone=book&lid=book_class3_ime&actid=book_class3_ime,陳會安,全華      ,9789865038472,https://cdn.kingstone.com.tw/book/images/product/20152/2015217019743/2015217019743b.jpg
輕課程 輕鬆開發手機App點餐系統－使用App Inventor 2結合Google表單－最新版（第二版）,https://www.kingstone.com.tw//basic/2015217005258?zone=book&lid=book_class3_ime&actid=book_class3_ime,李春雄,台科大    ,9789865232870,https://cdn.kingstone.com.tw/book/images/product/20152/2015217005258/2015217005258b.jpg
2022數位科技概論與應用[歷年試題+模擬考：根據108課綱編寫（升科大/四技二專）,https://www.kingstone.com.tw//basic/2015216896673?zone=book&lid=book_class3_ime&actid=book_class3_ime,甄帥、林柏超,千華      ,9789865204891,https://cdn.kingstone.com.tw/book/images/product/20152/2015216896673/2015216896673b.jpg
2022數位科技概論與應用完全攻略：對應素養指標！（一版）（升科大四技二專）,https://www.kingstone.com.tw//basic/2015216943193?zone=book&lid=book_class3_ime&actid=book_class3_ime,李軍毅,千華      ,9789865205027,https://cdn.kingstone.com.tw/book/images/product/20152/2015216943193/2015216943193b.jpg
升科大四技：資電類歷屆試題解析（2022最新版）,https://www.kingstone.com.tw//basic/2015216943933?zone=book&lid=book_class3_ime&actid=book_class3_ime,黃慶璋、何政翰,科友      ,9789864643530,https://cdn.kingstone.com.tw/book/images/product/20152/2015216943933/2015216943933b.jpg
升科大四技：數位科技概論與數位科技應用總複習（附解答本）,https://www.kingstone.com.tw//basic/2015216944435?zone=book&lid=book_class3_ime&actid=book_class3_ime,夢想家資訊工場,全華      ,9789865037185,https://cdn.kingstone.com.tw/book/images/product/20152/2015216944435/2015216944435b.jpg
數位科技應用滿分總複習 111年版,https://www.kingstone.com.tw//basic/2013120589155?zone=book&lid=book_class3_ime&actid=book_class3_ime,旗立資訊研究室,旗立資訊  ,9789863852520,https://cdn.kingstone.com.tw/book/images/product/20131/2013120589155/2013120589155b.jpg
數位科技概論滿分總複習 111年版,https://www.kingstone.com.tw//basic/2013120589285?zone=book&lid=book_class3_ime&actid=book_class3_ime,旗立資訊研究室,旗立資訊  ,9789863852513,https://cdn.kingstone.com.tw/book/images/product/20131/2013120589285/2013120589285b.jpg
數位科技概論&數位科技應用 滿分總複習 111年版,https://www.kingstone.com.tw//basic/2013210002076?zone=book&lid=book_class3_ime&actid=book_class3_ime,旗立資訊研究室,旗立資訊  ,9789863852537,https://cdn.kingstone.com.tw/book/images/product/20132/2013210002076/2013210002076b.jpg
數位科技概論&數位科技應用 滿分總複習 解答本,https://www.kingstone.com.tw//basic/2013210002106?zone=book&lid=book_class3_ime&actid=book_class3_ime,旗立資訊研究室,旗立資訊  ,9789867699220,https://cdn.kingstone.com.tw/book/images/product/20132/2013210002106/2013210002106b.jpg
升科大四技：數位科技概論總複習（附解答本）,https://www.kingstone.com.tw//basic/2015216925083?zone=book&lid=book_class3_ime&actid=book_class3_ime,夢想家資訊工場,全華      ,9789865036164,https://cdn.kingstone.com.tw/book/images/product/20152/2015216925083/2015216925083b.jpg
升科大四技：數位科技應用總複習（附解答本）,https://www.kingstone.com.tw//basic/2015216925403?zone=book&lid=book_class3_ime&actid=book_class3_ime,夢想家資訊工場,全華      ,9789865037178,https://cdn.kingstone.com.tw/book/images/product/20152/2015216925403/2015216925403b.jpg
輕鬆學自然語言處理：電腦這樣理解語言（學AI真簡單系列3）,https://www.kingstone.com.tw//basic/2015216873513?zone=book&lid=book_class3_ime&actid=book_class3_ime,AI4kids,全華      ,9789865036683,https://cdn.kingstone.com.tw/book/images/product/20152/2015216873513/2015216873513b.jpg
輕課程 QuickBLE II智慧居家物聯網DIY應用實作,https://www.kingstone.com.tw//basic/2015216865570?zone=book&lid=book_class3_ime&actid=book_class3_ime,程創科技,台科大    ,9789865232153,https://cdn.kingstone.com.tw/book/images/product/20152/2015216865570/2015216865570b.jpg
探究巨量資料：洞察大數據的奧秘（學AI真簡單系列4）,https://www.kingstone.com.tw//basic/2013120584235?zone=book&lid=book_class3_ime&actid=book_class3_ime,AI4kids,全華      ,9789865035631,https://cdn.kingstone.com.tw/book/images/product/20131/2013120584235/2013120584235b.jpg
動手做深度學習：揭開神經網路的面紗（學AI真簡單系列2）,https://www.kingstone.com.tw//basic/2015216842090?zone=book&lid=book_class3_ime&actid=book_class3_ime,AI4kids,全華      ,9789865035709,https://cdn.kingstone.com.tw/book/images/product/20152/2015216842090/2015216842090b.jpg
玩轉AIoT智慧物聯網：智慧居家動手做（學AI真簡單系列5）,https://www.kingstone.com.tw//basic/2015216841468?zone=book&lid=book_class3_ime&actid=book_class3_ime,AI4kids,全華      ,9789865035648,https://cdn.kingstone.com.tw/book/images/product/20152/2015216841468/2015216841468b.jpg
初探機器學習：從認識AI到Kaggle競賽（學AI真簡單系列1）,https://www.kingstone.com.tw//basic/2015216833555?zone=book&lid=book_class3_ime&actid=book_class3_ime,AI4kids,全華      ,9789865035624,https://cdn.kingstone.com.tw/book/images/product/20152/2015216833555/2015216833555b.jpg
用mBlock玩CyberPi編程學習遊戲機－含遊戲機範例,https://www.kingstone.com.tw//basic/2015216712768?zone=book&lid=book_class3_ime&actid=book_class3_ime,Makeblock,台科大    ,9789865231378,https://cdn.kingstone.com.tw/book/images/product/20152/2015216712768/2015216712768b.jpg
Esports全攻略（I）：電子競技面面觀,https://www.kingstone.com.tw//basic/2015216661110?zone=book&lid=book_class3_ime&actid=book_class3_ime,李珈慧、周奕傑、柯光隆,全華      ,9789865034627,https://cdn.kingstone.com.tw/book/images/product/20152/2015216661110/2015216661110b.jpg
Esports全攻略（II）：電競企劃師養成術,https://www.kingstone.com.tw//basic/2015216661240?zone=book&lid=book_class3_ime&actid=book_class3_ime,李珈慧、周奕傑、柯光隆,全華      ,9789865034634,https://cdn.kingstone.com.tw/book/images/product/20152/2015216661240/2015216661240b.jpg
電腦網路－附MOSME行動學習一點通－最新版（第二版）,https://www.kingstone.com.tw//basic/2015216642928?zone=book&lid=book_class3_ime&actid=book_class3_ime,黃智宏,台科大    ,9789865230838,https://cdn.kingstone.com.tw/book/images/product/20152/2015216642928/2015216642928b.jpg
學AI真簡單（II）：動手做深度學習,https://www.kingstone.com.tw//basic/2015216625440?zone=book&lid=book_class3_ime&actid=book_class3_ime,AI4kids,全華      ,9789865034382,https://cdn.kingstone.com.tw/book/images/product/20152/2015216625440/2015216625440b.jpg
升科大四技－計算機概論總複習世紀首選上冊（2021最新版）（附解答本、學習地圖）,https://www.kingstone.com.tw//basic/2015216634985?zone=book&lid=book_class3_ime&actid=book_class3_ime,夢想家資訊工場,全華      ,9789865033934,https://cdn.kingstone.com.tw/book/images/product/20152/2015216634985/2015216634985b.jpg
升科大四技－計算機概論總複習世紀首選下冊（2021最新版）（附解答本、學習地圖）,https://www.kingstone.com.tw//basic/2015216660878?zone=book&lid=book_class3_ime&actid=book_class3_ime,夢想家資訊工場,全華      ,9789865033941,https://cdn.kingstone.com.tw/book/images/product/20152/2015216660878/2015216660878b.jpg
學AI真簡單（I）：初探機器學習,https://www.kingstone.com.tw//basic/2015216597242?zone=book&lid=book_class3_ime&actid=book_class3_ime,AI4kids,全華      ,9789865034375,https://cdn.kingstone.com.tw/book/images/product/20152/2015216597242/2015216597242b.jpg
計算機概論B滿分總複習（上）－109年版,https://www.kingstone.com.tw//basic/2015216533332?zone=book&lid=book_class3_ime&actid=book_class3_ime,旗立研究室,旗立資訊  ,9789863852308,https://cdn.kingstone.com.tw/book/images/product/20152/2015216533332/2015216533332b.jpg
計算機概論A滿分總複習－109年版,https://www.kingstone.com.tw//basic/2013120552180?zone=book&lid=book_class3_ime&actid=book_class3_ime,旗立研究室,旗立資訊  ,9789863852292,https://cdn.kingstone.com.tw/book/images/product/20131/2013120552180/2013120552180b.jpg
計算機概論B滿分總複習（全）－109年版,https://www.kingstone.com.tw//basic/2013120551428?zone=book&lid=book_class3_ime&actid=book_class3_ime,旗立研究室,旗立資訊  ,9789863852322,https://cdn.kingstone.com.tw/book/images/product/20131/2013120551428/2013120551428b.jpg
計算機概論B滿分總複習（下）－109年版,https://www.kingstone.com.tw//basic/2013120551558?zone=book&lid=book_class3_ime&actid=book_class3_ime,旗立研究室,旗立資訊  ,9789863852315,https://cdn.kingstone.com.tw/book/images/product/20131/2013120551558/2013120551558b.jpg
升科大四技－計算機概論總複習世紀精選（2021最新版）（附解答本、學習地圖）,https://www.kingstone.com.tw//basic/2015216535756?zone=book&lid=book_class3_ime&actid=book_class3_ime,夢想家資訊工場,全華      ,9789865033927,https://cdn.kingstone.com.tw/book/images/product/20152/2015216535756/2015216535756b.jpg
升科大四技－計算機概論總複習世紀A選（2021最新版）（附解答本、學習地圖）,https://www.kingstone.com.tw//basic/2015216535886?zone=book&lid=book_class3_ime&actid=book_class3_ime,夢想家資訊工場,全華      ,9789865033958,https://cdn.kingstone.com.tw/book/images/product/20152/2015216535886/2015216535886b.jpg
輕課程 QuickBLE與感測器創意應用實作,https://www.kingstone.com.tw//basic/2015216502789?zone=book&lid=book_class3_ime&actid=book_class3_ime,朱振新,台科大    ,9789863086277,https://cdn.kingstone.com.tw/book/images/product/20152/2015216502789/2015216502789b.jpg
輕課程 mBot與STEM的程式設計教學：使用mBlock 5 玩mBot,https://www.kingstone.com.tw//basic/2013120547063?zone=book&lid=book_class3_ime&actid=book_class3_ime,黃偉樑,台科大    ,9789864553129,https://cdn.kingstone.com.tw/book/images/product/20131/2013120547063/2013120547063b.jpg
輕課程 用Scratch（mBlock 5）玩Arduino基礎控制含遊戲化教學桌遊－使用iPOE M5離散式實驗模組,https://www.kingstone.com.tw//basic/2015216400764?zone=book&lid=book_class3_ime&actid=book_class3_ime,朱志明,台科大    ,9789864551224,https://cdn.kingstone.com.tw/book/images/product/20152/2015216400764/2015216400764b.jpg
