書名,書籍網站,作者,出版社,ISBN,圖片網址
基礎物理跨越講義2017年版（含解析本）工程與管理類－升科大四技（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015214996498?zone=book&lid=book_class3_imz&actid=book_class3_imz,蔡耀智,台科大    ,9789864551675,https://cdn.kingstone.com.tw/book/images/product/20152/2015214996498/2015214996498b.jpg
幼兒教保概論與實務升學寶典－適用至2021年統測 （家政群幼保類）升科大四技（附贈MOSME行動學習一,https://www.kingstone.com.tw//basic/2015216255517?zone=book&lid=book_class3_imz&actid=book_class3_imz,蘇淑慧 韓京倫 張秀娟,台科大    ,9789864559183,https://cdn.kingstone.com.tw/book/images/product/20152/2015216255517/2015216255517b.jpg
升科大四技設計群專一考前急救包（2020最新版）,https://www.kingstone.com.tw//basic/2015216117082?zone=book&lid=book_class3_imz&actid=book_class3_imz,曾清旗,全華      ,9789865031435,https://cdn.kingstone.com.tw/book/images/product/20152/2015216117082/2015216117082b.jpg
App Inventor 2應用程式設計‧含MPP行動應用軟體程式設計專業技術能力國際認證  附多媒體影音教學光碟（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215903587?zone=book&lid=book_class3_imz&actid=book_class3_imz,JYiC認證研究團隊,台科大    ,9789864553877,https://cdn.kingstone.com.tw/book/images/product/20152/2015215903587/2015215903587b.jpg
升科大四技－世紀海選－計概戰鬥學園小將們的得勝歡呼（2019最新版）,https://www.kingstone.com.tw//basic/2015215825834?zone=book&lid=book_class3_imz&actid=book_class3_imz,阿波羅,全華      ,9789864638925,https://cdn.kingstone.com.tw/book/images/product/20152/2015215825834/2015215825834b.jpg
輕課程 程小奔Codey Rocky的mBlock 5積木程式趣體驗－融合STEAM與人工智慧AI及物聯網IoT,https://www.kingstone.com.tw//basic/2015215813763?zone=book&lid=book_class3_imz&actid=book_class3_imz,王麗君,台科大    ,9789864557189,https://cdn.kingstone.com.tw/book/images/product/20152/2015215813763/2015215813763b.jpg
丙級門市服務學術科通關寶典－使用微創POS系統－2018年版－附贈OTAS題測系統,https://www.kingstone.com.tw//basic/2015215785145?zone=book&lid=book_class3_imz&actid=book_class3_imz,郭小喬,台科大    ,9789864555901,https://cdn.kingstone.com.tw/book/images/product/20152/2015215785145/2015215785145b.jpg
餐旅概論升學寶典（上）2019年版（緒論、餐飲、旅館篇）餐旅群（附口袋書+MP3）－升科大四技（附贈OT,https://www.kingstone.com.tw//basic/2015215751706?zone=book&lid=book_class3_imz&actid=book_class3_imz,蕭如妙,台科大    ,9789864556700,https://cdn.kingstone.com.tw/book/images/product/20152/2015215751706/2015215751706b.jpg
色彩概論升學寶典2019年版（家政群生活應用類）升科大四技（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215752338?zone=book&lid=book_class3_imz&actid=book_class3_imz,詹升興,台科大    ,9789864556861,https://cdn.kingstone.com.tw/book/images/product/20152/2015215752338/2015215752338b.jpg
基礎生物升學寶典2019年版（農業群.衛生與護理類）升科大四技（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215752468?zone=book&lid=book_class3_imz&actid=book_class3_imz,呂春森、呂宜倩,台科大    ,9789864556922,https://cdn.kingstone.com.tw/book/images/product/20152/2015215752468/2015215752468b.jpg
寓教於樂－知識主題桌上遊戲設計－含118人力銀行桌遊包（圖書+桌遊）,https://www.kingstone.com.tw//basic/2015215752598?zone=book&lid=book_class3_imz&actid=book_class3_imz,侯惠澤 臺灣科大,台科大    ,9789864556991,https://cdn.kingstone.com.tw/book/images/product/20152/2015215752598/2015215752598b.jpg
【統測奪分關鍵】經濟學完全攻略[升科大四技],https://www.kingstone.com.tw//basic/2015215737694?zone=book&lid=book_class3_imz&actid=book_class3_imz,王志成,千華      ,9789864873692,https://cdn.kingstone.com.tw/book/images/product/20152/2015215737694/2015215737694b.jpg
【挑戰高分必買書籍】會計學完全攻略[升科大四技],https://www.kingstone.com.tw//basic/2015215737984?zone=book&lid=book_class3_imz&actid=book_class3_imz,歐欣亞,千華      ,9789864874057,https://cdn.kingstone.com.tw/book/images/product/20152/2015215737984/2015215737984b.jpg
專題製作最佳祕笈－商業與管理群適用－最新精緻版,https://www.kingstone.com.tw//basic/2015215739018?zone=book&lid=book_class3_imz&actid=book_class3_imz,林淑芬,台科大    ,9789864556465,https://cdn.kingstone.com.tw/book/images/product/20152/2015215739018/2015215739018b.jpg
升科大四技－經濟學總複習講義－滿分攻略版（下）（2019最新版）（附解答本）,https://www.kingstone.com.tw//basic/2015215817471?zone=book&lid=book_class3_imz&actid=book_class3_imz,傅斯理,全華      ,9789864638178,https://cdn.kingstone.com.tw/book/images/product/20152/2015215817471/2015215817471b.jpg
造形原理升學寶典2019年版（設計群）升科大四技（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215733566?zone=book&lid=book_class3_imz&actid=book_class3_imz,胡秝羚,台科大    ,9789864557134,https://cdn.kingstone.com.tw/book/images/product/20152/2015215733566/2015215733566b.jpg
色彩原理升學寶典2019年版（設計群）升科大四技（附贈OTAS題測系統）,https://www.kingstone.com.tw//basic/2015215733696?zone=book&lid=book_class3_imz&actid=book_class3_imz,耿立虎,台科大    ,9789864557141,https://cdn.kingstone.com.tw/book/images/product/20152/2015215733696/2015215733696b.jpg
