書名,書籍網站,作者,出版社,ISBN,圖片網址
圖解各國人事制度,https://www.kingstone.com.tw//basic/2015720065732?zone=book&lid=book_class3_iof&actid=book_class3_iof,汪正洋,五南      ,9789865229832,https://cdn.kingstone.com.tw/book/images/product/20157/2015720065732/2015720065732b.jpg
公共政策：現象觀察與實務操作（第二版）,https://www.kingstone.com.tw//basic/2015720063608?zone=book&lid=book_class3_iof&actid=book_class3_iof,羅清俊,揚智文化  ,9789862983492,https://cdn.kingstone.com.tw/book/images/product/20157/2015720063608/2015720063608b.jpg
圖解民法,https://www.kingstone.com.tw//basic/2015840114396?zone=book&lid=book_class3_iof&actid=book_class3_iof,楊智傑,五南      ,9789577638694,https://cdn.kingstone.com.tw/book/images/product/20158/2015840114396/2015840114396b.jpg
圖解行政學,https://www.kingstone.com.tw//basic/2015720063998?zone=book&lid=book_class3_iof&actid=book_class3_iof,汪正洋,五南      ,9789865221942,https://cdn.kingstone.com.tw/book/images/product/20157/2015720063998/2015720063998b.jpg
刑法分則新論（17版）,https://www.kingstone.com.tw//basic/2015217000468?zone=book&lid=book_class3_iof&actid=book_class3_iof,盧映潔,新學林    ,9789865261061,https://cdn.kingstone.com.tw/book/images/product/20152/2015217000468/2015217000468b.jpg
現代公司法（16版）,https://www.kingstone.com.tw//basic/2015217012669?zone=book&lid=book_class3_iof&actid=book_class3_iof,劉連煜,新學林    ,9789574392025,https://cdn.kingstone.com.tw/book/images/product/20152/2015217012669/2015217012669b.jpg
監獄行刑法新論－大學用書（一品）,https://www.kingstone.com.tw//basic/2015217010085?zone=book&lid=book_class3_iof&actid=book_class3_iof,賴擁連,一品      ,9789869940085,https://cdn.kingstone.com.tw/book/images/product/20152/2015217010085/2015217010085b.jpg
刑事訴訟法（6版）,https://www.kingstone.com.tw//basic/2015217012799?zone=book&lid=book_class3_iof&actid=book_class3_iof,黃朝義,新學林    ,9789865261078,https://cdn.kingstone.com.tw/book/images/product/20152/2015217012799/2015217012799b.jpg
法學緒論講義,https://www.kingstone.com.tw//basic/2015216990982?zone=book&lid=book_class3_iof&actid=book_class3_iof,王紀軒,新學林    ,9789865260927,https://cdn.kingstone.com.tw/book/images/product/20152/2015216990982/2015216990982b.jpg
民法物權（11版）,https://www.kingstone.com.tw//basic/2015216958760?zone=book&lid=book_class3_iof&actid=book_class3_iof,鄭冠宇,新學林    ,9789865260835,https://cdn.kingstone.com.tw/book/images/product/20152/2015216958760/2015216958760b.jpg
勞基法攻略：工資傳（2版）,https://www.kingstone.com.tw//basic/2015216955844?zone=book&lid=book_class3_iof&actid=book_class3_iof,黃柏欽,新學林    ,9789865260736,https://cdn.kingstone.com.tw/book/images/product/20152/2015216955844/2015216955844b.jpg
