書名,書籍網站,作者,出版社,ISBN,圖片網址
圖解成本與管理會計,https://www.kingstone.com.tw//basic/2014950130319?zone=book&lid=book_class3_iog&actid=book_class3_iog,馬嘉應,五南      ,9789865225353,https://cdn.kingstone.com.tw/book/images/product/20149/2014950130319/2014950130319b.jpg
超圖解審計學－用圖解重構概念，秒懂重點精華,https://www.kingstone.com.tw//basic/2014950126404?zone=book&lid=book_class3_iog&actid=book_class3_iog,馬嘉應,五南      ,9789577637024,https://cdn.kingstone.com.tw/book/images/product/20149/2014950126404/2014950126404b.jpg
量化研究與統計分析 ： SPSS與R資料分析範例解析,https://www.kingstone.com.tw//basic/2015120012817?zone=book&lid=book_class3_iog&actid=book_class3_iog,邱皓政,五南      ,9789577633408,https://cdn.kingstone.com.tw/book/images/product/20151/2015120012817/2015120012817b.jpg
薪酬管理（第二版）,https://www.kingstone.com.tw//basic/2014941225963?zone=book&lid=book_class3_iog&actid=book_class3_iog,丁志達編著,揚智文化  ,9789862980897,https://cdn.kingstone.com.tw/book/images/product/20149/2014941225963/2014941225963b.jpg
國際海洋法論：海域劃界與公海漁業,https://www.kingstone.com.tw//basic/2015790013039?zone=book&lid=book_class3_iog&actid=book_class3_iog,廖文章,揚智文化  ,9789578188730,https://cdn.kingstone.com.tw/book/images/product/20157/2015790013039/2015790013039b.jpg
論文統計分析實務：SPSS與AMOS的運用,https://www.kingstone.com.tw//basic/2015120014231?zone=book&lid=book_class3_iog&actid=book_class3_iog,陳寬裕,五南      ,9789865227975,https://cdn.kingstone.com.tw/book/images/product/20151/2015120014231/2015120014231b.jpg
愛上統計學：使用R語言,https://www.kingstone.com.tw//basic/2015100035171?zone=book&lid=book_class3_iog&actid=book_class3_iog,尼爾．J．薩爾金德,五南      ,9789865224530,https://cdn.kingstone.com.tw/book/images/product/20151/2015100035171/2015100035171b.jpg
應用統計學（附範例光碟）,https://www.kingstone.com.tw//basic/2015215441706?zone=book&lid=book_class3_iog&actid=book_class3_iog,邱垂昌,全華      ,9789864635795,https://cdn.kingstone.com.tw/book/images/product/20152/2015215441706/2015215441706b.jpg
圖解作業研究,https://www.kingstone.com.tw//basic/2014941126734?zone=book&lid=book_class3_iog&actid=book_class3_iog,趙元和,五南      ,9789571164700,https://cdn.kingstone.com.tw/book/images/product/20149/2014941126734/2014941126734b.jpg
期貨百科,https://www.kingstone.com.tw//basic/2015630366851?zone=book&lid=book_class3_iog&actid=book_class3_iog,永豐期貨,宏典文化  ,9789867015235,https://cdn.kingstone.com.tw/book/images/product/20156/2015630366851/2015630366851b.jpg
房地產理論與實務,https://www.kingstone.com.tw//basic/2015540105649?zone=book&lid=book_class3_iog&actid=book_class3_iog,吳家德,五南      ,9789865220365,https://cdn.kingstone.com.tw/book/images/product/20155/2015540105649/2015540105649b.jpg
股票期權：賺錢達人速成班,https://www.kingstone.com.tw//basic/2015630395660?zone=book&lid=book_class3_iog&actid=book_class3_iog,李寶華,宏典文化  ,9789867015532,https://cdn.kingstone.com.tw/book/images/product/20156/2015630395660/2015630395660b.jpg
多目標決策,https://www.kingstone.com.tw//basic/2015500056073?zone=book&lid=book_class3_iog&actid=book_class3_iog,許志義,五南      ,9789571107721,https://cdn.kingstone.com.tw/book/images/product/20155/2015500056073/2015500056073b.jpg
金融科技實務與應用：360度顧客視圖+場景金融,https://www.kingstone.com.tw//basic/2014713621993?zone=book&lid=book_class3_iog&actid=book_class3_iog,劉文良,碁峰資訊  ,9789865028800,https://cdn.kingstone.com.tw/book/images/product/20147/2014713621993/2014713621993b.jpg
總體經濟學：理論與實務,https://www.kingstone.com.tw//basic/2015500181775?zone=book&lid=book_class3_iog&actid=book_class3_iog,楊德源,新文京    ,9789864307470,https://cdn.kingstone.com.tw/book/images/product/20155/2015500181775/2015500181775b.jpg
數位創新：商業模式經濟學,https://www.kingstone.com.tw//basic/2014941720888?zone=book&lid=book_class3_iog&actid=book_class3_iog,何宗武,五南      ,9789865227494,https://cdn.kingstone.com.tw/book/images/product/20149/2014941720888/2014941720888b.jpg
Meta分析實作：使用Excel與CMA程式,https://www.kingstone.com.tw//basic/2015010013757?zone=book&lid=book_class3_iog&actid=book_class3_iog,張紹勳,五南      ,9789865226831,https://cdn.kingstone.com.tw/book/images/product/20150/2015010013757/2015010013757b.jpg
基礎經濟學,https://www.kingstone.com.tw//basic/2015216974166?zone=book&lid=book_class3_iog&actid=book_class3_iog,戴錦周、李見發、邱泰穎,全華      ,9789865037208,https://cdn.kingstone.com.tw/book/images/product/20152/2015216974166/2015216974166b.jpg
R語言：量表編製、統計分析與試題反應理論,https://www.kingstone.com.tw//basic/2013120592858?zone=book&lid=book_class3_iog&actid=book_class3_iog,陳新豐,五南      ,9789865227982,https://cdn.kingstone.com.tw/book/images/product/20131/2013120592858/2013120592858b.jpg
不動產投資（第三版）,https://www.kingstone.com.tw//basic/2015540109067?zone=book&lid=book_class3_iog&actid=book_class3_iog,陳淑美、黃名義,新文京    ,9789864307197,https://cdn.kingstone.com.tw/book/images/product/20155/2015540109067/2015540109067b.jpg
初級會計學（第六版）,https://www.kingstone.com.tw//basic/2015216900189?zone=book&lid=book_class3_iog&actid=book_class3_iog,謝永明、彭雅惠、王偉權、王麗幸,全華      ,9789865037116,https://cdn.kingstone.com.tw/book/images/product/20152/2015216900189/2015216900189b.jpg
圖解多變量分析,https://www.kingstone.com.tw//basic/2015110012049?zone=book&lid=book_class3_iog&actid=book_class3_iog,陳耀茂,五南      ,9789865224714,https://cdn.kingstone.com.tw/book/images/product/20151/2015110012049/2015110012049b.jpg
新焦點經濟學總複習（上） （新一代 ）最新版 附MOSME行動學習一點通：詳解．診斷．評量,https://www.kingstone.com.tw//basic/2015216883710?zone=book&lid=book_class3_iog&actid=book_class3_iog,林虹妙,台科大    ,9789860644029,https://cdn.kingstone.com.tw/book/images/product/20152/2015216883710/2015216883710b.jpg
數位金融與金融科技（第三版）,https://www.kingstone.com.tw//basic/2015216925793?zone=book&lid=book_class3_iog&actid=book_class3_iog,李顯儀,全華      ,9789865037529,https://cdn.kingstone.com.tw/book/images/product/20152/2015216925793/2015216925793b.jpg
金融科技,https://www.kingstone.com.tw//basic/2015610107573?zone=book&lid=book_class3_iog&actid=book_class3_iog,陳若暉,五南      ,9789865225506,https://cdn.kingstone.com.tw/book/images/product/20156/2015610107573/2015610107573b.jpg
國際金融與匯兌,https://www.kingstone.com.tw//basic/2015610107603?zone=book&lid=book_class3_iog&actid=book_class3_iog,張錦源,五南      ,9789865225988,https://cdn.kingstone.com.tw/book/images/product/20156/2015610107603/2015610107603b.jpg
保險學原理－精華版,https://www.kingstone.com.tw//basic/2015630689424?zone=book&lid=book_class3_iog&actid=book_class3_iog,鄭鎮樑,五南      ,9789865224769,https://cdn.kingstone.com.tw/book/images/product/20156/2015630689424/2015630689424b.jpg
入門結構方程模式：Amos應用,https://www.kingstone.com.tw//basic/2015120014071?zone=book&lid=book_class3_iog&actid=book_class3_iog,陳耀茂,五南      ,9789865223656,https://cdn.kingstone.com.tw/book/images/product/20151/2015120014071/2015120014071b.jpg
財務管理：理論與應用（第四版）,https://www.kingstone.com.tw//basic/2014941705564?zone=book&lid=book_class3_iog&actid=book_class3_iog,曹淑琳,新文京    ,9789864306862,https://cdn.kingstone.com.tw/book/images/product/20149/2014941705564/2014941705564b.jpg
圖解品管統計方法,https://www.kingstone.com.tw//basic/2014941699894?zone=book&lid=book_class3_iog&actid=book_class3_iog,陳耀茂,五南      ,9789865223748,https://cdn.kingstone.com.tw/book/images/product/20149/2014941699894/2014941699894b.jpg
會計學：基礎篇（第四版）,https://www.kingstone.com.tw//basic/2015216759510?zone=book&lid=book_class3_iog&actid=book_class3_iog,鄭凱文、陳昭靜,全華      ,9789865032043,https://cdn.kingstone.com.tw/book/images/product/20152/2015216759510/2015216759510b.jpg
超圖解財政學,https://www.kingstone.com.tw//basic/2015600027898?zone=book&lid=book_class3_iog&actid=book_class3_iog,王有康、童中儀、張力、何為民,五南      ,9789865221751,https://cdn.kingstone.com.tw/book/images/product/20156/2015600027898/2015600027898b.jpg
統計學（第五版）,https://www.kingstone.com.tw//basic/2015216737082?zone=book&lid=book_class3_iog&actid=book_class3_iog,劉明德、陳哲炯、林弘文,全華      ,9789865034719,https://cdn.kingstone.com.tw/book/images/product/20152/2015216737082/2015216737082b.jpg
醫護統計與：分析方法與應用,https://www.kingstone.com.tw//basic/2015120013999?zone=book&lid=book_class3_iog&actid=book_class3_iog,楊秋月,五南      ,9789571197951,https://cdn.kingstone.com.tw/book/images/product/20151/2015120013999/2015120013999b.jpg
統計學（第二版）,https://www.kingstone.com.tw//basic/2015216736900?zone=book&lid=book_class3_iog&actid=book_class3_iog,傅懷慧,全華      ,9789865034702,https://cdn.kingstone.com.tw/book/images/product/20152/2015216736900/2015216736900b.jpg
統計學：使用Python語言,https://www.kingstone.com.tw//basic/2015100034679?zone=book&lid=book_class3_iog&actid=book_class3_iog,林進益,五南      ,9789865222666,https://cdn.kingstone.com.tw/book/images/product/20151/2015100034679/2015100034679b.jpg
金融法析論,https://www.kingstone.com.tw//basic/2015610105449?zone=book&lid=book_class3_iog&actid=book_class3_iog,吳嘉生,五南      ,9789865221652,https://cdn.kingstone.com.tw/book/images/product/20156/2015610105449/2015610105449b.jpg
當代亞洲民族問題,https://www.kingstone.com.tw//basic/2015710084866?zone=book&lid=book_class3_iog&actid=book_class3_iog,包修平,五南      ,9789865222246,https://cdn.kingstone.com.tw/book/images/product/20157/2015710084866/2015710084866b.jpg
R統計軟體與多變量分析,https://www.kingstone.com.tw//basic/2015120013609?zone=book&lid=book_class3_iog&actid=book_class3_iog,陳正昌,五南      ,9789865221430,https://cdn.kingstone.com.tw/book/images/product/20151/2015120013609/2015120013609b.jpg
