書名,書籍網站,作者,出版社,ISBN,圖片網址
企業管理：實務個案分析,https://www.kingstone.com.tw//basic/2014941639562?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,戴國良,五南      ,9789577634108,https://cdn.kingstone.com.tw/book/images/product/20149/2014941639562/2014941639562b.jpg
圖解國貿實務,https://www.kingstone.com.tw//basic/2015580081088?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,李淑茹,五南      ,9789865221713,https://cdn.kingstone.com.tw/book/images/product/20155/2015580081088/2015580081088b.jpg
圖解職業安全衛生ISO 45001：2018實務,https://www.kingstone.com.tw//basic/2014941717635?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,林澤宏、孫政豊,五南      ,9789865227289,https://cdn.kingstone.com.tw/book/images/product/20149/2014941717635/2014941717635b.jpg
文化創意：產業、就業與創業,https://www.kingstone.com.tw//basic/2015216925663?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,張耀文、李秉儒、張智琦、張榕茜,全華      ,9789865037468,https://cdn.kingstone.com.tw/book/images/product/20152/2015216925663/2015216925663b.jpg
圖解管理學,https://www.kingstone.com.tw//basic/2014941703690?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,戴國良,五南      ,9789865223694,https://cdn.kingstone.com.tw/book/images/product/20149/2014941703690/2014941703690b.jpg
圖解自費醫療品牌學,https://www.kingstone.com.tw//basic/2014190074084?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,藍新堯,五南      ,9789865222284,https://cdn.kingstone.com.tw/book/images/product/20141/2014190074084/2014190074084b.jpg
生產與作業管理（第二版）,https://www.kingstone.com.tw//basic/2014941675812?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,黃河清,新文京    ,9789864306374,https://cdn.kingstone.com.tw/book/images/product/20149/2014941675812/2014941675812b.jpg
引導反思的第一本書,https://www.kingstone.com.tw//basic/2015215891655?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,吳兆田,五南      ,9789571199344,https://cdn.kingstone.com.tw/book/images/product/20152/2015215891655/2015215891655b.jpg
管理（合冊軟精裝版）,https://www.kingstone.com.tw//basic/2014941556579?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,毛治國,國立交通大,9789869622028,https://cdn.kingstone.com.tw/book/images/product/20149/2014941556579/2014941556579b.jpg
現代安全管理（第五版）,https://www.kingstone.com.tw//basic/2015550035387?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,蔡永銘,揚智文化  ,9789862981764,https://cdn.kingstone.com.tw/book/images/product/20155/2015550035387/2015550035387b.jpg
高科技產業分析,https://www.kingstone.com.tw//basic/2014840034734?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,朱延智,五南      ,9789571177953,https://cdn.kingstone.com.tw/book/images/product/20148/2014840034734/2014840034734b.jpg
管理學(08173),https://www.kingstone.com.tw//basic/2015214537554?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,牛涵錚、姜永淞,全華      ,9789572194348,https://cdn.kingstone.com.tw/book/images/product/20152/2015214537554/2015214537554b.jpg
經營策略企劃案撰寫：理論與實務,https://www.kingstone.com.tw//basic/2014941728884?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,戴國良,五南      ,9786263170421,https://cdn.kingstone.com.tw/book/images/product/20149/2014941728884/2014941728884b.jpg
策略管理：實務個案分析,https://www.kingstone.com.tw//basic/2014941728914?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,戴國良,五南      ,9789865227739,https://cdn.kingstone.com.tw/book/images/product/20149/2014941728914/2014941728914b.jpg
圖解服務業管理,https://www.kingstone.com.tw//basic/2014890050630?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,陳耀茂,五南      ,9789865229009,https://cdn.kingstone.com.tw/book/images/product/20148/2014890050630/2014890050630b.jpg
智慧新零售：資料智慧時代的零售業變革,https://www.kingstone.com.tw//basic/2015216983601?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,馬慧民、高歌,台科大    ,9789865232504,https://cdn.kingstone.com.tw/book/images/product/20152/2015216983601/2015216983601b.jpg
工業過程執行狀態智慧監控：資料驅動方法,https://www.kingstone.com.tw//basic/2014941718847?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,趙春暉,千華駐    ,9789575927257,https://cdn.kingstone.com.tw/book/images/product/20149/2014941718847/2014941718847b.jpg
健康產業創意與創新（第二版）,https://www.kingstone.com.tw//basic/2014100133573?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,林為森、羅萱,新文京    ,9789864307258,https://cdn.kingstone.com.tw/book/images/product/20141/2014100133573/2014100133573b.jpg
供應鏈管理：觀念運作與實務（第三版）,https://www.kingstone.com.tw//basic/2015216900639?zone=book&lid=book_class3_ioh&actid=book_class3_ioh,王翊和,全華      ,9789865037673,https://cdn.kingstone.com.tw/book/images/product/20152/2015216900639/2015216900639b.jpg
