書名,書籍網站,作者,出版社,ISBN,圖片網址
環境與生態（第四版）,https://www.kingstone.com.tw//basic/2014450052876?zone=book&lid=book_class3_iop&actid=book_class3_iop,陳偉、石濤,新文京    ,9789864307166,https://cdn.kingstone.com.tw/book/images/product/20144/2014450052876/2014450052876b.jpg
海洋污染防制,https://www.kingstone.com.tw//basic/2014450047469?zone=book&lid=book_class3_iop&actid=book_class3_iop,華健,五南      ,9789577638601,https://cdn.kingstone.com.tw/book/images/product/20144/2014450047469/2014450047469b.jpg
環境氣象學,https://www.kingstone.com.tw//basic/2013280023568?zone=book&lid=book_class3_iop&actid=book_class3_iop,陳康興,五南      ,9789577638595,https://cdn.kingstone.com.tw/book/images/product/20132/2013280023568/2013280023568b.jpg
新編環境毒物學,https://www.kingstone.com.tw//basic/2014450047339?zone=book&lid=book_class3_iop&actid=book_class3_iop,陳健民、黃大駿,新文京    ,9789864306039,https://cdn.kingstone.com.tw/book/images/product/20144/2014450047339/2014450047339b.jpg
環境教育：理論、實務與案例,https://www.kingstone.com.tw//basic/2014450046677?zone=book&lid=book_class3_iop&actid=book_class3_iop,方偉達,五南      ,9789577635587,https://cdn.kingstone.com.tw/book/images/product/20144/2014450046677/2014450046677b.jpg
圖解生態學,https://www.kingstone.com.tw//basic/2013670053717?zone=book&lid=book_class3_iop&actid=book_class3_iop,顧祐瑞,五南      ,9789577633231,https://cdn.kingstone.com.tw/book/images/product/20136/2013670053717/2013670053717b.jpg
The Next Big Ones   （英文版）,https://www.kingstone.com.tw//basic/2015216019355?zone=book&lid=book_class3_iop&actid=book_class3_iop,Yi-Ben Tsai,遠流      ,9789865659240,https://cdn.kingstone.com.tw/book/images/product/20152/2015216019355/2015216019355b.jpg
生態危機與文學研究,https://www.kingstone.com.tw//basic/2018100098924?zone=book&lid=book_class3_iop&actid=book_class3_iop,蔡振興,書林      ,9789574458257,https://cdn.kingstone.com.tw/book/images/product/20181/2018100098924/2018100098924b.jpg
環境微生物及生物處理,https://www.kingstone.com.tw//basic/2013690014767?zone=book&lid=book_class3_iop&actid=book_class3_iop,陳宏銘,五南      ,9789571198965,https://cdn.kingstone.com.tw/book/images/product/20136/2013690014767/2013690014767b.jpg
廢棄資源管理重點整理,https://www.kingstone.com.tw//basic/2014450043461?zone=book&lid=book_class3_iop&actid=book_class3_iop,陳映竹,五南      ,9789571199016,https://cdn.kingstone.com.tw/book/images/product/20144/2014450043461/2014450043461b.jpg
新編環境與生活（第二版）,https://www.kingstone.com.tw//basic/2014450043911?zone=book&lid=book_class3_iop&actid=book_class3_iop,陳健民、黃大駿、李得元,新文京    ,9789864304509,https://cdn.kingstone.com.tw/book/images/product/20144/2014450043911/2014450043911b.jpg
2017年臺灣大氣腐蝕劣化因子調查研究資料年報,https://www.kingstone.com.tw//basic/2014450042969?zone=book&lid=book_class3_iop&actid=book_class3_iop,邱永芳，朱金元，羅建明等,運輸研究所,9789860561166,https://cdn.kingstone.com.tw/book/images/product/20144/2014450042969/2014450042969b.jpg
