書名,書籍網站,作者,出版社,ISBN,圖片網址
藝術管理與文化政策導論,https://www.kingstone.com.tw//basic/2019010048658?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,殷寶寧  (主編),巨流圖書  ,9789577326164,https://cdn.kingstone.com.tw/book/images/product/20190/2019010048658/2019010048658b.jpg
現代色彩學－色彩原理、設計應用、數位科技（第四版）,https://www.kingstone.com.tw//basic/2015216393622?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,戴孟宗,全華      ,9789865033002,https://cdn.kingstone.com.tw/book/images/product/20152/2015216393622/2015216393622b.jpg
好萊塢大導演教你拍電影：薛尼盧梅50年45部電影的實戰筆記,https://www.kingstone.com.tw//basic/2019870146785?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,薛尼．盧梅,五南      ,9789865229283,https://cdn.kingstone.com.tw/book/images/product/20198/2019870146785/2019870146785b.jpg
神童之父提琴教學之根本探索,https://www.kingstone.com.tw//basic/2019160075047?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,李奧帕德．莫札特,五南      ,9789865225704,https://cdn.kingstone.com.tw/book/images/product/20191/2019160075047/2019160075047b.jpg
表現技法,https://www.kingstone.com.tw//basic/2015216974586?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,黃昱幃,全華      ,9789865037918,https://cdn.kingstone.com.tw/book/images/product/20152/2015216974586/2015216974586b.jpg
音樂欣賞（第三版）,https://www.kingstone.com.tw//basic/2019100179668?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,宮芳辰,新文京    ,9789864307180,https://cdn.kingstone.com.tw/book/images/product/20191/2019100179668/2019100179668b.jpg
舞蹈審美思考,https://www.kingstone.com.tw//basic/2019760035373?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,陳蒨蒨,五南      ,9789865225261,https://cdn.kingstone.com.tw/book/images/product/20197/2019760035373/2019760035373b.jpg
移地花競艷：臺灣亂彈戲的敘事結構與地方特色,https://www.kingstone.com.tw//basic/2015216658547?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,簡秀珍,遠流      ,9789869826488,https://cdn.kingstone.com.tw/book/images/product/20152/2015216658547/2015216658547b.jpg
前進國家音樂廳！臺九線音樂故事,https://www.kingstone.com.tw//basic/2015216658677?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,陳俊斌,遠流      ,9789869826495,https://cdn.kingstone.com.tw/book/images/product/20152/2015216658677/2015216658677b.jpg
兼容美學與因樂評論：哲學路徑、批評方法與實踐,https://www.kingstone.com.tw//basic/2019100175080?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,曾毓芬,五南      ,9789865221744,https://cdn.kingstone.com.tw/book/images/product/20191/2019100175080/2019100175080b.jpg
美學與藝術生活（第二版）,https://www.kingstone.com.tw//basic/2019000134316?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,茍彩煥、張翡月、廖婉君,新文京    ,9789864306541,https://cdn.kingstone.com.tw/book/images/product/20190/2019000134316/2019000134316b.jpg
三身穿透本質出：自殘、裸體與慈悲,https://www.kingstone.com.tw//basic/2019800024220?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,鍾明德,遠流      ,9789869907828,https://cdn.kingstone.com.tw/book/images/product/20198/2019800024220/2019800024220b.jpg
西方美學關鍵思維,https://www.kingstone.com.tw//basic/2019090124471?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,曾長生,五南      ,9789577634306,https://cdn.kingstone.com.tw/book/images/product/20190/2019090124471/2019090124471b.jpg
舞蹈與美學賞析：舞蹈通識、體驗與實踐,https://www.kingstone.com.tw//basic/2015250065646?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,張瓊方,揚智文化  ,9789862983409,https://cdn.kingstone.com.tw/book/images/product/20152/2015250065646/2015250065646b.jpg
編劇與剪輯：電影的兩次創作,https://www.kingstone.com.tw//basic/2018120187882?zone=book&lid=book_class3_ioq&actid=book_class3_ioq,張英,五南      ,9789577637031,https://cdn.kingstone.com.tw/book/images/product/20181/2018120187882/2018120187882b.jpg
