書名,書籍網站,作者,出版社,ISBN,圖片網址
臺灣文學獎得獎作品集. 2016,https://www.kingstone.com.tw//basic/2018630060491?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,陳耀昌等作,臺灣文學館,9789860511369,https://cdn.kingstone.com.tw/book/images/product/20186/2018630060491/2018630060491b.jpg
無論如何總得找條活路才行的：臺灣人權暗黑旅誌,https://www.kingstone.com.tw//basic/2017330274221?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,國家人權博物館,國家人權  ,9789865321499,https://cdn.kingstone.com.tw/book/images/product/20173/2017330274221/2017330274221b.jpg
蔣中正先生年譜長編 七至十二冊（精裝）,https://www.kingstone.com.tw//basic/2010050056498?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,呂芳上 主編,中正管理處,9781010402619,https://cdn.kingstone.com.tw/book/images/product/20100/2010050056498/2010050056498b.jpg
好書指南：少年讀物/兒童讀物‧2014,https://www.kingstone.com.tw//basic/2010120018364?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,廖美宏．林佳穎．曾湘惠．高佳稜,北市圖書館,9789860446166,https://cdn.kingstone.com.tw/book/images/product/20101/2010120018364/2010120018364b.jpg
蔣中正先生年譜長編 一至六冊（精裝）,https://www.kingstone.com.tw//basic/2010050056368?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,呂芳上 主編,中正管理處,9781010302681,https://cdn.kingstone.com.tw/book/images/product/20100/2010050056368/2010050056368b.jpg
公共圖書館大未來,https://www.kingstone.com.tw//basic/2010260000557?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,劉採等編輯,臺中圖書館,9789860440041,https://cdn.kingstone.com.tw/book/images/product/20102/2010260000557/2010260000557b.jpg
重見/建/現漢本：發掘階段成果特展展覽專輯,https://www.kingstone.com.tw//basic/2017980006388?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,朱正宜,蘭陽博物館,9789860534986,https://cdn.kingstone.com.tw/book/images/product/20179/2017980006388/2017980006388b.jpg
探訪淡水廟宇建築,https://www.kingstone.com.tw//basic/2015370002828?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,新北市立淡水古蹟博物館,新北市立淡,9789860507881,https://cdn.kingstone.com.tw/book/images/product/20153/2015370002828/2015370002828b.jpg
荷蘭聯合東印度公司臺灣長官致巴達維亞總督書信集Ⅲ（1629－1636）[1][軟精裝],https://www.kingstone.com.tw//basic/2027330156243?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,江樹生，翁佳音，陳瑢真，Paula,臺灣文獻館,9789860465204,https://cdn.kingstone.com.tw/book/images/product/20273/2027330156243/2027330156243b.jpg
荷蘭聯合東印度公司臺灣長官致巴達維亞總督書信集Ⅳ（1629－1636）[2][軟精裝],https://www.kingstone.com.tw//basic/2027330156373?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,江樹生，翁佳音，陳瑢真，Paula,臺灣文獻館,9789860465211,https://cdn.kingstone.com.tw/book/images/product/20273/2027330156373/2027330156373b.jpg
鏤月裁雲：陳春明竹木雕刻藝術展,https://www.kingstone.com.tw//basic/2015360049802?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,陳春明,歷史博物館,9789860334395,https://cdn.kingstone.com.tw/book/images/product/20153/2015360049802/2015360049802b.jpg
台灣全志卷九社會志宗教與社會篇,https://www.kingstone.com.tw//basic/2016280043567?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,臺灣文獻館,臺灣文獻館,9789860067644,https://cdn.kingstone.com.tw/book/images/product/20162/2016280043567/2016280043567b.jpg
風土溪望：木博館的地方共學紀事,https://www.kingstone.com.tw//basic/2017330283896?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,見域工作室,大溪木藝博,9789865463809,https://cdn.kingstone.com.tw/book/images/product/20173/2017330283896/2017330283896b.jpg
麗水風華：張克齊七十回顧展（精裝）,https://www.kingstone.com.tw//basic/2029450072908?zone=book&lid=book_class3_iqf&actid=book_class3_iqf,楊同慧、楊得聖、汪麗清,國父紀念館,9789865323257,https://cdn.kingstone.com.tw/book/images/product/20294/2029450072908/2029450072908b.jpg
