書名,書籍網站,作者,出版社,ISBN,圖片網址
我會說華語2[2版],https://www.kingstone.com.tw//basic/2015216462380?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,曾金金、林秋芳、蔡蓉芝、盧廣誠,僑委會    ,9789865433482,https://cdn.kingstone.com.tw/book/images/product/20152/2015216462380/2015216462380b.jpg
學華語向前走第二冊作業本（108/04四版，A、B本不分售）,https://www.kingstone.com.tw//basic/2018020564202?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,僑務委員會,僑委會    ,9399000014867,https://cdn.kingstone.com.tw/book/images/product/20180/2018020564202/2018020564202b.jpg
學華語向前走第四冊作業本（108/04三版，A、B本不分售）,https://www.kingstone.com.tw//basic/2018020564462?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,僑務委員會,僑委會    ,9399000014881,https://cdn.kingstone.com.tw/book/images/product/20180/2018020564462/2018020564462b.jpg
學華語向前走第四冊課本（108/04三版，A、B本不分售）,https://www.kingstone.com.tw//basic/2018020563120?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,孫懿芬,僑委會    ,9789860580006,https://cdn.kingstone.com.tw/book/images/product/20180/2018020563120/2018020563120b.jpg
學華語開步走－注音符號ㄅㄆㄇ習作,https://www.kingstone.com.tw//basic/2018020380086?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,僑務委員會,勞動重建處,9310099023004,https://cdn.kingstone.com.tw/book/images/product/20180/2018020380086/2018020380086b.jpg
學華語向前走入門冊作業本（注音符號版）（A、B不分售）,https://www.kingstone.com.tw//basic/2018020578537?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,僑務委員會,僑委會    ,9399000023760,https://cdn.kingstone.com.tw/book/images/product/20180/2018020578537/2018020578537b.jpg
學華語向前走入門冊課本（注音符號版）（A、B不分售）,https://www.kingstone.com.tw//basic/2018020578667?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,孫懿芬,僑委會    ,9789865457105,https://cdn.kingstone.com.tw/book/images/product/20180/2018020578667/2018020578667b.jpg
聽，鯨在唱歌：素養導向國語文教學設計實務,https://www.kingstone.com.tw//basic/2015233141763?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,許育健,五南      ,9789865220556,https://cdn.kingstone.com.tw/book/images/product/20152/2015233141763/2015233141763b.jpg
教育概論：教育理念與實務初探,https://www.kingstone.com.tw//basic/2015200188517?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,吳明隆,五南      ,9789577633538,https://cdn.kingstone.com.tw/book/images/product/20152/2015200188517/2015200188517b.jpg
學華語向前走第三冊作業本（108/04三版，A、B本不分售）,https://www.kingstone.com.tw//basic/2018020564332?zone=book&lid=book_class3_iqg&actid=book_class3_iqg,僑務委員會,僑委會    ,9399000014874,https://cdn.kingstone.com.tw/book/images/product/20180/2018020564332/2018020564332b.jpg
