書名,書籍網站,作者,出版社,ISBN,圖片網址
科學態度：對抗陰謀論、欺詐，並與偽科學劃清界線的科學素養,https://www.kingstone.com.tw//basic/2013010015221?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,麥金泰爾（Lee McIntyre）,陽明交大  ,9789865470074,https://cdn.kingstone.com.tw/book/images/product/20130/2013010015221/2013010015221b.jpg
從史記到漢書－轉折過程與歷史意義,https://www.kingstone.com.tw//basic/2020120076905?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,呂世浩,臺灣大學  ,9789860219661,https://cdn.kingstone.com.tw/book/images/product/20201/2020120076905/2020120076905b.jpg
大學有機化學實驗（第九版）,https://www.kingstone.com.tw//basic/2013470004346?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,詹益慈、王宗興,台大出版中,9789863504207,https://cdn.kingstone.com.tw/book/images/product/20134/2013470004346/2013470004346b.jpg
現代醫學在台灣（台灣史論叢 醫學公衛篇）,https://www.kingstone.com.tw//basic/2014100130817?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,范燕秋、呂佩穎、賴淑芳、顧雅文,台大出版中,9789863503910,https://cdn.kingstone.com.tw/book/images/product/20141/2014100130817/2014100130817b.jpg
跨界東亞：現代性及其轉化,https://www.kingstone.com.tw//basic/2018630179537?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,陳芳明,政治大學  ,9789869882101,https://cdn.kingstone.com.tw/book/images/product/20186/2018630179537/2018630179537b.jpg
華語文能力測驗關鍵詞彙：高階篇,https://www.kingstone.com.tw//basic/2018020543856?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,國立臺灣師範大學國語教學中心,聯經      ,9789570850321,https://cdn.kingstone.com.tw/book/images/product/20180/2018020543856/2018020543856b.jpg
椰林大道的棒球傳奇,https://www.kingstone.com.tw//basic/2015280647416?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,吳誠文等,臺灣大學  ,9789860464283,https://cdn.kingstone.com.tw/book/images/product/20152/2015280647416/2015280647416b.jpg
大學化學實驗一暨實驗二 第四版,https://www.kingstone.com.tw//basic/2013470002892?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,國立臺灣大學出版中心,臺灣大學  ,9789863501008,https://cdn.kingstone.com.tw/book/images/product/20134/2013470002892/2013470002892b.jpg
裕瑞《棗窗閒筆》新探,https://www.kingstone.com.tw//basic/2018630051406?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,黃一農,中山大學  ,9789869211420,https://cdn.kingstone.com.tw/book/images/product/20186/2018630051406/2018630051406b.jpg
我的學思歷程8,https://www.kingstone.com.tw//basic/2015200163163?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,陳文長等,臺灣大學  ,9789863500537,https://cdn.kingstone.com.tw/book/images/product/20152/2015200163163/2015200163163b.jpg
西灣文庫3－狂者之歌：王陽明心學之旅,https://www.kingstone.com.tw//basic/2015200169455?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,傅正玲,中山大學  ,9789579014540,https://cdn.kingstone.com.tw/book/images/product/20152/2015200169455/2015200169455b.jpg
萬年傳統全新感受 Vuculj 排灣族傳統科學智慧探究,https://www.kingstone.com.tw//basic/2015290086724?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,高慧蓮 主編,屏東大學  ,9789860557725,https://cdn.kingstone.com.tw/book/images/product/20152/2015290086724/2015290086724b.jpg
龍淵述學,https://www.kingstone.com.tw//basic/2017830175202?zone=book&lid=book_class3_iqp&actid=book_class3_iqp,鄭騫,台大出版中,9789863504788,https://cdn.kingstone.com.tw/book/images/product/20178/2017830175202/2017830175202b.jpg
