書名,書籍網站,作者,出版社,ISBN,圖片網址
最完整跨平台網頁設計：HTML + CSS + JavaScript + jQuery + Bootstrap + Google Maps王者歸來（第二版）（全彩印刷）,https://www.kingstone.com.tw//basic/2013120599642?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,洪錦魁,深智數位  ,9789860776331,https://cdn.kingstone.com.tw/book/images/product/20131/2013120599642/2013120599642b.jpg
學好跨平台網頁設計（第三版）：HTML5、CSS3、JavaScript、jQuery與Bootstrap 5超完美特訓班（附範例/RWD影音教學）,https://www.kingstone.com.tw//basic/2014713619792?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,鄧文淵、文淵閣工作室,碁峰資訊  ,9789865029074,https://cdn.kingstone.com.tw/book/images/product/20147/2014713619792/2014713619792b.jpg
JavaScript and Jquery for Website Developing,https://www.kingstone.com.tw//basic/203c011448273?zone=english&lid=search&actid=WISE&kw=jQuery&pi=0,"Saleem,Faeq",LAP Lambert Academic Publishing,9783659890802,https://cdn.kingstone.com.tw/english/images/product/0802/9783659890802.jpg
WEB網站的華麗冒險：HTML5+CSS3+jQuery斜槓青年的網頁設計起手式,https://www.kingstone.com.tw//basic/2013120574878?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,朱庭輝、尤柄文,深石數位  ,9789865005085,https://cdn.kingstone.com.tw/book/images/product/20131/2013120574878/2013120574878b.jpg
HTML5、CSS3、JavaScript、jQuery、jQuery UI、Ajax、RWD網頁程式設計（第七版）,https://www.kingstone.com.tw//basic/2014713604415?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,陳惠貞,碁峰資訊  ,9789865026295,https://cdn.kingstone.com.tw/book/images/product/20147/2014713604415/2014713604415b.jpg
網頁設計.愛上jQuery 程式設計寶典,https://www.kingstone.com.tw//basic/2013120554924?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,羅子洋,易習圖書  ,9789576154294,https://cdn.kingstone.com.tw/book/images/product/20131/2013120554924/2013120554924b.jpg
"A Simple Start to Jquery, Javascript, and Html5 for BeginnersASimple Start to Jquery, Java",https://www.kingstone.com.tw//basic/203c007113098?zone=english&lid=search&actid=WISE&kw=jQuery&pi=0,"Sanderson,Scott",MGM Books,9781952964664,https://cdn.kingstone.com.tw/english/images/product/4664/9781952964664.jpg
最完整跨平台網頁設計：HTML + CSS + JavaScript + jQuery + Bootstrap + Google Maps,https://www.kingstone.com.tw//basic/2013120553262?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,洪錦魁,深智數位  ,9789865501433,https://cdn.kingstone.com.tw/book/images/product/20131/2013120553262/2013120553262b.jpg
Sams Teach Yourself jQuery in 24 Hours,https://www.kingstone.com.tw//basic/203c109793183?zone=english&lid=search&actid=WISE&kw=jQuery&pi=0,"Holzner, Steven",Sams        ,9780672335563,https://cdn.kingstone.com.tw/english/images/product/5563/9780672335563.jpg
JQuery從入門到實戰之路,https://www.kingstone.com.tw//basic/2013120501133?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,袁江,佳魁      ,9789863797432,https://cdn.kingstone.com.tw/book/images/product/20131/2013120501133/2013120501133b.jpg
一次搞懂JavaScript全端技術：jQuery、Node.js、Express、MongoDB,https://www.kingstone.com.tw//basic/2013120502215?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,姜琇森、蕭國倫、許瑋芩等,佳魁數位  ,9789863797418,https://cdn.kingstone.com.tw/book/images/product/20131/2013120502215/2013120502215b.jpg
跟著實務學習HTML5、CSS3、JavaScript、jQuery、jQuery Mobile、Bootstrap 4－增訂版,https://www.kingstone.com.tw//basic/2014713570895?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,蔡文龍、蔡捷雲、歐志信等,碁峰資訊  ,9789865020149,https://cdn.kingstone.com.tw/book/images/product/20147/2014713570895/2014713570895b.jpg
跨裝置網頁設計（第四版）－ HTML5、CSS3、JavaScript、jQuery、Bootstrap,https://www.kingstone.com.tw//basic/2014713566690?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,陳惠貞,碁峰資訊  ,9789864769506,https://cdn.kingstone.com.tw/book/images/product/20147/2014713566690/2014713566690b.jpg
學好跨平台網頁設計（第二版）－－HTML5、CSS3、JavaScript、jQuery與Bootstrap 4超完美特訓班,https://www.kingstone.com.tw//basic/2014713570475?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,鄧文淵總監製、文淵閣工作室編,碁峰資訊  ,9789865020323,https://cdn.kingstone.com.tw/book/images/product/20147/2014713570475/2014713570475b.jpg
跟著實務學習HTML5、CSS3、JavaScript、jQuery、jQuery Mobile、Bootstrap 4&Cordova第一次開發跨平台網頁與APP就上手,https://www.kingstone.com.tw//basic/2014713560988?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,蔡文龍、蔡捷雲、歐志信等,碁峰資訊  ,9789864768974,https://cdn.kingstone.com.tw/book/images/product/20147/2014713560988/2014713560988b.jpg
跨裝置網頁設計(第三版)： HTML5、CSS3、JavaScript、jQuery、Bootstrap、jQuery Mobile,https://www.kingstone.com.tw//basic/2014713530677?zone=book&lid=search&actid=WISE&kw=jQuery&pi=0,陳惠貞,碁峰資訊  ,9789864765393,https://cdn.kingstone.com.tw/book/images/product/20147/2014713530677/2014713530677b.jpg
