書名,書籍網站,作者,出版社,ISBN,圖片網址
國小（翰老師）國語講義式評量一上（110學年）,https://www.kingstone.com.tw//basic/2015216905429?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,良品      ,9789860738513,https://cdn.kingstone.com.tw/book/images/product/20152/2015216905429/2015216905429b.jpg
國小翰林小無敵實力評量國語一上（110學年）,https://www.kingstone.com.tw//basic/2015216918252?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,翰林      ,9789863339977,https://cdn.kingstone.com.tw/book/images/product/20152/2015216918252/2015216918252b.jpg
國小翰林小無敵學習卷國語一上（110學年）,https://www.kingstone.com.tw//basic/2015216920453?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,翰林      ,95101-30,https://cdn.kingstone.com.tw/book/images/product/20152/2015216920453/2015216920453b.jpg
國小翰林小無敵自修國語一上（含首冊）（110學年）,https://www.kingstone.com.tw//basic/2015216916098?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,翰林      ,9786263120044,https://cdn.kingstone.com.tw/book/images/product/20152/2015216916098/2015216916098b.jpg
國小課堂評量｛翰版｝國語一上（110學年）,https://www.kingstone.com.tw//basic/2015216929081?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,明霖      ,4101121101907,https://cdn.kingstone.com.tw/book/images/product/20152/2015216929081/2015216929081b.jpg
國小(翰老師)國語一下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216789791?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,良品      ,320090101020,https://cdn.kingstone.com.tw/book/images/product/20152/2015216789791/2015216789791b.jpg
國小(翰版)國語評量講義一下(109學年),https://www.kingstone.com.tw//basic/2015216795570?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,明霖      ,4082121101909,https://cdn.kingstone.com.tw/book/images/product/20152/2015216795570/2015216795570b.jpg
國小(翰版)國語評量講義一下(108學年),https://www.kingstone.com.tw//basic/2015216404052?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216404052/2015216404052b.jpg
國小(翰老師)國語評量講義一下(108學年),https://www.kingstone.com.tw//basic/2015216412125?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216412125/2015216412125b.jpg
國小(翰版)國語評量講義一上(108學年),https://www.kingstone.com.tw//basic/2015216170490?zone=book&lid=book_class3_tab&actid=book_class3_tab,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216170490/2015216170490b.jpg
