書名,書籍網站,作者,出版社,ISBN,圖片網址
國小作文與閱讀講義（1年級）第3版,https://www.kingstone.com.tw//basic/2015216420618?zone=book&lid=book_class3_tae&actid=book_class3_tae,資優國語文教研會,光田      ,4710562780079,https://cdn.kingstone.com.tw/book/images/product/20152/2015216420618/2015216420618b.jpg
成語故事悅讀動動腦（國小1年級）第2版,https://www.kingstone.com.tw//basic/2015216172944?zone=book&lid=book_class3_tae&actid=book_class3_tae,陳文山,光田      ,4712839709738,https://cdn.kingstone.com.tw/book/images/product/20152/2015216172944/2015216172944b.jpg
國小優質閱讀測驗（1年級）,https://www.kingstone.com.tw//basic/2015216081338?zone=book&lid=book_class3_tae&actid=book_class3_tae,資優國語文教研會,光田      ,4712839709554,https://cdn.kingstone.com.tw/book/images/product/20152/2015216081338/2015216081338b.jpg
閱讀訓練百分百（國小1年級）第2版,https://www.kingstone.com.tw//basic/2015215740007?zone=book&lid=book_class3_tae&actid=book_class3_tae,資優國語文教研會,光田      ,4712839708977,https://cdn.kingstone.com.tw/book/images/product/20152/2015215740007/2015215740007b.jpg
國小成語大考驗（1年級）第2版,https://www.kingstone.com.tw//basic/2018592748710?zone=book&lid=book_class3_tae&actid=book_class3_tae,光田出版社,光田      ,4712839708892,https://cdn.kingstone.com.tw/book/images/product/20185/2018592748710/2018592748710b.jpg
國小作文閱讀指導（1年級）新版,https://www.kingstone.com.tw//basic/2015232731774?zone=book&lid=book_class3_tae&actid=book_class3_tae,資優國語文教研會,光田      ,4712839708007,https://cdn.kingstone.com.tw/book/images/product/20152/2015232731774/2015232731774b.jpg
國小作文閱讀指導（4年級）新版,https://www.kingstone.com.tw//basic/2015232732016?zone=book&lid=book_class3_tae&actid=book_class3_tae,資優國語文教研會,光田      ,4712839708038,https://cdn.kingstone.com.tw/book/images/product/20152/2015232732016/2015232732016b.jpg
國小400字分享閱讀（低年級）,https://www.kingstone.com.tw//basic/2015232355802?zone=book&lid=book_class3_tae&actid=book_class3_tae,資優國語文教研會,光田      ,4712839706164,https://cdn.kingstone.com.tw/book/images/product/20152/2015232355802/2015232355802b.jpg
國小基礎寫作引導；1年級下冊,https://www.kingstone.com.tw//basic/2015232342079?zone=book&lid=book_class3_tae&actid=book_class3_tae,寫作教學研究會,光田      ,4712839705990,https://cdn.kingstone.com.tw/book/images/product/20152/2015232342079/2015232342079b.jpg
成語故事閱讀評量（新版）（1年級）,https://www.kingstone.com.tw//basic/2015232299267?zone=book&lid=book_class3_tae&actid=book_class3_tae,陳東和,光田      ,4712839705563,https://cdn.kingstone.com.tw/book/images/product/20152/2015232299267/2015232299267b.jpg
品德教育閱讀每日10分鐘（1年級全冊）修訂版,https://www.kingstone.com.tw//basic/2015232280982?zone=book&lid=book_class3_tae&actid=book_class3_tae,資優國語文教研會,光田      ,4712839705433,https://cdn.kingstone.com.tw/book/images/product/20152/2015232280982/2015232280982b.jpg
國小成語大考驗 中年級,https://www.kingstone.com.tw//basic/2015231946285?zone=book&lid=book_class3_tae&actid=book_class3_tae,資優國語文教研會,光田      ,4712839702265,https://cdn.kingstone.com.tw/book/images/product/20152/2015231946285/2015231946285b.jpg
國小作文與閱讀講義（1年級）第2版,https://www.kingstone.com.tw//basic/2015215926777?zone=book&lid=book_class3_tae&actid=book_class3_tae,資優國語文教研會,光田      ,4712839709189,https://cdn.kingstone.com.tw/book/images/product/20152/2015215926777/2015215926777b.jpg
