書名,書籍網站,作者,出版社,ISBN,圖片網址
活力造詞造句100分 一年級,https://www.kingstone.com.tw//basic/2018593532417?zone=book&lid=book_class3_taf&actid=book_class3_taf,范雅芬,世一文化  ,9789864297993,https://cdn.kingstone.com.tw/book/images/product/20185/2018593532417/2018593532417b.jpg
閱讀素養全攻略（一年級）,https://www.kingstone.com.tw//basic/2015216179868?zone=book&lid=book_class3_taf&actid=book_class3_taf,康順添,世一文化  ,4719742157007,https://cdn.kingstone.com.tw/book/images/product/20152/2015216179868/2015216179868b.jpg
國語文推理智力測驗（1）低年級適用,https://www.kingstone.com.tw//basic/2015232519594?zone=book&lid=book_class3_taf&actid=book_class3_taf,前程編輯部,前程出版社,9789577045119,https://cdn.kingstone.com.tw/book/images/product/20152/2015232519594/2015232519594b.jpg
國語文推理智力測驗（2）低年級適用,https://www.kingstone.com.tw//basic/2015232519624?zone=book&lid=book_class3_taf&actid=book_class3_taf,前程編輯部,前程出版社,9789577045126,https://cdn.kingstone.com.tw/book/images/product/20152/2015232519624/2015232519624b.jpg
悅讀旅行團低年級（1）,https://www.kingstone.com.tw//basic/2015232513172?zone=book&lid=book_class3_taf&actid=book_class3_taf,王惠娟、黃建維、郭育婷,前程出版社,9789577044877,https://cdn.kingstone.com.tw/book/images/product/20152/2015232513172/2015232513172b.jpg
悅讀旅行團低年級（2）,https://www.kingstone.com.tw//basic/2015232513202?zone=book&lid=book_class3_taf&actid=book_class3_taf,王惠娟、黃建維、郭育婷,前程出版社,9789577044884,https://cdn.kingstone.com.tw/book/images/product/20152/2015232513202/2015232513202b.jpg
一年級ㄅㄆㄇ故事寫手：我手寫我口,https://www.kingstone.com.tw//basic/2015232494839?zone=book&lid=book_class3_taf&actid=book_class3_taf,溫美玉,天衛      ,9789574903801,https://cdn.kingstone.com.tw/book/images/product/20152/2015232494839/2015232494839b.jpg
每日一文補給站（一年級）,https://www.kingstone.com.tw//basic/2015232276947?zone=book&lid=book_class3_taf&actid=book_class3_taf,胡琇雅,世一文化  ,4719742090991,https://cdn.kingstone.com.tw/book/images/product/20152/2015232276947/2015232276947b.jpg
字詞造句應用100分（一年級）,https://www.kingstone.com.tw//basic/2015231898423?zone=book&lid=book_class3_taf&actid=book_class3_taf,林淑珍,世一文化  ,4719742073529,https://cdn.kingstone.com.tw/book/images/product/20152/2015231898423/2015231898423b.jpg
活力造詞造句100分 一年級,https://www.kingstone.com.tw//basic/2015231830805?zone=book&lid=book_class3_taf&actid=book_class3_taf,范雅芬,世一文化  ,4719742065777,https://cdn.kingstone.com.tw/book/images/product/20152/2015231830805/2015231830805b.jpg
活力成語100分 一年級,https://www.kingstone.com.tw//basic/2015231815611?zone=book&lid=book_class3_taf&actid=book_class3_taf,黃美麗,世一文化  ,4719742065715,https://cdn.kingstone.com.tw/book/images/product/20152/2015231815611/2015231815611b.jpg
活力閱讀100分 一年級,https://www.kingstone.com.tw//basic/2015231809252?zone=book&lid=book_class3_taf&actid=book_class3_taf,康順添,世一文化  ,4719742065654,https://cdn.kingstone.com.tw/book/images/product/20152/2015231809252/2015231809252b.jpg
國語文推理智力測驗（3）低年級適用,https://www.kingstone.com.tw//basic/2015213717124?zone=book&lid=book_class3_taf&actid=book_class3_taf,郭靜宜,前程出版社,9789577043344,https://cdn.kingstone.com.tw/book/images/product/20152/2015213717124/2015213717124b.jpg
國語文推理智力測驗（4）低年級適用,https://www.kingstone.com.tw//basic/2015232203622?zone=book&lid=book_class3_taf&actid=book_class3_taf,郭靜宜,前程出版社,9789577043702,https://cdn.kingstone.com.tw/book/images/product/20152/2015232203622/2015232203622b.jpg
每日一文趣味讀（一年級）,https://www.kingstone.com.tw//basic/2018020335901?zone=book&lid=book_class3_taf&actid=book_class3_taf,吳燈山,世一文化  ,4719742048527,https://cdn.kingstone.com.tw/book/images/product/20180/2018020335901/2018020335901b.jpg
108新課綱{閱讀素養}快樂看故事低年級(1)..王文華審定,https://www.kingstone.com.tw//basic/2015216110298?zone=book&lid=book_class3_taf&actid=book_class3_taf,編輯,政大少兒  ,9789868256644,https://cdn.kingstone.com.tw/book/images/product/20152/2015216110298/2015216110298b.jpg
108新課綱{閱讀素養}快樂看故事低年級(2)..王文華審定,https://www.kingstone.com.tw//basic/2015216110328?zone=book&lid=book_class3_taf&actid=book_class3_taf,編輯,政大少兒  ,9789866813030,https://cdn.kingstone.com.tw/book/images/product/20152/2015216110328/2015216110328b.jpg
108新課綱{閱讀素養}快樂看故事低年級(3)..王文華審定,https://www.kingstone.com.tw//basic/2015216110458?zone=book&lid=book_class3_taf&actid=book_class3_taf,編輯,政大少兒  ,9789868256651,https://cdn.kingstone.com.tw/book/images/product/20152/2015216110458/2015216110458b.jpg
108新課綱{閱讀素養}快樂看故事低年級(4)..王文華審定,https://www.kingstone.com.tw//basic/2015216110588?zone=book&lid=book_class3_taf&actid=book_class3_taf,編輯,政大少兒  ,9789868256668,https://cdn.kingstone.com.tw/book/images/product/20152/2015216110588/2015216110588b.jpg
康軒國小好學生每週一讀低年級(1)各版本適用,https://www.kingstone.com.tw//basic/2015216078475?zone=book&lid=book_class3_taf&actid=book_class3_taf,康軒編輯,康軒      ,2020101006,https://cdn.kingstone.com.tw/book/images/product/20152/2015216078475/2015216078475b.jpg
