書名,書籍網站,作者,出版社,ISBN,圖片網址
國小（翰老師）數學講義式評量一上（110學年）,https://www.kingstone.com.tw//basic/2015216906051?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,良品      ,9789860732948,https://cdn.kingstone.com.tw/book/images/product/20152/2015216906051/2015216906051b.jpg
國小翰林小無敵自修數學一上（110學年）,https://www.kingstone.com.tw//basic/2015216916678?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,翰林      ,9789863339496,https://cdn.kingstone.com.tw/book/images/product/20152/2015216916678/2015216916678b.jpg
國小翰林小無敵實力評量數學一上（110學年）,https://www.kingstone.com.tw//basic/2015216918832?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,翰林      ,9789863339205,https://cdn.kingstone.com.tw/book/images/product/20152/2015216918832/2015216918832b.jpg
國小課堂評量｛翰版｝數學一上 （110 學年 ）,https://www.kingstone.com.tw//basic/2015216929661?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,明霖      ,4101123101905,https://cdn.kingstone.com.tw/book/images/product/20152/2015216929661/2015216929661b.jpg
國小翰林小無敵學習卷數學一上（110學年）,https://www.kingstone.com.tw//basic/2015216921085?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,翰林      ,9789863339151,https://cdn.kingstone.com.tw/book/images/product/20152/2015216921085/2015216921085b.jpg
國小(翰老師)數學一下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216790360?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,良品      ,320090201027,https://cdn.kingstone.com.tw/book/images/product/20152/2015216790360/2015216790360b.jpg
國小(翰版)數學評量講義一下(109學年),https://www.kingstone.com.tw//basic/2015216796072?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,明霖      ,4082123101907,https://cdn.kingstone.com.tw/book/images/product/20152/2015216796072/2015216796072b.jpg
國小數學勝算120回{各版本適用} 1年級,https://www.kingstone.com.tw//basic/2015216605596?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,翰林      ,96371-28,https://cdn.kingstone.com.tw/book/images/product/20152/2015216605596/2015216605596b.jpg
國小(翰版)數學評量講義一下(108學年),https://www.kingstone.com.tw//basic/2015216404182?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216404182/2015216404182b.jpg
國小(翰老師)數學評量講義一下(108學年),https://www.kingstone.com.tw//basic/2015216410091?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216410091/2015216410091b.jpg
國小(翰版)數學評量講義一上(108學年),https://www.kingstone.com.tw//basic/2015216170650?zone=book&lid=book_class3_tan&actid=book_class3_tan,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216170650/2015216170650b.jpg
108國小數學勝算120回1年級.各版本適用,https://www.kingstone.com.tw//basic/2015216074927?zone=book&lid=book_class3_tan&actid=book_class3_tan,翰林編輯,翰林      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216074927/2015216074927b.jpg
康軒小一數學自修95下,https://www.kingstone.com.tw//basic/2015212679621?zone=book&lid=book_class3_tan&actid=book_class3_tan,康軒      ,停售,9789575547608,https://cdn.kingstone.com.tw/book/images/product/20152/2015212679621/2015212679621b.jpg
康軒小一數學測卷95下,https://www.kingstone.com.tw//basic/2015212679751?zone=book&lid=book_class3_tan&actid=book_class3_tan,康軒      ,停售,9789575547639,https://cdn.kingstone.com.tw/book/images/product/20152/2015212679751/2015212679751b.jpg
康軒小一數學評量95下,https://www.kingstone.com.tw//basic/2015212679881?zone=book&lid=book_class3_tan&actid=book_class3_tan,康軒      ,停售,9789575547585,https://cdn.kingstone.com.tw/book/images/product/20152/2015212679881/2015212679881b.jpg
康博士數學評量一下,https://www.kingstone.com.tw//basic/2015212070817?zone=book&lid=book_class3_tan&actid=book_class3_tan,舒柏編輯部,舒柏      ,4713682104411,https://cdn.kingstone.com.tw/book/images/product/20152/2015212070817/2015212070817b.jpg
康博士一上數學評量,https://www.kingstone.com.tw//basic/2015212023868?zone=book&lid=book_class3_tan&actid=book_class3_tan,舒柏教研組,舒柏      ,4712002052654,https://cdn.kingstone.com.tw/book/images/product/20152/2015212023868/2015212023868b.jpg
