書名,書籍網站,作者,出版社,ISBN,圖片網址
國小南一新超群自修數學一上（110學年）,https://www.kingstone.com.tw//basic/2015216910096?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,南一書局  ,9789865301668,https://cdn.kingstone.com.tw/book/images/product/20152/2015216910096/2015216910096b.jpg
國小南一新超群評量數學一上（110學年）,https://www.kingstone.com.tw//basic/2015216912250?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,南一書局  ,9789865303068,https://cdn.kingstone.com.tw/book/images/product/20152/2015216912250/2015216912250b.jpg
國小南一新超群百分百測驗卷數學一上（110學年）,https://www.kingstone.com.tw//basic/2015216914414?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,南一書局  ,4718373110122,https://cdn.kingstone.com.tw/book/images/product/20152/2015216914414/2015216914414b.jpg
國小課堂評量｛南版｝數學一上（110學年）,https://www.kingstone.com.tw//basic/2015216937604?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,明霖      ,4101113101908,https://cdn.kingstone.com.tw/book/images/product/20152/2015216937604/2015216937604b.jpg
國小（南老師）數學講義式評量一上（110學年）,https://www.kingstone.com.tw//basic/2015216908055?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,良品      ,9789860638820,https://cdn.kingstone.com.tw/book/images/product/20152/2015216908055/2015216908055b.jpg
國小(南老師)數學一下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216792364?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,良品      ,220090201020,https://cdn.kingstone.com.tw/book/images/product/20152/2015216792364/2015216792364b.jpg
國小(南版)數學評量講義一下(109學年),https://www.kingstone.com.tw//basic/2015216797864?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,明霖      ,4082113101900,https://cdn.kingstone.com.tw/book/images/product/20152/2015216797864/2015216797864b.jpg
國小(南版)數學評量講義一下(108學年),https://www.kingstone.com.tw//basic/2015216408340?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216408340/2015216408340b.jpg
國小(南老師)數學評量講義一下(108學年),https://www.kingstone.com.tw//basic/2015216410251?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216410251/2015216410251b.jpg
國小(南老師)數學評量講義一上(108學年),https://www.kingstone.com.tw//basic/2015216165373?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216165373/2015216165373b.jpg
國小(南版)數學評量講義一上(108學年),https://www.kingstone.com.tw//basic/2015216171312?zone=book&lid=book_class3_tao&actid=book_class3_tao,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216171312/2015216171312b.jpg
南一小一數學自修95下,https://www.kingstone.com.tw//basic/2015212520077?zone=book&lid=book_class3_tao&actid=book_class3_tao,南一書局,南一書局  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015212520077/2015212520077b.jpg
南一小一數學評量95下,https://www.kingstone.com.tw//basic/2015212520107?zone=book&lid=book_class3_tao&actid=book_class3_tao,南一書局,南一書局  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015212520107/2015212520107b.jpg
南一小一數學測卷95下,https://www.kingstone.com.tw//basic/2015212526949?zone=book&lid=book_class3_tao&actid=book_class3_tao,南一書局,南一書局  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015212526949/2015212526949b.jpg
南博士一上數學學習評量卷,https://www.kingstone.com.tw//basic/2015212313334?zone=book&lid=book_class3_tao&actid=book_class3_tao,舒柏      ,停售,4712004001087,https://cdn.kingstone.com.tw/book/images/product/20152/2015212313334/2015212313334b.jpg
南一版－新超群數學自修一下（教）,https://www.kingstone.com.tw//basic/2015211679103?zone=book&lid=book_class3_tao&actid=book_class3_tao,南一編輯部,南億      ,4718373292026,https://cdn.kingstone.com.tw/book/images/product/20152/2015211679103/2015211679103b.jpg
南一版－數學百分評量卷一下,https://www.kingstone.com.tw//basic/2015211690009?zone=book&lid=book_class3_tao&actid=book_class3_tao,南一編輯部,南億      ,4718373203381,https://cdn.kingstone.com.tw/book/images/product/20152/2015211690009/2015211690009b.jpg
南不倒數學評量(1下）（南一版）,https://www.kingstone.com.tw//basic/2015211698135?zone=book&lid=book_class3_tao&actid=book_class3_tao,海頓,海頓文化  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015211698135/2015211698135b.jpg
南一版數學自修4上,https://www.kingstone.com.tw//basic/2015211625520?zone=book&lid=book_class3_tao&actid=book_class3_tao,無,南億      ,4718373203077,https://cdn.kingstone.com.tw/book/images/product/20152/2015211625520/2015211625520b.jpg
